identifier,hpLossPerSecond,duration,attackType,battleTextIdentifier,h
String,Float,Float,String,String,String
poison01,0.122,5,ballista,,
poison02,0.122,5,ballista,,
poison03,0.122,5,ballista,,
poison04,0.122,5,ballista,,
poison05,0.122,5,ballista,,
poison06,0.122,5,ballista,,
poison07,0.122,5,ballista,,
poison08,0.122,5,ballista,,
poison09,0.122,5,ballista,,
poison10,0.122,5,ballista,,
poison11,0.122,5,ballista,,
poison12,0.122,5,ballista,,
poison13,0.122,5,ballista,,
poison14,0.122,5,ballista,,
poison15,0.122,5,ballista,,
poison16,0.122,5,ballista,,
poison17,0.122,5,ballista,,
poison18,0.122,5,ballista,,
poison19,0.122,5,ballista,,
poison20,0.122,5,ballista,,
poison21,0.122,5,ballista,,
poison22,0.122,5,ballista,,
poison23,0.122,5,ballista,,
poison24,0.122,5,ballista,,
poison25,0.122,5,ballista,,
poison26,0.122,5,ballista,,
poison27,0.122,5,ballista,,
poison28,0.122,5,ballista,,
poison29,0.122,5,ballista,,
poison30,0.122,5,ballista,,
poison31,0.122,5,ballista,,
poison32,0.122,5,ballista,,
poison33,0.122,5,ballista,,
poison34,0.122,5,ballista,,
poison35,0.122,5,ballista,,
poison36,0.122,5,ballista,,
poison37,0.122,5,ballista,,
poison38,0.122,5,ballista,,
poison39,0.122,5,ballista,,
poison40,0.122,5,ballista,,
poison41,0.122,5,ballista,,
poison42,0.122,5,ballista,,
poison43,0.122,5,ballista,,
poison44,0.122,5,ballista,,
poison45,0.122,5,ballista,,
poison46,0.122,5,ballista,,
poison47,0.122,5,ballista,,
poison48,0.122,5,ballista,,
poison49,0.122,5,ballista,,
poison50,0.122,5,ballista,,
poison51,0.122,5,ballista,,
poison52,0.122,5,ballista,,
poison53,0.122,5,ballista,,
poison54,0.122,5,ballista,,
poison55,0.122,5,ballista,,
poison56,0.122,5,ballista,,
poison57,0.122,5,ballista,,
poison58,0.122,5,ballista,,
poison59,0.122,5,ballista,,
poison60,0.122,5,ballista,,
poison61,0.122,5,ballista,,
poison62,0.122,5,ballista,,
poison63,0.122,5,ballista,,
poison64,0.122,5,ballista,,
poison65,0.122,5,ballista,,
poisonTut,0.06,3,ballista,,
supershot_poison1,0.158,10,ballista,,
supershot_poison2,0.158,10,ballista,,
supershot_poison3,0.158,10,ballista,,
supershot_poison4,0.158,10,ballista,,
supershot_poison5,0.158,10,ballista,,
supershot_poison6,0.158,10,ballista,,
supershot_poison7,0.158,10,ballista,,
supershot_poison8,0.158,10,ballista,,
supershot_poison9,0.158,10,ballista,,
supershot_poison10,0.158,10,ballista,,
supershot_poison11,0.158,10,ballista,,
supershot_poison12,0.158,10,ballista,,
supershot_poison13,0.158,10,ballista,,
supershot_poison14,0.158,10,ballista,,
supershot_poison15,0.158,10,ballista,,
supershot_poison16,0.158,10,ballista,,
supershot_poison17,0.158,10,ballista,,
supershot_poison18,0.158,10,ballista,,
supershot_poison19,0.158,10,ballista,,
supershot_poison20,0.158,10,ballista,,
supershot_poison21,0.158,10,ballista,,
supershot_poison22,0.158,10,ballista,,
supershot_poison23,0.158,10,ballista,,
supershot_poison24,0.158,10,ballista,,
supershot_poison25,0.158,10,ballista,,
supershot_poison26,0.158,10,ballista,,
supershot_poison27,0.158,10,ballista,,
supershot_poison28,0.158,10,ballista,,
supershot_poison29,0.158,10,ballista,,
supershot_poison30,0.158,10,ballista,,
supershot_poison31,0.158,10,ballista,,
supershot_poison32,0.158,10,ballista,,
supershot_poison33,0.158,10,ballista,,
supershot_poison34,0.158,10,ballista,,
supershot_poison35,0.158,10,ballista,,
supershot_poison36,0.158,10,ballista,,
supershot_poison37,0.158,10,ballista,,
supershot_poison38,0.158,10,ballista,,
supershot_poison39,0.158,10,ballista,,
supershot_poison40,0.158,10,ballista,,
supershot_poison41,0.158,10,ballista,,
supershot_poison42,0.158,10,ballista,,
supershot_poison43,0.158,10,ballista,,
supershot_poison44,0.158,10,ballista,,
supershot_poison45,0.158,10,ballista,,
supershot_poison46,0.158,10,ballista,,
supershot_poison47,0.158,10,ballista,,
supershot_poison48,0.158,10,ballista,,
supershot_poison49,0.158,10,ballista,,
supershot_poison50,0.158,10,ballista,,
supershot_poison51,0.158,10,ballista,,
supershot_poison52,0.158,10,ballista,,
supershot_poison53,0.158,10,ballista,,
supershot_poison54,0.158,10,ballista,,
supershot_poison55,0.158,10,ballista,,
supershot_poison56,0.158,10,ballista,,
supershot_poison57,0.158,10,ballista,,
supershot_poison58,0.158,10,ballista,,
supershot_poison59,0.158,10,ballista,,
supershot_poison60,0.158,10,ballista,,
supershot_poison61,0.158,10,ballista,,
supershot_poison62,0.158,10,ballista,,
supershot_poison63,0.158,10,ballista,,
supershot_poison64,0.158,10,ballista,,
supershot_poison65,0.158,10,ballista,,
supershot_poison66,0.158,10,ballista,,
supershot_poison67,0.158,10,ballista,,
supershot_poison68,0.158,10,ballista,,
supershot_poison69,0.158,10,ballista,,
supershot_poison70,0.158,10,ballista,,
poison66,0.122,5,ballista,,
poison67,0.122,5,ballista,,
poison68,0.122,5,ballista,,
poison69,0.122,5,ballista,,
poison70,0.122,5,ballista,,
poison71,0.122,5,ballista,,
poison72,0.122,5,ballista,,
poison73,0.122,5,ballista,,
poison74,0.122,5,ballista,,
poison75,0.122,5,ballista,,
supershot_poison71,0.158,10,ballista,,
supershot_poison72,0.158,10,ballista,,
supershot_poison73,0.158,10,ballista,,
supershot_poison74,0.158,10,ballista,,
supershot_poison75,0.158,10,ballista,,
supershot_poison76,0.158,10,ballista,,
supershot_poison77,0.158,10,ballista,,
supershot_poison78,0.158,10,ballista,,
supershot_poison79,0.158,10,ballista,,
supershot_poison80,0.158,10,ballista,,
supershot_poison81,0.158,10,ballista,,
supershot_poison82,0.158,10,ballista,,
supershot_poison83,0.158,10,ballista,,
supershot_poison84,0.158,10,ballista,,
supershot_poison85,0.158,10,ballista,,!@#aifephomnoldikcf
