identifier,inBundle,backgroundFilename,durationToBlockTaps,timeToShowTapToContinue,transitionInProperties,transitionOutProperties,text,textProperties,soundEventIdentifier,h
String,Integer,String,Float,Float,String,String,LocalizedString,String,String,String
introSlide1,1,IntroComic_p1.jpg,1,10,type:none|duration:0.5|z:4,type:pageTurn|duration:0.5,"A child with extraordinary powers, you were born into a family with the power to communicate with dragons.",positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:1|typewriterStartTime:0.5,intro_slide_1,
introSlide2,1,IntroComic_p2.jpg,1,10,type:none|delay:0.5|z:3,type:pageTurn|duration:0.5,"Your uncle became jealous.  He assembled his evil army, the Blackbloods, to murder your family.",positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:1|typewriterStartTime:0.5,intro_slide_2,
introSlide3,1,IntroComic_p3.jpg,1,10,type:none|delay:0.5|z:2,type:pageTurn|duration:0.5,You had no choice but to flee.  You and your only remaining friend have been exiled from your home for ten years.,positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:1|typewriterStartTime:0.5,intro_slide_3,
introSlide4,1,IntroComic_p4.jpg,1,10,type:none|z:1,type:pageTurn|duration:0.5,You are no longer a child.  You've returned to bring home all the dragons.  The time for revenge is now.,positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:1|typewriterStartTime:0.5,intro_slide_4,
v3IntroSlide1,1,IntroComic_p1.jpg,1,10,type:none|duration:0.5|z:4,type:pageTurn|duration:0.5,"The world of Atlas is home to powerful dragons. Strong-willed individuals, known as Dragon Lords, form special bonds with these magnificent creatures.",positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:1|typewriterStartTime:0.5,intro_slide_1,
v3IntroSlide2,1,IntroComic_p2.jpg,1,10,type:none|delay:0.5|z:3,type:pageTurn|duration:0.5,"With their dragon companions, Dragon Lords constantly war with each other. They seek resources and dragon eggs to grow in power.",positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:1|typewriterStartTime:0.5,intro_slide_2,
v3IntroSlide3,1,IntroComic_p3.jpg,1,10,type:none|delay:0.5|z:2,type:pageTurn|duration:0.5,"As a child, you left your home to study the world and learn the ways of the Dragon Lords. ",positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:1|typewriterStartTime:0.5,intro_slide_3,
v3IntroSlide4,1,IntroComic_p4.jpg,1,10,type:none|z:1,type:pageTurn|duration:0.5,"Finally, you have returned home. The time has come to take command of your Dragon Keep and forge your future.",positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:1|typewriterStartTime:0.5,intro_slide_4,
newMapStorySlide1,0,NDEComic1_p1.jpg,1,10,type:none|delay:0.5|z:2,type:pageTurn|duration:0.5,"""Go forth to Wraithfire Keep and join the siege. The first assaults have begun...""",positionAbsolute:20~20|anchorPoint:0~0|fontSize:28|widthFromEdge:20|fillAvailableWidth:1|minimumHeight:100|horizontalInset:40|topInset:5|bottomInset:5|typewriter:0|typewriterStartTime:0.5,intro_slide_3,!@#epoajmdocahdelgg
