identifier,inBundle,sceneFilename,speed,launchDuration,invertible,dodgeable,viewControllerClassName,fireSoundIdentifier,impactTargetSoundFilename,chargingParticleEffectIdentifier,chargingParticleEffectScale,originParticleEffectIdentifier,originParticleEffectScale,onTargetParticleEffectIdentifier,onTargetParticleEffectScale,onGroundParticleEffectIdentifier,onGroundParticleEffectScale,onWaterParticleEffectIdentifier,onWaterParticleEffectScale,projectileParticleEffectIdentifier,additionalParameters,h
String,Integer,String,Float,Float,Integer,Integer,String,String,String,String,Float,String,Float,String,Float,String,Float,String,Float,String,String,String
ballista_arrow1,1,prj_ballista.lvl,20,0.43,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
ballista_arrow_special,1,prj_ballista_special.lvl,20,0.43,1,1,,,,,,,,ballista_explosion,4,,,ptl_ocean_splash,5,,,
prj_ballista_level03,0,prj_ballista_level03.lvl,20,0.43,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_ballista_level04,0,prj_ballista_level04.lvl,20,0.43,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_ballista_special_level03,0,prj_ballista_special_level03.lvl,20,0.43,1,1,,,,,,,,ballista_explosion,4,,,ptl_ocean_splash,5,cmp_ptl_ballistaSuper_level03,,
prj_ballista_special_level04,0,prj_ballista_special_level04.lvl,20,0.43,1,1,,,,,,,,ballista_explosion,4,,,ptl_ocean_splash,5,cmp_ptl_ballistaSuper_level04,,
prj_ballista_level05,0,prj_ballista_level05.lvl,20,0.43,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
ballista_special_level05,0,prj_ballista_special_level05.lvl,20,0.43,1,1,,,,,,,,ballista_explosion,4,,,ptl_ocean_splash,5,cmp_ptl_ballistaSuper_level05,,
stormProjectile,1,,100,0,0,0,BeamProjectileViewController,,,,,ptl_stormTower_initiate,0.5,ptl_onHit_stormTower,0.5,,,ptl_ocean_splash,5,cmp_ptl_stormTower_beam,boundingMinimum:-5~-5~0|boundingMaximum:5~5~100|dissipateDuration:1.0,
lockon,1,prj_lockon.lvl,80,0,0,0,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
lockon_weak,1,prj_lockon_weak.lvl,80,0,0,0,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
fireball,1,prj_fireball.lvl,55,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
fireball_weak,1,prj_fireball_weak.lvl,45,0,1,1,,,,,,,,fireball_hit,4,,,ptl_ocean_splash,5,,,
aoe,1,prj_AOE_fireball.lvl,125,0,0,0,,,,,,aoe_initiate,2,aoe_explosion,7,aoe_explosion,7,ptl_ocean_splash,5,,splashRange:19.0|attackRange:110,
flamethrower,1,prj_drg_orange_flamethrower.lvl,100,0,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,unscaledDistance:115|flamethrowerDuration:1|maximumDistance:700,
flamethrower_weak,1,prj_drg_flamethrower_weak.lvl,100,0,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,unscaledDistance:115|flamethrowerDuration:1|maximumDistance:700,
super_flamethrower,1,prj_drg_super_flamethrower.lvl,100,0,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,unscaledDistance:115|flamethrowerDuration:1|maximumDistance:700,
prj_cannon,1,prj_cannon.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,,,
prj_Cannon_level02,0,prj_Cannon_level02.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,,,
prj_Cannon_level03,0,prj_Cannon_level03.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,,,
prj_Cannon_level04,0,prj_Cannon_level04.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,,,
prj_Cannon_level05,0,prj_Cannon_level05.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,,,
prj_cannon_special,1,prj_cannon_special.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,,,
prj_cannon_special_level02,0,prj_cannon_special_level02.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,cmp_ptl_cannonSuper_level02,,
prj_cannon_special_level03,0,prj_cannon_special_level03.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,cmp_ptl_cannonSuper_level03,,
prj_cannon_special_level04,0,prj_cannon_special_level04.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,cmp_ptl_cannonSuper_level04,,
prj_cannon_special_level05,0,prj_cannon_special_level05.lvl,32,0.03,1,1,,,,,,ptl_cannonInitiate,3,ptl_onHit_cannonExplosion,3,,,ptl_ocean_splash,5,cmp_ptl_cannonSuper_level05,,
prj_archer,1,prj_archer.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_Arrow_level02,0,prj_Arrow_level02.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_Arrow_level03,0,prj_Arrow_level03.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_Arrow_level04,0,prj_Arrow_level04.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_Arrow_level05,0,prj_Arrow_level05.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_archer_height,1,prj_archer_height.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_Archer_height_level02,0,prj_Archer_height_level02.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_Archer_height_level03,0,prj_Archer_height_level03.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_Archer_height_level04,0,prj_Archer_height_level04.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_Archer_height_level05,0,prj_Archer_height_level05.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_archer_special,1,prj_archer_special.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_archer_special_level02,0,prj_archer_special_level02.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,cmp_ptl_archerSuper_level02,,
prj_archer_special_level03,0,prj_archer_special_level03.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,cmp_ptl_archerSuper_level03,,
prj_archer_special_level04,0,prj_archer_special_level04.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,cmp_ptl_archerSuper_level04,,
prj_archer_special_level05,0,prj_archer_special_level05.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,cmp_ptl_archerSuper_level05,,
prj_archer_special_short_circuit,1,prj_archer_special_short_circuit.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,,,
prj_archer_special_short_circuit_level02,0,prj_archer_special_level02.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,cmp_ptl_archerSuper_shortCircuited_level02,,
prj_archer_special_short_circuit_level03,0,prj_archer_special_level03.lvl,32,0.3,1,1,,,,,,,,,,,,ptl_ocean_splash,5,cmp_ptl_archerSuper_shortCircuited_level03,,
