identifier,currencies,h
String,Map<String:Integer>,String
trophyCoins_0,food*trophyCoins:5,
trophyCoins_1,food*trophyCoins:4,
trophyCoins_2,food*trophyCoins:3,
trophyCoins_3,food*trophyCoins:2,
trophyCoins_4,food*trophyCoins:1,
trophyCoins_5,food*trophyCoins:1,
trophyCoins_6,food*trophyCoins:1,
trophyCoins_7,food*trophyCoins:1,
trophyCoins_8,food*trophyCoins:1,
trophyCoins_9,food*trophyCoins:1,
trophyCoins_10,food*trophyCoins:1,
trophyCoins_11,food*trophyCoins:1,
trophyCoins_12,food*trophyCoins:1,
trophyCoins_13,food*trophyCoins:1,
trophyCoins_14,food*trophyCoins:1,
trophyCoins_15,food*trophyCoins:1,
trophyCoins_16,food*trophyCoins:1,
trophyCoins_17,food*trophyCoins:1,
trophyCoins_18,food*trophyCoins:1,
trophyCoins_19,food*trophyCoins:1,
trophyCoins_20,food*trophyCoins:1,
trophyCoins_21,food*trophyCoins:1,
trophyCoins_22,food*trophyCoins:1,
trophyCoins_23,food*trophyCoins:1,
trophyCoins_24,food*trophyCoins:1,!@#jcnolmogommapneb
