identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,sceneFile,discoveredImage,iconFilename,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String,String,String,String
emberDragon_1,1,food:0,1,,15070,244,fireball:T1C1HIdragon_fireball,instantKill:instant1,1692,food:14,4.2,rage1,1,485,1,experience:0,173,7,1,4,drg_ochreHunter_v1.lvl,dragon_ochreHunter_v1_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v1_discovered.png,
emberDragon_2,2,food:300,1,,31796,244,fireball:T1C1HIdragon_fireball,instantKill:instant1,2857,food:26,4.2,rage1,2,1351,1,experience:0,313,7,1,4,drg_ochreHunter_v1.lvl,dragon_ochreHunter_v1_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v1_discovered.png,
emberDragon_3,3,food:1188,1,,35152,244,fireball:T1C1HIdragon_fireball,instantKill:instant1,3188,food:30,4.2,rage1,2,2857,1,experience:0,575,7,1,4,drg_ochreHunter_v1.lvl,dragon_ochreHunter_v1_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v1_discovered.png,
emberDragon_4,4,food:1300,1,,38868,244,fireball:T1C1HIdragon_fireball,instantKill:instant1,3617,food:34,4.2,rage1,3,5366,1,experience:0,966,7,1,4,drg_ochreHunter_v1.lvl,dragon_ochreHunter_v1_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v1_discovered.png,
emberDragon_5,5,food:2074,1,,46383,244,fireball:T1C1HIdragon_fireball,instantKill:instant1,4222,food:40,4.2,rage1,3,7011,1,experience:0,1341,7,1,4,drg_ochreHunter_v1.lvl,dragon_ochreHunter_v1_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v1_discovered.png,
emberDragon_6,6,food:3105,1,,50276,244,fireball:T1C1HIdragon_fireball,instantKill:instant1,4595,food:44,4.2,rage1,3,8034,1,experience:0,1587,7,1,4,drg_ochreHunter_v1.lvl,dragon_ochreHunter_v1_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v1_discovered.png,
emberDragon_7,7,evolvingHunterPurpleStone:1,1,have1PurpleDragon,54975,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1,4958,food:48,4.2,rage1,4,12085,1.2,experience:0,1877,15,2,4,drg_ochreHunter_v2.lvl,dragon_ochreHunter_v2_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v2_discovered.png,
emberDragon_8,8,food:5073,1,,59410,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1,5288,food:52,4.2,rage1,4,13800,1.2,experience:0,2156,15,2,4,drg_ochreHunter_v2.lvl,dragon_ochreHunter_v2_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v2_discovered.png,
emberDragon_9,9,food:6962,1,,74696,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1,5604,food:56,4.2,rage1,4,19058,1.2,experience:0,2870,15,2,4,drg_ochreHunter_v2.lvl,dragon_ochreHunter_v2_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v2_discovered.png,
emberDragon_10,10,food:8000,1,,84219,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1,6415,food:68,4.2,rage1,5,24000,1.2,experience:0,3702,15,2,4,drg_ochreHunter_v2.lvl,dragon_ochreHunter_v2_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v2_discovered.png,
emberDragon_11,11,food:12500,1,haveRarePurpleDragon,107965,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1,8236,food:97,4.2,rage1,5,28000,1.2,experience:0,4599,15,2,4,drg_ochreHunter_v2.lvl,dragon_ochreHunter_v2_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v2_discovered.png,
emberDragon_12,12,food:16325,1,,123311,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1,9399,food:109,4.2,rage1,6,32005,1.2,experience:0,7795,15,2,4,drg_ochreHunter_v2.lvl,dragon_ochreHunter_v2_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v2_discovered.png,
emberDragon_13,13,food:19707,1,,132299,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1,10050,food:115,4.2,rage1,6,36048,1.2,experience:0,8946,15,2,4,drg_ochreHunter_v2.lvl,dragon_ochreHunter_v2_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v2_discovered.png,
emberDragon_14,14,food:23400,1,,141908,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1,10746,food:122,4.2,rage1,6,53478,1.2,experience:0,10256,15,2,4,drg_ochreHunter_v2.lvl,dragon_ochreHunter_v2_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v2_discovered.png,
emberDragon_15,15,evolvingHunterBlueStone:1,1,have1BlueDragon,161848,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01,12296,food:134,4.2,rage1,7,67772,1.2,experience:0,13386,21,3,4,drg_ochreHunter_v3.lvl,dragon_ochreHunter_v3_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v3_discovered.png,
emberDragon_16,16,food:45521,1,,173495,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01,13043,food:140,4.2,rage1,7,92555,1.2,experience:0,15225,21,3,4,drg_ochreHunter_v3.lvl,dragon_ochreHunter_v3_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v3_discovered.png,
emberDragon_17,17,food:59652,1,,184496,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01,13764,food:150,4.2,rage1,8,104142,1.2,experience:0,17083,21,3,4,drg_ochreHunter_v3.lvl,dragon_ochreHunter_v3_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v3_discovered.png,
emberDragon_18,18,food:63629,1,,223214,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01,14412,food:160,4.2,rage1,8,136957,1.2,experience:0,21648,21,3,4,drg_ochreHunter_v3.lvl,dragon_ochreHunter_v3_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v3_discovered.png,
emberDragon_19,19,food:83684,1,haveBlueEpic,238812,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01,15564,food:180,4.2,rage1,9,171916,1.2,experience:0,24991,21,3,4,drg_ochreHunter_v3.lvl,dragon_ochreHunter_v3_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v3_discovered.png,
emberDragon_20,20,food:88334,1,,248233,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01,16228,food:190,4.2,rage1,9,186916,1.2,experience:0,27129,21,3,4,drg_ochreHunter_v3.lvl,dragon_ochreHunter_v3_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v3_discovered.png,
emberDragon_21,21,evolvingHunterOrangeStone:1,1,haveOrangeEpic,274398,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01|invertSpell:reverse1,18014,food:215,4.2,rage1,10,201916,1.2,experience:0,33302,0,4,5,drg_ochreHunter_v4.lvl,dragon_ochreHunter_v4_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v4_discovered.png,
emberDragon_22,22,food:106930,1,,293707,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01|invertSpell:reverse1,19126,food:230,4.2,rage1,10,216916,1.2,experience:0,37824,0,4,5,drg_ochreHunter_v4.lvl,dragon_ochreHunter_v4_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v4_discovered.png,
emberDragon_23,23,food:113904,1,,314317,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01|invertSpell:reverse1,20411,food:245,4.2,rage1,11,231916,1.2,experience:0,43214,0,4,5,drg_ochreHunter_v4.lvl,dragon_ochreHunter_v4_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v4_discovered.png,
emberDragon_24,24,food:120877,1,,333972,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01|invertSpell:reverse1,21810,food:260,4.2,rage1,11,246916,1.2,experience:0,49012,0,4,5,drg_ochreHunter_v4.lvl,dragon_ochreHunter_v4_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v4_discovered.png,
emberDragon_25,25,food:130000,1,,415416,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01|invertSpell:reverse1,26979,food:348,4.2,rage1,12,237776,1.2,experience:0,63837,0,4,5,drg_ochreHunter_v4.lvl,dragon_ochreHunter_v4_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v4_discovered.png,
emberDragon_26,26,food:150000,1,,471880,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01|invertSpell:reverse1,30728,food:384,4.2,rage1,13,271862,1.2,experience:0,82638,0,4,5,drg_ochreHunter_v4.lvl,dragon_ochreHunter_v4_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v4_discovered.png,
emberDragon_27,27,food:160000,1,haveOrangeLegendary,535803,244,fireball:T1C1HIdragon_fireball,instantKill:instant1|cloak:cloak1|archerResist01:archerResist01|invertSpell:reverse1,34349,food:420,4.2,rage1,14,308628,1.2,experience:0,104869,0,4,5,drg_ochreHunter_v4.lvl,dragon_ochreHunter_v4_discovered_thumbnail.png,dragonThumbnail_ochreHunter_v4_discovered.png,
