identifier,inBundle,prerequisiteIdentifiers,numRequiredPrerequisites,tier,researchBuildingLevelRequired,position,displayName,researchDescription,cost,time,icon,iconInProgress,iconComplete,effects,h
String,Integer,String,Integer,Integer,Integer,String,LocalizedString,LocalizedString,String,Integer,String,String,String,String,String
economyBoost000,1,,0,1,1,1~4,Industrial Tools,+4% Sheep Farm Production|+4% Lumber Mill Production,redEggCurrency:1,5,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,buildingProductionModifier_hogFarm:0.04|buildingProductionModifier_woodFarm:0.04,
cannonArcherHP001,1,economyBoost000,1,1,1,2~6,Walled Foundations,+4% Cannon HP|+4% Archer HP,redEggCurrency:1,1800,icon_research_double_tower.png,icon_research_double_tower_progress.png,icon_research_double_tower_complete.png,buildingHPModifier_archerTower:0.04|buildingHPModifier_cannonTower:0.04,
economyBuildingHP001,1,economyBoost000,1,1,1,2~4,Fortified Resource Structures,+5% Sheep Farm HP|+5% Lumber Mill HP,redEggCurrency:1,1800,icon_research_lumberfarm_hp.png,icon_research_lumberfarm_hp_progress.png,icon_research_lumberfarm_hp_complete.png,buildingHPModifier_woodFarm:0.05|buildingHPModifier_hogFarm:0.05,
allDragonHP001,1,economyBoost000,1,1,1,2~2,Organic Dragon Meat,+5% Dragon HP,redEggCurrency:1,1800,icon_research_dragon_hp.png,icon_research_dragon_hp_progress.png,icon_research_dragon_hp_complete.png,dragonHPModifier:0.05,
lumbermillProtection001,1,economyBuildingHP001,1,1,1,3~5,Hidden Lumber Piles,+5% Lumber Mill Wood Protection,redEggCurrency:10,43200,icon_research_lumber_protection.png,icon_research_lumber_protection_progress.png,icon_research_lumber_protection_complete.png,harvestBuildingProtectionModifier_woodFarm:0.05,
archerTowerResistance001,1,allDragonHP001,1,1,1,3~3,Enhanced Archer Resistance,+10% Archer Tower Resistance Spell,redEggCurrency:25,43200,icon_research_archer_resistance.png,icon_research_archer_resistance_progress.png,icon_research_archer_resistance_complete.png,resistAbilityIncreaseModifierKeyFormat_archer:10,
warriorDragonHP001,1,allDragonHP001,1,1,1,3~1,Warrior Armor,+5% Warrior Dragon HP,redEggCurrency:50,43200,icon_research_warrior_hp.png,icon_research_warrior_hp_progress.png,icon_research_warrior_hp_complete.png,dragonClassHPModifier_warrior:0.05,
superShotAmmo001,1,cannonArcherHP001,1,1,1,4~6,Ammo Reserves,+1 Starting Supershot Ammo,redEggCurrency:2,3600,icon_research_cannon_ammo.png,icon_research_cannon_ammo_progress.png,icon_research_cannon_ammo_complete.png,defenderAbilityNumberModifier:1,
economyBoost001,1,economyBuildingHP001,1,1,1,4~4,Economic Improvements,+5% Sheep Farm Production|+5% Lumber Mill Production,redEggCurrency:2,3600,icon_research_tower_11.png,icon_research_tower_11_progress.png,icon_research_tower_11_complete.png,buildingProductionModifier_hogFarm:0.05|buildingProductionModifier_woodFarm:0.05,
allDragonDamage001,1,allDragonHP001,1,1,1,4~2,Fiery Breath,+4% Dragon Damage,redEggCurrency:2,3600,icon_research_dragon_damage.png,icon_research_dragon_damage_progress.png,icon_research_dragon_damage_complete.png,dragonAttackModifier:0.04,
hogfarmProtection001,1,economyBoost001,1,1,1,5~5,Hidden Food Piles,+5% Sheep Farm Food Protection,redEggCurrency:20,43200,icon_research_farm_protection.png,icon_research_farm_protection_progress.png,icon_research_farm_protection_complete.png,harvestBuildingProtectionModifier_hogFarm:0.05,
hunterDamage001,1,allDragonDamage001,1,1,1,5~3,Hunter Violence,+4% Hunter Dragon Damage,redEggCurrency:45,43200,icon_research_hunter_damage.png,icon_research_hunter_damage_progress.png,icon_research_hunter_damage_complete.png,dragonClassAttackModifier_hunter:0.04,
rejuvinationDuration001,1,warriorDragonHP001,1,1,1,5~1,Enhanced Rejuvenation,+1.0 Second Rejuvenation Spell Duration|+25% Rejuvenation Spell Healing,redEggCurrency:25,43200,icon_research_rejuvenation.png,icon_research_rejuvenation_progress.png,icon_research_rejuvenation_complete.png,spellDurationModifier_healDragon:1,
cannonArcherDamage001,1,superShotAmmo001,1,1,1,6~6,Precise Ammo Assembly,+4% Cannon Damage|+4% Archer Damage,redEggCurrency:3,5400,icon_research_doubletower_damage.png,icon_research_doubletower_damage_progress.png,icon_research_doubletower_damage_complete.png,buildingAttackModifier_cannonTower:0.04|buildingAttackModifier_archerTower:0.04,
constructionBoost001,1,economyBoost001,1,1,1,6~4,Construction Efficiency,+5% Construction and Upgrade Speed,redEggCurrency:3,5400,icon_research_construction.png,icon_research_construction_progress.png,icon_research_construction_complete.png,buildingTimerModifier:-0.05,
dragonXP001,1,allDragonDamage001,1,1,1,6~2,Dragon Discipline,+5% Dragon XP,redEggCurrency:5,5400,icon_research_experience.png,icon_research_experience_progress.png,icon_research_experience_complete.png,dragonXPGainModifier:0.05,
archerAttackSpeed001,1,cannonArcherDamage001,1,1,1,7~7,Fiber Pulleys,+5% Archer Attack Speed,redEggCurrency:15,43200,icon_research_archer_attackspeed.png,icon_research_archer_attackspeed_progress.png,icon_research_archer_attackspeed_complete.png,attacksPerSecondBuildingModifier_archerTower:0.05,
superShotHealing001,1,cannonArcherDamage001,1,1,1,7~5,Curing Powder,+5% Sheep Farm Supershot Heal|+5% Lumber Mill Supershot Heal,redEggCurrency:25,43200,icon_research_lumberfarm_heal.png,icon_research_lumberfarm_heal_progress.png,icon_research_lumberfarm_heal_complete.png,buildingClassSpecialAttackModifier_harvest:0.05,
healingMarkBoost001,1,hunterDamage001,1,1,1,7~3,Enhanced Healing Mark,+20% Healing from Healing Mark Spell,redEggCurrency:10,43200,icon_research_rejuvenation.png,icon_research_rejuvenation_progress.png,icon_research_rejuvenation_complete.png,spellHealingModifier_healingMark:0.2,
cannonTowerResistance001,1,rejuvinationDuration001|dragonXP001,1,1,1,7~1,Enhanced Cannon Resistance,+10% Cannon Tower Resistance Spell,redEggCurrency:50,43200,icon_research_cannon_resistance.png,icon_research_cannon_resistance_progress.png,icon_research_cannon_resistance_complete.png,resistAbilityIncreaseModifierKeyFormat_cannon:10,
allTowerHP001,1,cannonArcherDamage001,1,2,2,1~6,Battle Barricades,+4% to All Combat Tower HP,purpleEggCurrency:5,7200,icon_research_tower_hp.png,icon_research_tower_hp_progress.png,icon_research_tower_hp_complete.png,buildingHPModifier_archerTower:0.04|buildingHPModifier_cannonTower:0.04|buildingHPModifier_stormTower:0.04|buildingHPModifier_ballista:0.04|buildingHPModifier_mageTower:0.04|buildingHPModifier_mageBlueTower:0.04|buildingHPModifier_trebuchet:0.04|buildingHPModifier_lightningTower:0.04|buildingHPModifier_elementalFlakDark:0.04|buildingHPModifier_fireTurret:0.04|buildingHPModifier_iceTurret:0.04|buildingHPModifier_elementalFlakFire:0.04|buildingHPModifier_elementalFlakEarth:0.04|buildingHPModifier_elementalFlakWind:0.04|buildingHPModifier_elementalFlakIce:0.04,
incubationBoost001,1,constructionBoost001|superShotHealing001,1,2,2,1~4,Heated Chamber,+5% Incubation Speed,purpleEggCurrency:5,7200,icon_research_incubation.png,icon_research_incubation_progress.png,icon_research_incubation_complete.png,dragonIncubateTimeModifier:-0.05,
healTimerBoost001,1,dragonXP001,1,2,2,1~2,Healing Remedy,+5% Dragon Healing Speed,purpleEggCurrency:5,7200,icon_research_dragon_heal.png,icon_research_dragon_heal_progress.png,icon_research_dragon_heal_complete.png,dragonHealTimeModifier:-0.05,
cannonSuperShotBoost001,1,archerAttackSpeed001|allTowerHP001,1,2,2,2~7,Spring Loaded Firing Pins,+50% Cannon Supershot Projectile Speed|+10% Cannon Supershot Damage,purpleEggCurrency:25,86400,icon_research_cannon_supershot.png,icon_research_cannon_supershot_progress.png,icon_research_cannon_supershot_complete.png,projectileSpeedModifierKey_cannonTower:0.50|buildingSpecialAttackModifier_cannonTower:0.10,
stormTowerHP001,1,allTowerHP001,1,2,2,2~5,Fortified Storm Towers,+4% Storm Tower HP,purpleEggCurrency:40,86400,icon_research_storm_hp.png,icon_research_storm_hp_progress.png,icon_research_storm_hp_complete.png,buildingHPModifier_stormTower:0.04,
evasionDuration001,1,healingMarkBoost001,1,2,2,2~3,Enhanced Evasion,+1.0 Second Evasion Spell Duration,purpleEggCurrency:40,86400,icon_research_evasion.png,icon_research_evasion_progress.png,icon_research_evasion_complete.png,spellDurationModifier_dodge:1,
