identifier,level,inBundle,spellNameIdentifier,spellDescriptionIdentifier,attributes,attackType,percentDamageReduction,icon,h
String,String,Integer,String,String,String,String,Integer,String,String
archerResist01,1,1,spell_ResistAbility_archerResist01_spellName,spell_ResistAbility_archerResist01_spellDescription,,archer,70,icon_resist_archer.png,
cannonResist01,1,1,spell_ResistAbility_cannonResist01_spellName,spell_ResistAbility_cannonResist01_spellDescription,,cannon,70,icon_resist_canon.png,
stormResist01,1,1,spell_ResistAbility_stormResist01_spellName,spell_ResistAbility_stormResist01_spellDescription,,storm,70,icon_resist_wind.png,
ballistaResist01,1,1,spell_ResistAbility_ballistaResist01_spellName,spell_ResistAbility_ballistaResist01_spellDescription,,ballista,70,icon_resist_ballista.png,
trebuchetResist01,1,1,spell_ResistAbility_trebuchetResist01_spellName,spell_ResistAbility_trebuchetResist01_spellDescription,,trebuchet,70,icon_resist_trebuchet.png,
lightningResist01,1,1,spell_ResistAbility_lightningResist01_spellName,spell_ResistAbility_lightningResist01_spellDescription,,lightning,70,icon_resist_storm.png,
innerFire01,1,0,spell_ResistAbility_innerFire_spellName,spell_ResistAbility_innerFire_spellDescription,,artillery,1,inner_fire_icon.png,
iceTurretResist01,1,0,spell_ResistAbility_iceTurretResist01_spellName,spell_ResistAbility_iceTurretResist01_spellDescription,,ice,70,icon_resist_ice.png,
fireTurretResist01,1,0,spell_ResistAbility_fireTurretResist01_spellName,spell_ResistAbility_fireTurretResist01_spellDescription,,fire,70,icon_resist_fire.png,
darkFlakResist01,1,0,spell_ResistAbility_darkFlakResist01_spellName,spell_ResistAbility_darkFlakResist01_spellDescription,,flak,70,icon_resist_flakDark.png,
fireFlakResist01,1,0,spell_ResistAbility_fireFlakResist01_spellName,spell_ResistAbility_fireFlakResist01_spellDescription,,fireFlak,70,icon_resist_flakFire.png,
iceFlakResist01,1,0,spell_ResistAbility_iceFlakResist01_spellName,spell_ResistAbility_iceFlakResist01_spellDescription,,iceFlak,70,icon_resist_flakIce.png,
windFlakResist01,1,0,spell_ResistAbility_windFlakResist01_spellName,spell_ResistAbility_windFlakResist01_spellDescription,,windFlak,70,icon_resist_flakLightning.png,
earthFlakResist01,1,0,spell_ResistAbility_iceFlakResist01_spellName,spell_ResistAbility_iceFlakResist01_spellDescription,,iceFlak,70,icon_resist_flakEarth.png,
physicalResist01,1,0,spell_ResistAbility_physicalResist01_spellName,spell_ResistAbility_physicalResist01_spellDescription,,flak|fireFlak|iceFlak|windFlak|earthFlak|archer|cannon|ballista|trebuchet,50,icon_resist_physical.png,
elementalResist01,1,0,spell_ResistAbility_elementalResist01_spellName,spell_ResistAbility_elementalResist01_spellDescription,,flak|fireFlak|iceFlak|windFlak|earthFlak|storm|lightning|ice|fire,50,icon_resist_elemental.png,
flakResist01,1,0,spell_ResistAbility_flakResist01_spellName,spell_ResistAbility_flakResist01_spellDescription,,flak|fireFlak|iceFlak|windFlak|earthFlak,50,icon_flakResist.png,
darkFlakResist02,1,0,spell_ResistAbility_darkFlakResist01_spellName,spell_ResistAbility_darkFlakResist01_spellDescription,,flak,100,icon_resist_flakDark.png,
fireFlakResist02,1,0,spell_ResistAbility_fireFlakResist01_spellName,spell_ResistAbility_fireFlakResist01_spellDescription,,fireFlak,100,icon_resist_flakFire.png,
iceFlakResist02,1,0,spell_ResistAbility_iceFlakResist01_spellName,spell_ResistAbility_iceFlakResist01_spellDescription,,iceFlak,100,icon_resist_flakIce.png,
windFlakResist02,1,0,spell_ResistAbility_windFlakResist01_spellName,spell_ResistAbility_windFlakResist01_spellDescription,,windFlak,100,icon_resist_flakLightning.png,!@#gpcanjndcigpojoi
