conflictSpellList,conflictAsChildOfSpellList,conflictDragonList,comment,h
String,String,String,String,String
timeShift|cloak|dissipate|alterFate,,,invisible spells shouldn't stack together!,
cloak,,T8C4HEdragon|T10C4HEdragon,Hauheset should not be able to equip cloak!,
berserk|energySyphon|bloodFury|dragonCurse,,,Vampiric spell shouldn't stack together!,
berserk|frenzySpell,,,,
berserk|kamikaze,,,,
isolation,,hunter|sorcerer|invoker,Isolation should not be on a hunter,
shadowApophet|summonAIDragon,,,,
summonDodo|summonAIDragon,,,,
consume,,warrior|sorcerer|invoker,ammo changing spell should only be on hunter,
lightSpeed,,warrior|sorcerer|invoker,ammo changing spell should only be on hunter,
mysticWind|invertSpell|invertSpellReverse,,,,
hurricane|invertSpell|invertSpellReverse,,,,
instantKill|whiteInstantKill,,,,
starburn|summonDodo|shadowApophet|hellspawn|summonAIDragon,,,starburn and frostbite does not work with summon,
absorbMagic|stoneskin|shieldAssault,,,,
absorbMagic|invincibleSpell|shieldAssault,,,,
shieldAssault,,hunter|sorcerer|invoker,,
shieldAssault|invincibleSpell|stoneskin|chargedShield|chargedShieldSuper,,,shield assault shouldn't work with any other shield,
explosiveAegis|shieldAssault|invincibleSpell|stoneskin|chargedShield|chargedShieldSuper|absorbMagic|alterFate,,,explosive aegis shouldn't work with other shields,
alterFate|undyingWill|kamikaze|timeShift,,,"alterFate shouldn't work with other speed change spells, and kamikaze should not work with other time related spell",
alterFate|dodge,,,alterFate shouldn't work with other speed change spells,
kamikaze|borrowTime,,,kamikaze should not work with other time related spells,
galvanicOverloadSpell|explosiveAegis|seethingSpark|celestialDance|shieldAssault|ferociousBarrier|timeShift|alterFate|stealEssence|adaptiveBreath|adaptiveResist,adaptiveBreath,,multistage spells should not be put in adaptive breath as child,
dodge|deflectingGale,,,"deflectingGale inherits dodge, should not put on the same dragon",
frenzySpell,,E19Q2MythicInvokerDragon,Namaka shouldn't be able to use Havoc or battlecry consumable,
shortCircuit|mindControl,,,Elemental Mayhem and Mind Control can't be on the same dragon,
fireLance,,hunter|sorcerer|invoker,Fire Lance is warrior-only because it ramps on continuous damage from flamethrower,
fireLance|berserk,,,Fire Lance shouldn't mix with other spells that would make attack power excessively high,
fireLance|frenzySpell,,,Fire Lance shouldn't mix with other spells that would make attack power excessively high,
fireLance|battlecry,,,Fire Lance shouldn't mix with other spells that would make attack power excessively high,
fireLance|maleficBreath|shieldAssault|ashenBreath|wintersBite|heatstroke|snowBlind|ectoplasmicBreath|onslaught|miasmicBreath|entropy|evilEye|breathOfTheDrowned,,,Spells that modify flamethrower VFX should not be mixed,!@#pohaikkfeefcdjja
