identifier,inBundle,currencies,eggs,eggParents,dragons,breeders,consumables,dragonArmors,runes,eliteAccountTime,riderGear,rankedRewardIdentifier,displayName,iconFilename,isIAPReward,isAdReward,rewardTargets,h
String,Integer,Map<String:Integer>,Map<String:Integer>,String,String,String,Map<String:Integer>,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,String,LocalizedString,String,Integer,Integer,Integer,String
gemReward,,ruby:1,,,,,,,,,,,Gems,,,,,
chest0Reward,,chest0:1,,,,,,,,,,,Bronze Chest,,,,,
chest1Reward,,chest1:1,,,,,,,,,,,Silver Chest,,,,,
chest2Reward,,chest2:1,,,,,,,,,,,Gold Chest,,,,,
coinReward,,food:1,,,,,,,,,,,Coins,,,,,
ghaumEgg,,,T4C1SDdragon:8,T2C3SFdragon|T4C4SDdragon,,,,,,,,,Orange Egg,img_egg_orange_01.png,,,,
zydronEgg,,,T2C1HUdragon:1,T1C1SEdragon|T3C2HUdragon,,,,,,,,,Purple Egg,img_egg_purple_01.png,,,,
kinnaraEgg,,,T1C3SIdragon:5,T4C1HFdragon|T1C1WFdragon,,,,,,,,,,,,,,
commonEgg,,,common:1,,,,,,,,,,Common Egg,,,,,
uncommonEgg,,,uncommon:1,,,,,,,,,,Uncommon Egg,,,,,
rareEgg,,,rare:1,,,,,,,,,,Rare Egg,,,,,
pumpkinEgg,,,pumpkinDragon:1,T2C3SFdragon|T4C4SDdragon,,,,,,,,,Green Egg,img_egg_orange_01.png,,,,
masterBreeder,,,,,,breederMaster,,,,,,,,,,,,
trophyCoins,,,,,,,,,,,,trophyCoins,Win food tribute based on your team's rank at the end of the week!,,,,,
valuePackAsReward1,,ruby:1000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:100|repairConsumable:100,,,,,,,,,,,
valuePackAsReward2,,ruby:2000,T1C3SIdragon:100,T4C1HFdragon|T1C1WFdragon,,,fullHeal:200|repairConsumable:200,,,,,,,,,,,
repairConsumable,,,,,,,repairConsumable:1,,,,,,,,,,,
attackConsumable,,,,,,,attackConsumable:1,,,,,,,,,,,
armorConsumable,,,,,,,armorConsumable:1,,,,,,,,,,,
increaseBuildingAttackConsumable1,,,,,,,increaseBuildingAttack1:1,,,,,,,,,,,
increaseAttackConsumable1,,,,,,,increaseAttack1:1,,,,,,,,,,,
increaseHPConsumable1,,,,,,,increaseHP1:1,,,,,,,,,,,
increaseBuildingHPConsumable1,,,,,,,increaseBuildingHP1:1,,,,,,,,,,,
aoeSpellConsumable01,,,,,,,aoeSpellConsumable01:1,,,,,,,,,,,
battlecrySpellConsumable01,,,,,,,battlecrySpellConsumable01:1,,,,,,,,,,,
chainLightningSpellConsumable01,,,,,,,chainLightningSpellConsumable01:1,,,,,,,,,,,
chargeShieldSpellConsumable01,,,,,,,chargeShieldSpellConsumable01:1,,,,,,,,,,,
cloakSpellConsumable01,,,,,,,cloakSpellConsumable01:1,,,,,,,,,,,
curePoisonSpellConsumable01,,,,,,,curePoisonSpellConsumable01:1,,,,,,,,,,,
dodgeSpellConsumable01,,,,,,,dodgeSpellConsumable01:1,,,,,,,,,,,
