identifier,inBundle,displayName,iconFilename,rewards1,rewardDistributions1,probability1,rewards2,rewardDistributions2,probability2,rewards3,rewardDistributions3,probability3,rewards4,rewardDistributions4,probability4,rewards5,rewardDistributions5,probability5,rewards6,rewardDistributions6,probability6,rewards7,rewardDistributions7,probability7,rewards8,rewardDistributions8,probability8,rewards9,rewardDistributions9,probability9,rewards10,rewardDistributions10,probability10,rewards11,rewardDistributions11,probability11,rewards12,rewardDistributions12,probability12,h
String,Integer,LocalizedString,String,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,Map<String:Integer>,Map<String:Integer>,Integer,String
premium,,,,,lowGem:100|coin:100,9,,highGem:100|coin:100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lowGem,,,,gemReward:1,,1,gemReward:0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highGem,,,,gemReward:1,,5,gemReward:0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coin,,,,coinReward:1,,5,coinReward:0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attackMonumentSuccessConsumable,,,,,defenderBoostDistribution:1,20,,expediteMonumentDistribution:1,20,,buildingBoostDistribution:1,20,,spellConsumableDistribution:1,15,,dragonBoostDistribution:1,15,,healDragonDistribution:1,5,,,,,,,,,,,,,,,,,,,
attackSuccessConsumable,,,,,defenderBoostDistribution:1,20,,expediteDistribution:1,20,,buildingBoostDistribution:1,20,,spellConsumableDistribution:1,15,,dragonBoostDistribution:1,15,,healDragonDistribution:1,5,,,,,,,,,,,,,,,,,,,
defenseSuccessConsumable,,,,,defenderBoostDistribution:1,20,,expediteDistribution:1,20,,buildingBoostDistribution:1,20,,spellConsumableDistribution:1,15,,dragonBoostDistribution:1,15,,healDragonDistribution:1,5,,,,,,,,,,,,,,,,,,,
dragonBoostDistribution,,,,increaseAttackConsumable1:1,,1,increaseHPConsumable1:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buildingBoostDistribution,,,,increaseBuildingAttackConsumable1:1,,1,increaseBuildingHPConsumable1:1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
