identifier,riderGearPullIdentifier,displayName,descriptionText,slot,iconFilename,element,maxLevel,dragonType,tier,requiredLevel,riderLevel,buff1Type,buff1Base,buff1PerLvl,buff2Type,buff2Base,buff2PerLvl,salvagePercentage,craftingCost,craftingDuration,achievementRequirement,rewards,rewardDistribution,sortPriority,canOnlyBeBought,visible,rarityIndex,combatIncreasePerLevel,h
String,String,LocalizedString,String,String,String,String,Integer,String,Integer,Integer,Integer,String,Float,Float,String,Float,Float,Integer,Map<String:Integer>,Integer,String,Map<String:Integer>,Map<String:Integer>,Integer,Integer,Integer,Integer,Integer,String
S1-BOOTS-R1-A,,Warlock Venom Boots,,boots,icon_riderBoots_darkBase_set01.png,darkElement,5,,1,1,1,buildingAttackModifier,1.2,0.2,,,,5,cmCrystaldark:1500|cmCrystalfire:1120,10800,,S1-BOOTS-R1-A_Reward:1,,360,,1,0,52,
S1-BOOTS-R2-A,gearPull_1,Warlock Venom Boots,,boots,icon_riderBoots_darkBase_set01.png,darkElement,5,,1,1,1,buildingAttackModifier,2.4,0.4,,,,5,cmCrystaldark:9000|cmCrystalfire:6700,10800,,S1-BOOTS-R2-A_Reward:1,,270,,1,3,121,
S1-BOOTS-R3-A,gearPull_1,Warlock Venom Boots,,boots,icon_riderBoots_darkBase_set01.png,darkElement,10,,1,1,1,buildingAttackModifier,3.4,0.4,,,,5,cmCrystaldark:19500|cmCrystalfire:14600,10800,,S1-BOOTS-R3-A_Reward:1,,180,,1,4,114,
S1-BOOTS-R4-A,gearPull_1,Warlock Venom Boots,,boots,icon_riderBoots_darkBase_set01.png,darkElement,10,,1,1,1,buildingAttackModifier,6,1,,,,5,cmCrystaldark:37500|cmCrystalfire:30000,10800,,S1-BOOTS-R4-A_Reward:1,,90,,1,5,173,
S1-BOOTS-R7-A,gearPull_1,Warlock Venom Boots,,boots,icon_riderBoots_darkBase_set01.png,darkElement,10,,1,1,1,buildingAttackModifier,6.5,1.5,,,,5,cmCrystaldark:41250|cmCrystalfire:33000,10800,,S1-BOOTS-R7-A_Reward:1,,5,,1,7,232,
S1-CHEST-R1-A,,Warlock Blue Mage Plate,,chest,icon_riderChest_darkBase_set01.png,darkElement,5,,1,1,1,buildingHPModifier,1.2,0.2,,,,5,cmCrystaldark:1500|cmCrystalfire:1120,10800,,S1-CHEST-R1-A_Reward:1,,350,,1,0,62,
S1-CHEST-R2-A,gearPull_11,Warlock Blue Mage Plate,,chest,icon_riderChest_darkBase_set01.png,darkElement,5,,1,1,1,buildingHPModifier,2.4,0.4,,,,5,cmCrystaldark:9000|cmCrystalfire:6700,10800,,S1-CHEST-R2-A_Reward:1,,260,,1,3,145,
S1-CHEST-R3-A,gearPull_11,Warlock Blue Mage Plate,,chest,icon_riderChest_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,3.4,0.4,,,,5,cmCrystaldark:19500|cmCrystalfire:14600,10800,,S1-CHEST-R3-A_Reward:1,,170,,1,4,137,
S1-CHEST-R4-A,gearPull_11,Warlock Blue Mage Plate,,chest,icon_riderChest_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,6,1,,,,5,cmCrystaldark:37500|cmCrystalfire:30000,10800,,S1-CHEST-R4-A_Reward:1,,80,,1,5,207,
S1-CHEST-R7-A,gearPull_11,Warlock Blue Mage Plate,,chest,icon_riderChest_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,6.5,1.5,,,,5,cmCrystaldark:41250|cmCrystalfire:33000,10800,,S1-CHEST-R7-A_Reward:1,,5,,1,7,232,
S1-GLOVES-R1-A,,Warlock Thunder Gloves,,gloves,icon_riderGloves_darkBase_set01.png,darkElement,5,,1,1,1,buildingAttackModifier,1.2,0.2,,,,5,cmCrystaldark:1500|cmCrystalwind:1120,10800,,S1-GLOVES-R1-A_Reward:1,,340,,1,0,52,
S1-GLOVES-R2-A,gearPull_21,Warlock Thunder Gloves,,gloves,icon_riderGloves_darkBase_set01.png,darkElement,5,,1,1,1,buildingAttackModifier,2.4,0.4,,,,5,cmCrystaldark:9000|cmCrystalwind:6700,10800,,S1-GLOVES-R2-A_Reward:1,,250,,1,3,121,
S1-GLOVES-R3-A,gearPull_21,Warlock Thunder Gloves,,gloves,icon_riderGloves_darkBase_set01.png,darkElement,10,,1,1,1,buildingAttackModifier,3.4,0.4,,,,5,cmCrystaldark:19500|cmCrystalwind:14600,10800,,S1-GLOVES-R3-A_Reward:1,,160,,1,4,114,
S1-GLOVES-R4-A,gearPull_21,Warlock Thunder Gloves,,gloves,icon_riderGloves_darkBase_set01.png,darkElement,10,,1,1,1,buildingAttackModifier,6,1,,,,5,cmCrystaldark:37500|cmCrystalwind:30000,10800,,S1-GLOVES-R4-A_Reward:1,,70,,1,5,173,
S1-GLOVES-R7-A,gearPull_21,Warlock Thunder Gloves,,gloves,icon_riderGloves_darkBase_set01.png,darkElement,10,,1,1,1,buildingAttackModifier,6.5,1.5,,,,5,cmCrystaldark:41250|cmCrystalwind:33000,10800,,S1-GLOVES-R7-A_Reward:1,,5,,1,7,232,
S1-HEAD-R1-A,,Warlock Venom Helm,,head,icon_riderHelm_darkBase_set01.png,darkElement,5,,1,1,1,buildingHPModifier,1.2,0.2,,,,5,cmCrystaldark:1500|cmCrystalwind:1120,10800,,S1-HEAD-R1-A_Reward:1,,330,,1,0,62,
S1-HEAD-R2-A,gearPull_31,Warlock Venom Helm,,head,icon_riderHelm_darkBase_set01.png,darkElement,5,,1,1,1,buildingHPModifier,2.4,0.4,,,,5,cmCrystaldark:9000|cmCrystalwind:6700,10800,,S1-HEAD-R2-A_Reward:1,,240,,1,3,145,
S1-HEAD-R3-A,gearPull_31,Warlock Venom Helm,,head,icon_riderHelm_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,3.4,0.4,,,,5,cmCrystaldark:19500|cmCrystalwind:14600,10800,,S1-HEAD-R3-A_Reward:1,,150,,1,4,137,
S1-HEAD-R4-A,gearPull_31,Warlock Venom Helm,,head,icon_riderHelm_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,6,1,,,,5,cmCrystaldark:37500|cmCrystalwind:30000,10800,,S1-HEAD-R4-A_Reward:1,,60,,1,5,207,
S1-HEAD-R7-A,gearPull_31,Warlock Venom Helm,,head,icon_riderHelm_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,6.5,1.5,,,,5,cmCrystaldark:41250|cmCrystalwind:33000,10800,,S1-HEAD-R7-A_Reward:1,,5,,1,7,232,
S1-PANTS-R1-A,,Warlock Catapult Pants,,pants,icon_riderPants_darkBase_set01.png,darkElement,5,,1,1,1,buildingHPModifier,1.2,0.2,,,,5,cmCrystaldark:1500|cmCrystalfire:1120,10800,,S1-PANTS-R1-A_Reward:1,,320,,1,0,62,
S1-PANTS-R2-A,gearPull_41,Warlock Catapult Pants,,pants,icon_riderPants_darkBase_set01.png,darkElement,5,,1,1,1,buildingHPModifier,2.4,0.4,,,,5,cmCrystaldark:9000|cmCrystalfire:6700,10800,,S1-PANTS-R2-A_Reward:1,,230,,1,3,145,
S1-PANTS-R3-A,gearPull_41,Warlock Catapult Pants,,pants,icon_riderPants_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,3.4,0.4,,,,5,cmCrystaldark:19500|cmCrystalfire:14600,10800,,S1-PANTS-R3-A_Reward:1,,140,,1,4,137,
S1-PANTS-R4-A,gearPull_41,Warlock Catapult Pants,,pants,icon_riderPants_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,6,1,,,,5,cmCrystaldark:37500|cmCrystalfire:30000,10800,,S1-PANTS-R4-A_Reward:1,,50,,1,5,207,
S1-PANTS-R7-A,gearPull_41,Warlock Catapult Pants,,pants,icon_riderPants_darkBase_set01.png,darkElement,10,,1,1,1,buildingHPModifier,6.5,1.5,,,,5,cmCrystaldark:41250|cmCrystalfire:33000,10800,,S1-PANTS-R7-A_Reward:1,,5,,1,7,232,
S1-RINGS-R1-A,,Warlock Archer Ring,,rings,icon_riderRing_darkBase_set01.png,darkElement,5,,1,1,1,buildingAttackModifier,1.7,0.2,,,,5,cmCrystaldark:1500|cmCrystalfire:1120,10800,,S1-RINGS-R1-A_Reward:1,,305,,1,0,83,
S1-RINGS-R1-B,,Warlock Woodsman Ring,,rings,icon_riderRing_darkBase_set01.png,darkElement,5,,1,1,1,buildingProductionModifier_woodFarm,2,0.5,,,,5,cmCrystaldark:1500|cmCrystalice:1120,10800,,S1-RINGS-R1-B_Reward:1,,310,,1,0,83,
S1-RINGS-R2-A,gearPull_56,Warlock Archer Ring,,rings,icon_riderRing_darkBase_set01.png,darkElement,5,,1,1,1,buildingAttackModifier,3.4,0.4,,,,5,cmCrystaldark:9000|cmCrystalfire:6700,10800,,S1-RINGS-R2-A_Reward:1,,215,,1,3,193,
S1-RINGS-R2-B,gearPull_51,Warlock Woodsman Ring,,rings,icon_riderRing_darkBase_set01.png,darkElement,5,,1,1,1,buildingProductionModifier_woodFarm,4,0.5,,,,5,cmCrystaldark:9000|cmCrystalice:6700,10800,,S1-RINGS-R2-B_Reward:1,,220,,1,3,193,
