identifier,craftingCost,craftingDuration,riderGearDistribution,h
String,Map<String:Integer>,Integer,Map<String:Integer>,String
gearPull_1,cmCrystaldark:3000|cmCrystalfire:2240|craftingScroll:25,10800,S1-BOOTS-R2-A:50|S1-BOOTS-R3-A:30|S1-BOOTS-R4-A:15|S1-BOOTS-R7-A:5,
gearPull_2,cmCrystaldark:3000|cmCrystalearth:2240|craftingScroll:25,10800,S2-BOOTS-R2-A:50|S2-BOOTS-R3-A:30|S2-BOOTS-R4-A:15|S2-BOOTS-R7-A:5,
gearPull_3,cmCrystalearth:3000|cmCrystalice:2240|craftingScroll:25,10800,S3-BOOTS-R2-A:50|S3-BOOTS-R3-A:30|S3-BOOTS-R4-A:15|S3-BOOTS-R7-A:5,
gearPull_4,cmCrystalearth:3000|cmCrystalfire:2240|craftingScroll:25,10800,S4-BOOTS-R2-A:50|S4-BOOTS-R3-A:30|S4-BOOTS-R4-A:15|S4-BOOTS-R7-A:5,
gearPull_5,cmCrystalfire:3000|cmCrystalwind:2240|craftingScroll:25,10800,S5-BOOTS-R2-A:50|S5-BOOTS-R3-A:30|S5-BOOTS-R4-A:15|S5-BOOTS-R7-A:5,
gearPull_6,cmCrystalfire:3000|cmCrystaldark:2240|craftingScroll:25,10800,S6-BOOTS-R2-A:50|S6-BOOTS-R3-A:30|S6-BOOTS-R4-A:15|S6-BOOTS-R7-A:5,
gearPull_7,cmCrystalice:3000|cmCrystaldark:2240|craftingScroll:25,10800,S7-BOOTS-R2-A:50|S7-BOOTS-R3-A:30|S7-BOOTS-R4-A:15|S7-BOOTS-R7-A:5,
gearPull_8,cmCrystalice:3000|cmCrystalwind:2240|craftingScroll:25,10800,S8-BOOTS-R2-A:50|S8-BOOTS-R3-A:30|S8-BOOTS-R4-A:15|S8-BOOTS-R7-A:5,
gearPull_9,cmCrystalwind:3000|cmCrystalearth:2240|craftingScroll:25,10800,S9-BOOTS-R2-A:50|S9-BOOTS-R3-A:30|S9-BOOTS-R4-A:15|S9-BOOTS-R7-A:5,
gearPull_10,cmCrystalwind:3000|cmCrystalfire:2240|craftingScroll:25,10800,S10-BOOTS-R2-A:50|S10-BOOTS-R3-A:30|S10-BOOTS-R4-A:15|S10-BOOTS-R7-A:5,
gearPull_11,cmCrystaldark:3000|cmCrystalfire:2240|craftingScroll:50,10800,S1-CHEST-R2-A:50|S1-CHEST-R3-A:30|S1-CHEST-R4-A:15|S1-CHEST-R7-A:5,
gearPull_12,cmCrystaldark:3000|cmCrystalice:2240|craftingScroll:50,10800,S2-CHEST-R2-A:50|S2-CHEST-R3-A:30|S2-CHEST-R4-A:15|S2-CHEST-R7-A:5,
gearPull_13,cmCrystalearth:3000|cmCrystalfire:2240|craftingScroll:50,10800,S3-CHEST-R2-A:50|S3-CHEST-R3-A:30|S3-CHEST-R4-A:15|S3-CHEST-R7-A:5,
gearPull_14,cmCrystalearth:3000|cmCrystalwind:2240|craftingScroll:50,10800,S4-CHEST-R2-A:50|S4-CHEST-R3-A:30|S4-CHEST-R4-A:15|S4-CHEST-R7-A:5,
gearPull_15,cmCrystalfire:3000|cmCrystalwind:2240|craftingScroll:50,10800,S5-CHEST-R2-A:50|S5-CHEST-R3-A:30|S5-CHEST-R4-A:15|S5-CHEST-R7-A:5,
gearPull_16,cmCrystalfire:3000|cmCrystaldark:2240|craftingScroll:50,10800,S6-CHEST-R2-A:50|S6-CHEST-R3-A:30|S6-CHEST-R4-A:15|S6-CHEST-R7-A:5,
gearPull_17,cmCrystalice:3000|cmCrystaldark:2240|craftingScroll:50,10800,S7-CHEST-R2-A:50|S7-CHEST-R3-A:30|S7-CHEST-R4-A:15|S7-CHEST-R7-A:5,
gearPull_18,cmCrystalice:3000|cmCrystalearth:2240|craftingScroll:50,10800,S8-CHEST-R2-A:50|S8-CHEST-R3-A:30|S8-CHEST-R4-A:15|S8-CHEST-R7-A:5,
gearPull_19,cmCrystalwind:3000|cmCrystalice:2240|craftingScroll:50,10800,S9-CHEST-R2-A:50|S9-CHEST-R3-A:30|S9-CHEST-R4-A:15|S9-CHEST-R7-A:5,
gearPull_20,cmCrystalwind:3000|cmCrystalearth:2240|craftingScroll:50,10800,S10-CHEST-R2-A:50|S10-CHEST-R3-A:30|S10-CHEST-R4-A:15|S10-CHEST-R7-A:5,
gearPull_21,cmCrystaldark:3000|cmCrystalwind:2240|craftingScroll:50,10800,S1-GLOVES-R2-A:50|S1-GLOVES-R3-A:30|S1-GLOVES-R4-A:15|S1-GLOVES-R7-A:5,
gearPull_22,cmCrystaldark:3000|cmCrystalice:2240|craftingScroll:50,10800,S2-GLOVES-R2-A:50|S2-GLOVES-R3-A:30|S2-GLOVES-R4-A:15|S2-GLOVES-R7-A:5,
gearPull_23,cmCrystalearth:3000|cmCrystaldark:2240|craftingScroll:50,10800,S3-GLOVES-R2-A:50|S3-GLOVES-R3-A:30|S3-GLOVES-R4-A:15|S3-GLOVES-R7-A:5,
gearPull_24,cmCrystalearth:3000|cmCrystalwind:2240|craftingScroll:50,10800,S4-GLOVES-R2-A:50|S4-GLOVES-R3-A:30|S4-GLOVES-R4-A:15|S4-GLOVES-R7-A:5,
gearPull_25,cmCrystalfire:3000|cmCrystalearth:2240|craftingScroll:50,10800,S5-GLOVES-R2-A:50|S5-GLOVES-R3-A:30|S5-GLOVES-R4-A:15|S5-GLOVES-R7-A:5,
gearPull_26,cmCrystalfire:3000|cmCrystaldark:2240|craftingScroll:50,10800,S6-GLOVES-R2-A:50|S6-GLOVES-R3-A:30|S6-GLOVES-R4-A:15|S6-GLOVES-R7-A:5,
gearPull_27,cmCrystalice:3000|cmCrystalfire:2240|craftingScroll:50,10800,S7-GLOVES-R2-A:50|S7-GLOVES-R3-A:30|S7-GLOVES-R4-A:15|S7-GLOVES-R7-A:5,
gearPull_28,cmCrystalice:3000|cmCrystalearth:2240|craftingScroll:50,10800,S8-GLOVES-R2-A:50|S8-GLOVES-R3-A:30|S8-GLOVES-R4-A:15|S8-GLOVES-R7-A:5,
gearPull_29,cmCrystalwind:3000|cmCrystalice:2240|craftingScroll:50,10800,S9-GLOVES-R2-A:50|S9-GLOVES-R3-A:30|S9-GLOVES-R4-A:15|S9-GLOVES-R7-A:5,
gearPull_30,cmCrystalwind:3000|cmCrystalfire:2240|craftingScroll:50,10800,S10-GLOVES-R2-A:50|S10-GLOVES-R3-A:30|S10-GLOVES-R4-A:15|S10-GLOVES-R7-A:5,
gearPull_31,cmCrystaldark:3000|cmCrystalwind:2240|craftingScroll:25,10800,S1-HEAD-R2-A:50|S1-HEAD-R3-A:30|S1-HEAD-R4-A:15|S1-HEAD-R7-A:5,
gearPull_32,cmCrystaldark:3000|cmCrystalice:2240|craftingScroll:25,10800,S2-HEAD-R2-A:50|S2-HEAD-R3-A:30|S2-HEAD-R4-A:15|S2-HEAD-R7-A:5,
gearPull_33,cmCrystalearth:3000|cmCrystaldark:2240|craftingScroll:25,10800,S3-HEAD-R2-A:50|S3-HEAD-R3-A:30|S3-HEAD-R4-A:15|S3-HEAD-R7-A:5,
gearPull_34,cmCrystalearth:3000|cmCrystalwind:2240|craftingScroll:25,10800,S4-HEAD-R2-A:50|S4-HEAD-R3-A:30|S4-HEAD-R4-A:15|S4-HEAD-R7-A:5,
gearPull_35,cmCrystalfire:3000|cmCrystalearth:2240|craftingScroll:25,10800,S5-HEAD-R2-A:50|S5-HEAD-R3-A:30|S5-HEAD-R4-A:15|S5-HEAD-R7-A:5,
gearPull_36,cmCrystalfire:3000|cmCrystaldark:2240|craftingScroll:25,10800,S6-HEAD-R2-A:50|S6-HEAD-R3-A:30|S6-HEAD-R4-A:15|S6-HEAD-R7-A:5,
