identifier,inBundle,riderMissionLevelIdentifier,sortPriority,displayName,rewardIdentifier,isPromoted,promotedAmount,promotedEndDate,missionTimeSeconds,rotatingElements,defaultElement,missionIcon,expediteCostPerMin,missionDetailsIcon,missionDetailsText,missionDetailsInfo,randomChanceBonus,bonusAmountPercent,missionTokenType,missionTokenAmount,payoutText,isLocked,h
String,Integer,String,Integer,LocalizedString,String,Integer,Integer,Date,Integer,Array<String>,String,String,Float,String,LocalizedString,LocalizedString,Integer,Integer,String,Integer,LocalizedString,Integer,String
riderMission1,0,oneStar,1,Crafting Scrolls,riderMissionRewardCraftingScroll1,0,0,2018.3.21,43200,windElement|earthElement|darkElement|fireElement|iceElement,,icon_mission_craftingScroll_01.png,1,icon_mission_craftingScroll_01.png,Traveling armorsmiths are passing through escorted by armed guards. Dispatch your rider to destroy them and recover their crafting scrolls.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken1Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission2,0,oneStar,2,Egg Tokens,riderMissionRewardEggToken1,0,0,2018.3.3,43200,earthElement|darkElement|fireElement|iceElement|windElement,,icon_breeder_token_01.png,1,icon_breeder_token_01.png,Looters in your area are carrying a hoard of egg tokens across the land. Dispatch your rider to destroy them and recover the egg tokens.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken1Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission3,0,oneStar,3,Timers,riderMissionRewardExpedite1,0,0,2018.3.22,43200,darkElement|fireElement|iceElement|windElement|earthElement,,icon_boost_expedite_01.png,1,icon_boost_expedite_01.png,Traveling builders are passing through the area. Dispatch your rider to destroy them and recover their timers.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken1Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission5,0,twoStar,5,Crafting Scrolls,riderMissionRewardCraftingScroll2,0,0,2018.3.22,43200,iceElement|windElement|earthElement|darkElement|fireElement,,icon_mission_craftingScroll_02.png,1,icon_mission_craftingScroll_02.png,Traveling armorsmiths are passing through escorted by armed guards. Dispatch your rider to destroy them and recover their crafting scrolls.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken2Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission6,0,twoStar,6,Egg Tokens,riderMissionRewardEggToken2,0,0,2018.3.14,43200,windElement|earthElement|darkElement|fireElement|iceElement,,icon_breeder_token_01.png,1,icon_breeder_token_01.png,Looters in your area are carrying a hoard of egg tokens across the land. Dispatch your rider to destroy them and recover the egg tokens.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken2Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission7,0,twoStar,7,Timers,riderMissionRewardExpedite2,0,0,2018.3.23,43200,windElement|earthElement|darkElement|fireElement|iceElement,,icon_boost_expedite_03_v2.png,1,icon_boost_expedite_03_v2.png,Traveling builders are passing through the area. Dispatch your rider to destroy them and recover their timers.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken2Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission8,0,twoStar,8,Gold,riderMissionRewardGold2,0,0,2018.3.23,43200,earthElement|darkElement|fireElement|iceElement|windElement,,icon_mission_gold_02.png,1,icon_mission_gold_02.png,Invaders are in your area hording caches of gold. Dispatch your rider to destroy them and recover their gold.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken2Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission9,0,threeStar,9,Crafting Scrolls,riderMissionRewardCraftingScroll3,0,0,2018.3.22,43200,darkElement|fireElement|iceElement|windElement|earthElement,,icon_mission_craftingScroll_03.png,2,icon_mission_craftingScroll_03.png,Traveling armorsmiths are passing through escorted by armed guards. Dispatch your rider to destroy them and recover their crafting scrolls.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken3Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission10,0,threeStar,10,Egg Tokens,riderMissionRewardEggToken3,0,0,2018.3.23,43200,iceElement|windElement|earthElement|darkElement|fireElement,,icon_breeder_token_01.png,2,icon_breeder_token_01.png,Looters in your area are carrying a hoard of egg tokens across the land. Dispatch your rider to destroy them and recover the egg tokens.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken3Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission11,0,threeStar,11,Timers,riderMissionRewardExpedite3,0,0,2018.3.15,43200,fireElement|iceElement|windElement|earthElement|darkElement,,icon_boost_expedite_02.png,2,icon_boost_expedite_02.png,Traveling builders are passing through the area. Dispatch your rider to destroy them and recover their timers.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken3Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission12,0,threeStar,12,Gold,riderMissionRewardGold3,0,0,2018.3.16,43200,windElement|earthElement|darkElement|fireElement|iceElement,,icon_mission_gold_03.png,2,icon_mission_gold_03.png,Invaders are in your area hording caches of gold. Dispatch your rider to destroy them and recover their gold.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken3Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission13,0,fourStar,13,Crafting Scrolls,riderMissionRewardCraftingScroll4,0,0,2018.3.22,43200,fireElement|iceElement|windElement|earthElement|darkElement,,icon_mission_craftingScroll_04.png,2,icon_mission_craftingScroll_04.png,Traveling armorsmiths are passing through escorted by armed guards. Dispatch your rider to destroy them and recover their crafting scrolls.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken4Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission14,0,fourStar,14,Egg Tokens,riderMissionRewardEggToken4,0,0,2018.3.22,43200,earthElement|darkElement|fireElement|iceElement|windElement,,icon_breeder_token_01.png,2,icon_breeder_token_01.png,Looters in your area are carrying a hoard of egg tokens across the land. Dispatch your rider to destroy them and recover the egg tokens.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken4Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission15,0,fourStar,15,Timers,riderMissionRewardExpedite4,0,0,2018.3.14,43200,iceElement|windElement|earthElement|darkElement|fireElement,,icon_boost_expedite_03.png,2,icon_boost_expedite_03.png,Traveling builders are passing through the area. Dispatch your rider to destroy them and recover their timers.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken4Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission16,0,fourStar,16,Gold,riderMissionRewardGold4,0,0,2018.3.22,43200,darkElement|fireElement|iceElement|windElement|earthElement,,icon_mission_gold_04.png,2,icon_mission_gold_04.png,Invaders are in your area hording caches of gold. Dispatch your rider to destroy them and recover their gold.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken4Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission17,0,fiveStar,17,Crafting Scrolls,riderMissionRewardCraftingScroll5,0,0,2018.3.23,43200,windElement|earthElement|darkElement|fireElement|iceElement,,icon_mission_craftingScroll_05.png,2,icon_mission_craftingScroll_05.png,Traveling armorsmiths are passing through escorted by armed guards. Dispatch your rider to destroy them and recover their crafting scrolls.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken5Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
riderMission18,0,fiveStar,18,Egg Tokens,riderMissionRewardEggToken5,0,0,2018.3.23,43200,windElement|earthElement|darkElement|fireElement|iceElement,,icon_breeder_token_01.png,2,icon_breeder_token_01.png,Looters in your area are carrying a hoard of egg tokens across the land. Dispatch your rider to destroy them and recover the egg tokens.,Riders and their dragons are unusable while they are on a mission.,5,20,missionToken5Star,5,BONUS LOOT! Congratulations you found bonus loot!,0,
