identifier,boneName,location,rotation,scale,idleAnimInBattle,locationInRoster,scaleInRoster,h
String,String,String,String,Float,String,String,Float,String
drg_fire,bone_spine_C0_3_env,-49|-79|-8,23|90|180,2.6,mountstand,,,
drg_ghost,bone_spine_C0_6_env,-75|75|0,-20|90|0,2.6,mountcrouch,0|-5|0,,
drg_arcane,bone_spine_C0_6_env,-75|100|-8,-30|90|0,2.6,mountstand,,,
drg_arctic,bone_spine_C0_6_env,-75|100|-8,-30|90|0,2.6,mountstand,,,
drg_blade,bone_head_C0_1_env,-120|0|8,-50|90|0,2.6,mountcrouch,,,
drg_bull,bone_head_C0_1_env,-100|0|8,-60|90|0,2.3,mountstand,,,
drg_desert,bone_spine_C0_6_env,-75|100|0,-20|90|0,2.6,mountcrouch,,,
drg_earth_wyvern,bone_spine_C0_3_env,-65|-120|0,0|90|180,2.6,mountcrouch,,,
drg_egyptianDrake,bone_spine_C0_3_env,-50|-125|0,0|90|180,2.6,mountstand,,,
drg_egyptianSorcerer,bone_spine_C0_5_env,-150|46|-7,-20|90|0,2.6,mountstand,,,
drg_egyptianWarrior,bone_spine_C0_3_env,-99|-112|0,23|90|180,2.6,mountcrouch,,,
drg_fire_phoenix,bone_spine_C0_1_env,-42|75|0,5|90|0,2.6,mountcrouch,,,
drg_flux,bone_spine_C0_3_env,-49|-79|-8,23|90|180,2.6,mountstand,,,
drg_gemini,bone_drg_gemini_v1_spine_C0_2_env,-50|46|0,0|90|0,2.3,mountcrouch,,,
drg_glacialHunter,bone_tail_C0_1_env,46|113|0,-10|-90|0,2.6,mountstand,,,
drg_glacialWarrior,bone_spine_C0_2_env,-50|-118|0,0|90|180,2.6,mountcrouch,,,
drg_hulk,bone_spine_C0_3_env,-60|0|193,0|75|90,2.6,mountcrouch,,,
drg_jungle,bone_root_env,-126|-101|0,10|90|180,2.6,mountstand,,,
drg_krampus,bone_spine_C0_2_env,-50|113|0,-5|90|0,2.6,mountcrouch,,,
drg_lightning,bone_root_env,-126|-101|0,5|90|180,2.6,mountstand,,,
drg_magma,bone_spine_C0_3_env,-65|-120|0,0|90|180,2.6,mountcrouch,,,
drg_metalWarrior2,bone_spine_C0_1_env,-50|-89|0,5|90|0,2.6,mountcrouch,,,
drg_nature_blackblood,bone_neck_C0_1_env,26|-114|0,0|90|180,2.6,mountstand,,,
drg_phoenix_blackblood,bone_spine_C0_1_env,-41|88|0,5|90|0,2.6,mountcrouch,,,
drg_prehistoric,bone_spine_C0_3_env,-61|4|307,0|90|90,2.6,mountstand,,,
drg_sea,bone_neck_C0_1_env,23|92|0,23|90|0,2.6,mountcrouch,,,
drg_snapping,bone_spine_C0_3_env,-61|4|160,0|90|90,2.3,mountstand,,,
drg_spined,bone_spine_C0_1_env,-50|-106|0,5|90|180,2.6,mountstand,,,
drg_tengu,bone_spine_C0_3_env,-51|76|0,-5|90|0,2.6,mountstand,,,
drg_threeHeadedMetal,bone_spine_C0_3_env,0|14|-164,2|65|-90,2.6,mountstand,,,
drg_twoHeaded,bone_spine_C0_3_env,-49|-79|-8,23|90|180,2.6,mountstand,,,
drg_undead_diablo,bone_spine_C0_6_env,-96|50|-3,-30|90|0,2.6,mountstand,,,
drg_undead_pox,bone_spine_C0_3_env,-50|-80|0,0|90|180,2.6,mountcrouch,,,
drg_undead_skeletalSorcerer,bone_spine_C0_4_env,-52|19|0,-5|90|0,2.6,mountcrouch,,,
drg_undead_spectral,bone_spine_C0_2_env,-19|-108|0,0|90|180,2.6,mountcrouch,,,
drg_vampire,bone_spine_C0_1_env,-45|-126|0,10|90|180,2.6,mountstand,,,
drg_water_wyvern,bone_neck_C0_1_env,2|-51|0,0|90|180,2.6,mountcrouch,,,
drg_wendigo,bone_neck_C0_1_env,2|-131|1,0|90|180,2.6,mountcrouch,,,
drg_winterBear,bone_spine_C0_3_env,-57|-149|0,20|90|180,2.6,mountcrouch,,,
drg_winterCaribou,bone_spine_C0_3_env,-94|-93|0,20|90|180,2.6,mountcrouch,,,
drg_winterFox,bone_root_env,-10|153|0,5|90|0,2.6,mountcrouch,,,
drg_winterMonkey,bone_spine_C0_3_env,-50|-107|4,5|90|180,2.6,mountcrouch,,,
drg_zombie_blackblood,bone_spine_C0_2_env,-50|-117|-20,0|90|180,2.6,mountcrouch,,,
drg_butterfly,bone_spine_C0_3_env,-49|-148|0,0|90|180,2.6,mountcrouch,,,
drg_springTulip,bone_spine_C0_3_env,-90|-96|0,0|90|180,2.6,mountcrouch,,,
drg_springLily,bone_spine_C0_3_env,-49|-148|0,0|90|180,2.6,mountcrouch,,,
drg_springHummingbird,bone_root_env,-137|-107|0,5|90|180,2.6,mountcrouch,,,
drg_golemEarth,bone_spine_C0_3_env,-100|-101|0,0|90|180,2.6,mountcrouch,,,
drg_springOrchid,bone_root_env,-88|-115|-8,0|90|180,2.6,mountstand,,,
drg_springCaribou,bone_spine_C0_3_env,-94|-93|0,20|90|180,2.6,mountcrouch,,,
drg_golemDark,bone_root_env,-116|100|0,0|90|0,2.6,mountcrouch,,,
drg_golemWater,bone_spine_C0_3_env,-51|76|0,-5|90|0,2.6,mountcrouch,,,
drg_springRabbit,bone_root_env,-14|109|0,5|90|0,2.6,mountcrouch,,0.8,
drg_springDuck,bone_root_env,-15|95|0,5|90|0,2.6,mountcrouch,,0.8,
drg_springMonarch,bone_spine_C0_1_env,-25|104|0,5|90|0,2.6,mountstand,,0.75,
drg_springDandelion,bone_spine_C0_3_env,-104|-1|0,23|90|180,2.6,mountcrouch,,,
drg_demon,bone_neck_C0_1_env,-1|143|11,15|90|0,2.3,mountstand,,,
drg_undead_wraith,bone_spine_C0_6_env,-75|75|0,-20|90|0,2.6,mountcrouch,0|-5|0,,
drg_revenant,bone_root_env,-82|-90|0,5|90|-180,2.6,mountcrouch,,,
drg_undead_zombie,bone_spine_C0_2_env,-50|-117|-20,0|90|180,2.6,mountcrouch,,,
drg_earth_wyvern_v3_copy2,bone_spine_C0_3_env,-65|-120|0,0|90|180,2.6,mountcrouch,,,!@#poakmjgpghcclhad
