identifier,prerequisiteIdentifiers,position,riderLevelRequired,riderGearIdentifier,h
String,Array<String>,String,Integer,String,String
Ash_Dragonlord_01,,1~4,1,skill-T3-1-Dragon-HP,
Ash_Dragonlord_02,Ash_Dragonlord_01,2~6,1,skill-T1-2-Dragon-XP,
Ash_Dragonlord_03,Ash_Dragonlord_01,2~2,1,skill-T1-3-Rider-XP,
Ash_Dragonlord_04,Ash_Dragonlord_02|Ash_Dragonlord_03,3~4,1,skill-T2-4-Dragon-Attack,
Ash_Dragonlord_05,Ash_Dragonlord_04,4~6,1,skill-T2-5-Dragon-TotemDebuffResist,
Ash_Dragonlord_06,Ash_Dragonlord_04,4~2,1,skill-T2-6-Dragon-TrainingCost,
Ash_Dragonlord_07,Ash_Dragonlord_05,5~6,1,skill-T2-7-Rider-XP,
Ash_Dragonlord_08,Ash_Dragonlord_06,5~2,1,skill-T2-8-Dragon-XP,
Ash_Dragonlord_09,Ash_Dragonlord_05|Ash_Dragonlord_06,6~4,1,skill-T2-9-Dragon-HealingTime,
Ash_Dragonlord_10,Ash_Dragonlord_09,7~6,1,skill-T3-10-Dragon-ResistTower,
Ash_Dragonlord_11,Ash_Dragonlord_09,7~4,1,skill-T3-11-Dragon-ResistTower,
Ash_Dragonlord_12,Ash_Dragonlord_09,7~2,1,skill-T3-12-Dragon-ResistTower,
Ash_Dragonlord_13,Ash_Dragonlord_10|Ash_Dragonlord_11|Ash_Dragonlord_12,8~4,1,skill-T4-13-Dragon-HPClass,
Ash_Dragonlord_14,Ash_Dragonlord_13,9~4,1,skill-T4-14-Dragon-AttackClass,
Ash_Protector_01,,1~4,1,skill-T3-15-Dragon-Attack,
Ash_Protector_02,Ash_Protector_01,2~6,1,skill-T1-16-Dragon-XP,
Ash_Protector_03,Ash_Protector_01,2~2,1,skill-T1-17-Rider-XP,
Ash_Protector_04,Ash_Protector_02|Ash_Protector_03,3~4,1,skill-T2-18-Dragon-HP,
Ash_Protector_05,Ash_Protector_04,4~6,1,skill-T2-19-Dragon-TotemDebuffResist,
Ash_Protector_06,Ash_Protector_04,4~2,1,skill-T2-20-Dragon-TrainingCost,
Ash_Protector_07,Ash_Protector_05,5~6,1,skill-T2-21-Rider-XP,
Ash_Protector_08,Ash_Protector_06,5~2,1,skill-T2-22-Dragon-XP,
Ash_Protector_09,Ash_Protector_05|Ash_Protector_06,6~4,1,skill-T2-23-Dragon-HealingTime,
Ash_Protector_10,Ash_Protector_09,7~6,1,skill-T3-24-Dragon-ResistTower,
Ash_Protector_11,Ash_Protector_09,7~4,1,skill-T3-25-Dragon-ResistTower,
Ash_Protector_12,Ash_Protector_09,7~2,1,skill-T3-26-Dragon-ResistTower,
Ash_Protector_13,Ash_Protector_10|Ash_Protector_11|Ash_Protector_12,8~4,1,skill-T4-27-Dragon-HPClass,
Ash_Protector_14,Ash_Protector_13,9~4,1,skill-T4-28-Dragon-AttackClass,
Ash_Conqueror_01,,1~4,1,skill-T3-29-Dragon-Attack,
Ash_Conqueror_02,Ash_Conqueror_01,2~6,1,skill-T1-30-Dragon-XP,
