key,value,h
String,String,String
runeRarity,Common|Rare|Epic|Legendary|Mythic|Exotic,
commonDrawCost,breederToken:100,
rareDrawCost,ruby:500,
multiRareDrawCost,ruby:5000,
commonDrawDistribution,commonDrawDistro:1,
rareDrawDistribution,rareDrawDistro:1,
multiRareDrawDistribution,multiRareDrawDistro:10|epicDrawDistro:1,
freeCommonDailyDraws,1,
commonFreeTimer,172800,
rareFreeDrawTimer,172800,
rareFreeDrawEliteTimer,86400,
unequippedLimit,100,
blimpGlowColor,100|100|100|1,
nodeIdentifier,blimp01,
defaultRuneIdentifier,runeMaster,
enhancePowerPercentageMultiplier,0.0075,
sorcererStunDuration,4,!@#eifphkhlbpmbcmme
