identifier,type,frequency,weight,buyPrice,rubyPrice,multiplier,h
String,String,Integer,Integer,Integer,Integer,Float,String
expediteConsumable1,craftable,2,3,8,11,1.1,
expediteConsumable2,craftable,2,3,30,40,1.1,
expediteConsumable3,craftable,5,3,60,80,1.1,
armorConsumable,craftable,1,3,10,13,1.1,
attackConsumable,craftable,1,3,10,13,1.1,
repairConsumable,craftable,1,3,10,13,1.1,
chainLightningSpellConsumable01,craftable,5,2,33,45,1.1,
chargeShieldSpellConsumable01,craftable,5,3,33,45,1.1,
dodgeSpellConsumable01,craftable,5,1,33,45,1.1,
freezeSpellConsumable01,craftable,7,2,33,45,1.1,
healSpellConsumable01,craftable,5,3,33,45,1.1,
stoneskinSpellConsumable01,craftable,5,3,33,45,1.1,
archerResistAbilityConsumable01,craftable,7,3,50,65,1.1,
cannonResistAbilityConsumable01,craftable,5,3,50,65,1.1,
stormResistAbilityConsumable01,craftable,5,3,50,65,1.1,
frenzySpellConsumable01,craftable,5,2,33,45,1.1,
healingmarkSpellConsumable01,craftable,5,3,33,45,1.1,
curePoisonSpellConsumable01,craftable,5,1,33,45,1.1,
invertSpellConsumable01,craftable,5,3,60,80,1.1,
ballistaResistAbilityConsumable01,craftable,5,1,50,65,1.1,
instantKillSpellConsumable01,craftable,5,3,33,65,1.1,
aoeSpellConsumable01,craftable,5,1,50,65,1.1,
battlecrySpellConsumable01,craftable,5,2,33,45,1.1,
cloakSpellConsumable01,craftable,5,1,33,45,1.1,
trebuchetResistAbilityConsumable01,craftable,5,2,50,65,1.1,
invincibleSpellConsumable01,craftable,5,3,33,45,1.1,
hurricaneSpellConsumable01,craftable,5,2,33,45,1.1,
lockdownSpellConsumable01,craftable,5,1,33,45,1.1,
summonDragonSpellConsumable01,craftable,5,3,33,45,1.1,
lightningResistAbilityConsumable01,craftable,7,3,50,65,1.1,
syphonSpellConsumable01,craftable,5,1,33,45,1.1,
selfDestructSpellConsumable01,craftable,5,2,33,45,1.1,
shortCircuitSpellConsumable01,craftable,5,2,33,45,1.1,
thunderstormSpellConsumable02,craftable,7,3,50,65,1.1,
intimidatingRoarSpellConsumable01,craftable,5,3,50,65,1.1,
xpMultiplierSpellConsumable01,craftable,2,2,33,50,1.1,
increaseAttackConsumable1,craftable,2,3,33,45,1.1,
increaseHPConsumable1,craftable,2,3,33,45,1.1,
increaseBuildingAttackConsumable1,craftable,2,2,20,25,1.1,
increaseBuildingHPConsumable1,craftable,2,2,20,25,1.1,
healDragonConsumable,craftable,1,3,40,50,1.1,!@#kdefalblfkhlmkgb
