identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
SerpentDefenseUpgrades_1,1,,0,,13500,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,1,100,1,experience:100,100,
SerpentDefenseUpgrades_2,2,food:40,900,level03,9540,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,150,1,experience:100,200,
SerpentDefenseUpgrades_3,3,food:230,3600,level04,12340,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,200,1,experience:100,300,
SerpentDefenseUpgrades_4,4,food:660,7200,level05,14410,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,250,1,experience:100,400,
SerpentDefenseUpgrades_5,5,food:1430,10800,level06,14250,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,300,1,experience:100,500,
SerpentDefenseUpgrades_6,6,food:2920,16200,level07,18550,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,350,1,experience:100,600,
SerpentDefenseUpgrades_7,7,food:9560,28800,level09,33550,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,400,1,experience:100,700,
SerpentDefenseUpgrades_8,8,food:38370,54000,level12,53250,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,450,1,experience:100,800,
SerpentDefenseUpgrades_9,9,food:173910,108000,level16,82910,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,500,1,experience:100,900,
SerpentDefenseUpgrades_10,10,food:173910,108000,level16,82910,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,550,1,experience:100,1000,
SerpentDefenseUpgrades_11,11,food:173910,108000,level16,82910,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,600,1,experience:100,1100,
SerpentDefenseUpgrades_12,12,food:173910,108000,level16,82910,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,650,1,experience:100,1200,
SerpentDefenseUpgrades_13,13,food:173910,108000,level16,82910,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,700,1,experience:100,1300,
SerpentDefenseUpgrades_14,14,food:173910,108000,level16,82910,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,750,1,experience:100,1400,
SerpentDefenseUpgrades_15,15,food:173910,108000,level16,82910,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,800,1,experience:100,1500,
SerpentDefenseUpgrades_16,16,food:173910,108000,level16,82910,300,lockon:serpent_attackTut,aoeSpell:aoe1|archerResist01:archerResist01,300,food:10,3,rage2,2,850,1,experience:100,1600,!@#nkpboolffmdlmadf
