identifier,probability,h
String,Integer,String
GaePingLiveBattle,10,
battleEventsTemp2,100,
bookmark_req_res,0,
upgrade_android_popup,100,
upgrade_ios_popup,100,
battleresultsnew2,100,
buildactionsnew,100,
replayactions,100,
replayresults,100,
xpearned,100,
sessiondata2,100,
mailactions,100,
battlesuccess,100,
consumableAwarded,100,
consumableApplied,100,
equippedRunes_arrayOfStringsException,100,
buttontaps,100,
disconnects,100,
reachabilityChanges,100,
googlePlayPlayerStats,100,
iap_funnel,100,
pingAnalytics2,100,
smr_restart,100,!@#fnemleedhmciieic
