identifier,inBundle,imgFile,displayName,rewardDescription,h
String,Integer,String,LocalizedString,LocalizedString,String
gold,0,icon_goldCoin.png,,,
ship,0,icon_troop_02.png,,,
scale,0,icon_dragon_scales.png,,,
crate,0,icon_crate.png,,,
cmCrystalfire,0,icon_fireGem1.png,Fire Crafting Shard,Fire Crafting Shard,
cmCrystalice,0,icon_iceGem1.png,Ice Crafting Shard,Ice Crafting Shard,
cmCrystalearth,0,icon_earthGem.png,Earth Crafting Shard,Earth Crafting Shard,
cmCrystalwind,0,icon_airGem.png,Wind Crafting Shard,Wind Crafting Shard,
cmCrystaldark,0,icon_darkGem.png,Dark Crafting Shard,Dark Crafting Shard,
glory,0,icon_glory.png,Glory,,
craftingScroll,0,icon_craftingScrollPage.png,Crafting Scroll,Crafting Scroll,
worldMap_gacha_key,0,icon_worldMap_gacha_key.png,Dragon Key,Dragon Key,
killGuards,0,icon_kharnyxFire.png,Kharnyx Fire,Kharnyx Fire,
atlasChest,0,icon_treasureChest_03_winter.png,Atlas Chest,Atlas Chest,
atlasSpringveilBadge,0,icon_coinSpring18.png,Atlas Springveil Badge,Atlas Springveil Badge,
atlasSpringveilChest,0,icon_treasureChest_03_winter.png,Atlas Badge Chest,Atlas Badge Chest,
atlasChest_Bonus,0,icon_atlas_chest.png,Atlas Bonus Chest,Atlas Bonus Chest,
atlasBadgeChest_Bonus,0,icon_atlas_chestSigilSpring.png,Atlas Badge Bonus Chest,Atlas Badge Bonus Chest,
missionToken1Star,0,icon_mission_level01.png,1 Star Mission Token,1 Star Mission Token,
missionToken2Star,0,icon_mission_level02.png,2 Star Mission Token,2 Star Mission Token,
missionToken3Star,0,icon_mission_level03.png,3 Star Mission Token,3 Star Mission Token,
missionToken4Star,0,icon_mission_level04.png,4 Star Mission Token,4 Star Mission Token,
missionToken5Star,0,icon_mission_level05.png,5 Star Mission Token,5 Star Mission Token,
diamond,0,icon_diamond_02.png,Diamond,Diamond,
atlasSummerflareBadge,0,icon_atlas_sigil.png,Atlas Summerflare Badge,Atlas Summerflare Badges,
atlasSummerflareChest,0,icon_atlas_chestSigil.png,Atlas Summerflare Chest,Atlas Summerflare Chest,
blueRiderShard,0,icon_riderShard_blue.png,Blue Dragon Rider Shard,Blue Dragon Rider Shard,
redRiderShard,0,icon_riderShard_red.png,Red Dragon Rider Shard,Red Dragon Rider Shard,
atlasDuskfallBadge,0,icon_atlas_fallSigil.png,Duskfall Badge,Duskfall Badge,
atlasDuskfallChest,0,icon_atlas_chestFallSigil.png,Atlas Duskfall Chest,Atlas Duskfall Chest,!@#edkkjolenppdkoid
