identifier,requiredByGame,vertexFile,fragmentFile,vertexPreambles,fragmentPreambles,isAlphaTested,isStatic,staticProgramIdentifier,shouldPreload,h
String,Integer,String,String,String,String,Integer,Integer,String,Integer,String
skinned_flat,1,skinning.vert,texture.frag,#define NO_DIFFUSE_TEXTURE,#define NO_DIFFUSE_TEXTURE,0,,static_flat,1,
skinned_specular_maskedGlow,1,skinning.vert,texture.frag,#define USE_LIGHT,#define USE_LIGHT|#define SPECULAR_ENABLED|#define MASKED_GLOW,0,,static_specular_maskedglow,,
skinned_specular,1,skinning.vert,texture.frag,#define USE_LIGHT,#define USE_LIGHT|#define SPECULAR_ENABLED,0,,static_specular,1,
skinned_texture,1,skinning.vert,texture.frag,,,0,,static_texture,1,
skinned_texture_noshadows,1,skinning.vert,texture.frag,#define SHADOWS_DISABLED,#define SHADOWS_DISABLED,0,,static_texture_noshadows,,
skinned_texture_screenproj,1,skinning.vert,texture.frag,,#define SCREEN_PROJ,0,,static_texture,1,
skinned_diffuse,1,skinning.vert,texture.frag,#define USE_LIGHT,#define ALPHA_TEST|#define USE_LIGHT,1,,static_diffuse,1,
skinned_bumped_specular,1,skinning.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define ALPHA_TEST|#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED,1,,static_bumped_specular,1,
skinned_bumped_specular_alpha_effect,1,skinning.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define ALPHAEFFECT,1,,static_bumped_specular,1,
skinned_bumped_rgbspecular,1,skinning.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define ALPHA_TEST|#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define RGB_SPECULAR,1,,static_bumped_specular,1,
skinned_bumped_specular_maskedglow,1,skinning.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define ALPHA_TEST|#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define MASKED_GLOW,1,,static_bumped_specular_maskedglow,,
skinned_bumped_rgbspecular_maskedglow,1,skinning.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define ALPHA_TEST|#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define RGB_SPECULAR|#define MASKED_GLOW,1,,static_bumped_specular_maskedglow,,
skinned_bumped_specular_magic,1,skinning.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT | #define FRESNEL_ENABLED,#define ALPHA_TEST|#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define MAGIC|#define FRESNEL_ENABLED|#define RGB_SPECULAR,1,,static_bumped_specular_maskedglow,,
skinned_flat_fresnel,1,skinning.vert,texture.frag,#define NO_DIFFUSE_TEXTURE|#define FRESNEL_ENABLED,#define NO_DIFFUSE_TEXTURE|#define FRESNEL_ENABLED,0,,static_flat_fresnel,,
skinned_texture_fresnel,1,skinning.vert,texture.frag,#define FRESNEL_ENABLED,#define FRESNEL_ENABLED,0,,static_texture_fresnel,,
skinned_bumped_specular_fresnel,1,skinning.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT|#define FRESNEL_ENABLED,#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define FRESNEL_ENABLED,0,,static_bumped_specular_fresnel,,
skinned_texture_fresnel_pulse,1,skinning.vert,texture.frag,#define FRESNEL_ENABLED,#define FRESNEL_ENABLED|#define FRESNEL_PULSE_ENABLED,0,,static_texture_fresnel_pulse,,
skinned_texture_grayscale,1,skinning.vert,texture.frag,,#define DRAW_IN_GRAYSCALE,0,,static_texture_grayscale,,
skinned_texture_monochrome,1,skinning.vert,texture.frag,,#define DRAW_IN_GRAYSCALE|#define DRAW_IN_MONOCHROME,0,,static_texture_monochrome,,
skinned_texture_mask_blend,1,skinning.vert,texture.frag,,#define ANIMATED_MASK_LERP_BLEND,0,1,,1,
skinned_texture_screenproj,1,skinning.vert,texture.frag,,#define SCREEN_PROJ,0,,static_texture,1,
static_flat,1,static.vert,texture.frag,#define NO_DIFFUSE_TEXTURE,#define NO_DIFFUSE_TEXTURE,0,1,,1,
static_texture,1,static.vert,texture.frag,,,0,1,,1,
static_texture_noshadows,1,static.vert,texture.frag,#define SHADOWS_DISABLED,#define SHADOWS_DISABLED,0,1,,,
static_diffuse,1,static.vert,texture.frag,#define USE_LIGHT,#define USE_LIGHT,0,1,,1,
static_diffuse_alpha,1,static.vert,texture.frag,#define USE_LIGHT,#define USE_LIGHT|#define ALPHA_TEST,0,1,,1,
static_diffuse_lightmap,1,static.vert,texture.frag,#define USE_LIGHT|#define LIGHTMAP_ENABLED,#define USE_LIGHT|#define LIGHTMAP_ENABLED,0,1,,1,
static_diffuse_lightmap_alpha,1,static.vert,texture.frag,#define USE_LIGHT|#define LIGHTMAP_ENABLED,#define USE_LIGHT|#define LIGHTMAP_ENABLED|#define ALPHA_TEST,0,1,,1,
static_texture_reallightmap,1,static.vert,texture.frag,#define LIGHTMAP_ENABLED,#define REAL_LIGHTMAP_ENABLED,0,1,,1,
static_texture_reallightmap_alpha,1,static.vert,texture.frag,#define LIGHTMAP_ENABLED,#define REAL_LIGHTMAP_ENABLED|#define ALPHA_TEST,0,1,,1,
static_texture_reflectpulse,1,static.vert,texture.frag,#define USE_LIGHT,#define USE_LIGHT|#define REFLECT_PULSE,0,1,,1,
static_texture_reflectpulse_reallightmap,1,static.vert,texture.frag,#define USE_LIGHT|#define LIGHTMAP_ENABLED,#define USE_LIGHT|#define REFLECT_PULSE|#define REAL_LIGHTMAP_ENABLED,0,1,,1,
static_diffuse_vertcolor_lightmap,1,static.vert,texture.frag,#define USE_LIGHT|#define LIGHTMAP_ENABLED|#define USE_VERTEX_COLOR,#define USE_LIGHT|#define LIGHTMAP_ENABLED|#define USE_VERTEX_COLOR,0,1,,,
static_specular,1,static.vert,texture.frag,#define USE_LIGHT,#define USE_LIGHT|#define SPECULAR_ENABLED,0,1,,1,
static_specular_lightmap,1,static.vert,texture.frag,#define USE_LIGHT|#define LIGHTMAP_ENABLED,#define USE_LIGHT|#define SPECULAR_ENABLED|#define LIGHTMAP_ENABLED,0,1,,1,
static_specular_maskedglow,1,static.vert,texture.frag,#define USE_LIGHT,#define USE_LIGHT|#define SPECULAR_ENABLED|#define MASKED_GLOW,0,1,,,
static_bumped_diffuse,1,static.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define USE_NORMAL_MAP|#define USE_LIGHT,0,1,,1,
static_bumped_specular,1,static.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED,0,1,,,
static_bumped_specular_alpha_effect,1,static.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define ALPHAEFFECT,0,1,,,
static_flowramp_reflect_lod00,1,static_flowramp.vert,texture_flowramp.frag,#define LOD00,#define REFLECT|#define LOD00,0,1,,,
static_flowramp_lod00,1,static_flowramp.vert,texture_flowramp.frag,#define LOD00,#define LOD00,0,1,,,
static_flowramp_lod01,1,static_flowramp.vert,texture_flowramp.frag,#define LOD01,#define LOD01,0,1,,,
static_bumped_specular_fresnel_pulse,1,static.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT|#define FRESNEL_ENABLED,#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define FRESNEL_ENABLED|#define FRESNEL_PULSE_ENABLED,0,1,,,
static_bumped_specular_lightmap,1,static.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT|#define LIGHTMAP_ENABLED,#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define LIGHTMAP_ENABLED,0,1,,1,
static_bumped_specular_maskedglow,1,static.vert,texture.frag,#define USE_NORMAL_MAP|#define USE_LIGHT,#define USE_NORMAL_MAP|#define USE_LIGHT|#define SPECULAR_ENABLED|#define MASKED_GLOW,0,1,,,
static_texture_fresnel,1,static.vert,texture.frag,#define FRESNEL_ENABLED,#define FRESNEL_ENABLED,0,1,,,
static_texture_fresnel_pulse,1,static.vert,texture.frag,#define FRESNEL_ENABLED,#define FRESNEL_ENABLED|#define FRESNEL_PULSE_ENABLED,0,1,,,
static_texture_alpha,1,static.vert,texture.frag,,#define ALPHA_TEST,1,1,,1,
static_texture_lightmap,1,static.vert,texture.frag,#define LIGHTMAP_ENABLED,#define LIGHTMAP_ENABLED,0,1,,,
static_texture_lightmap_alpha,1,static.vert,texture.frag,#define LIGHTMAP_ENABLED,#define LIGHTMAP_ENABLED|#define ALPHA_TEST,0,1,,,
static_texture_maskedglow,1,static.vert,texture.frag,,#define MASKED_GLOW,0,1,,,
static_texture_mask_blend,1,static.vert,texture.frag,,#define ANIMATED_MASK_LERP_BLEND,0,1,,1,
static_bi_texture_composite_lightmap,1,static.vert,texture_composite_lightmap.frag,#define LIGHTMAP_ENABLED,#define NUM_TEXTURES 2,0,1,,1,
static_tri_texture_composite_lightmap,1,static.vert,texture_composite_lightmap.frag,#define LIGHTMAP_ENABLED,#define NUM_TEXTURES 3,0,1,,1,
static_quad_texture_composite_lightmap,1,static.vert,texture_composite_lightmap.frag,#define LIGHTMAP_ENABLED,#define NUM_TEXTURES 4,0,1,,1,
static_bi_texture_composite_reallightmap,1,static.vert,texture_composite_lightmap.frag,#define USE_LIGHT|#define LIGHTMAP_ENABLED|#define VERT_BLEND,#define NUM_TEXTURES 2|#define REAL_LIGHTMAP_ENABLED|#define VERT_BLEND|#define UV_TILING|#define LAYER_COLOR_TINT|#define SPECULAR_ENABLED|#define HEIGHT_BIAS,0,1,,1,
static_tri_texture_composite_reallightmap,1,static.vert,texture_composite_lightmap.frag,#define USE_LIGHT|#define LIGHTMAP_ENABLED|#define VERT_BLEND,#define NUM_TEXTURES 3|#define REAL_LIGHTMAP_ENABLED|#define VERT_BLEND|#define UV_TILING|#define LAYER_COLOR_TINT|#define SPECULAR_ENABLED|#define HEIGHT_BIAS,0,1,,1,
static_quad_texture_composite_reallightmap,1,static.vert,texture_composite_lightmap.frag,#define USE_LIGHT|#define LIGHTMAP_ENABLED|#define VERT_BLEND,#define NUM_TEXTURES 4|#define REAL_LIGHTMAP_ENABLED|#define VERT_BLEND|#define UV_TILING|#define LAYER_COLOR_TINT|#define SPECULAR_ENABLED|#define HEIGHT_BIAS,0,1,,1,
static_bi_texture_composite_nolightmap,1,static.vert,texture_composite_lightmap.frag,#define VERT_BLEND,#define NUM_TEXTURES 2|#define REAL_LIGHTMAP_DISABLED|#define VERT_BLEND|#define UV_TILING,0,1,,1,
static_tri_texture_composite_nolightmap,1,static.vert,texture_composite_lightmap.frag,#define VERT_BLEND,#define NUM_TEXTURES 3|#define REAL_LIGHTMAP_DISABLED|#define VERT_BLEND|#define UV_TILING,0,1,,1,
static_quad_texture_composite_nolightmap,1,static.vert,texture_composite_lightmap.frag,#define VERT_BLEND,#define NUM_TEXTURES 4|#define REAL_LIGHTMAP_DISABLED|#define VERT_BLEND|#define UV_TILING,0,1,,1,
static_texture_monochrome,1,static.vert,texture.frag,,#define DRAW_IN_GRAYSCALE|#define DRAW_IN_MONOCHROME,0,1,,,
static_texture_grayscale,1,static.vert,texture.frag,,#define DRAW_IN_GRAYSCALE,0,1,,,
static_WM3D,0,drg_general.vert,drg_general.frag,#define MANTIS_PBR 1,#define MANTIS_PBR 1,0,1,,,
animating_texture,1,static.vert,texture.frag,#define ANIMATING_ENABLED,,0,1,,1,
animating_texture_distorted_vertcolor,1,static.vert,texture.frag,#define ANIMATING_ENABLED|#define NUM_TEXTURES 2|#define USE_VERTEX_COLOR,#define DISTORTED|#define USE_VERTEX_COLOR,0,1,,1,
masked_animating_texture,1,static.vert,texture.frag,#define FAKE_LIGHTMAP_ENABLED|#define ANIMATING_ENABLED|#define NO_LOOP_TIME,#define LIGHTMAP_ENABLED,0,1,,,
ocean,1,static.vert,ocean.frag,,,0,1,,,
new_ocean,1,new_ocean.vert,new_ocean.frag,#define DISTORT_NORMALS|#define LIGHTMAP_FOAM|#define DEFORM_MESH|#define SHADOWS_DISABLED,#define DISTORT_NORMALS|#define LIGHTMAP_FOAM|#define DEFORM_MESH|#define SHADOWS_DISABLED,0,1,,1,
new_ocean_wm,1,new_ocean.vert,new_ocean.frag,#define DISTORT_NORMALS|#define LIGHTMAP_FOAM|#define SINGLE_UV|#define SHADOWS_DISABLED,#define DISTORT_NORMALS|#define LIGHTMAP_FOAM|#define SINGLE_UV|#define SHADOWS_DISABLED,0,1,,1,
lava,1,new_ocean.vert,new_ocean.frag,#define DISTORT_NORMALS|#define LIGHTMAP_FOAM|#define SINGLE_UV|#define DEFORM_MESH|#define SHADOWS_DISABLED,#define DISTORT_NORMALS|#define LIGHTMAP_FOAM|#define SINGLE_UV|#define DEFORM_MESH|#define SHADOWS_DISABLED,0,1,,1,
godray,1,godray.vert,godray.frag,,,0,1,,,
flag,1,flag.vert,texture.frag,,,0,1,,1,
team_flag,1,flag.vert,team_flag.frag,#define REQUIRES_SECOND_UV,,0,1,,1,
eggShowcase,1,static.vert,egg_showcase.frag,,#define EGG_PROGRESS,0,1,,,
eggProgress,1,static.vert,egg.frag,,#define EGG_PROGRESS,0,1,,,
egg,1,static.vert,egg.frag,,,0,1,,,
shield,1,static.vert,shield.frag,#define ANIMATING_ENABLED|#define USE_LIGHT,,0,1,,,
foliage,1,foliage.vert,texture.frag,#define SHADOWS_DISABLED,#define ALPHA_TEST|#define SHADOWS_DISABLED,1,1,,1,
foliage_lightmap,1,foliage.vert,texture.frag,#define LIGHTMAP_ENABLED|#define SHADOWS_DISABLED,#define LIGHTMAP_ENABLED|#define ALPHA_TEST|#define SHADOWS_DISABLED,1,1,,1,
foliage_glow,1,foliage.vert,texture.frag,#define SHADOWS_DISABLED,#define ALPHA_TEST|#define SHADOWS_DISABLED|#define WHITE_GLOW_ENABLED,1,1,,1,
planarFog,1,planar_fog.vert,planar_fog.frag,,,0,1,,1,
static_tri_texture_composite_lightmap_alpha,1,static.vert,texture_composite_lightmap.frag,#define LIGHTMAP_ENABLED,#define NUM_TEXTURES 3|#define ALPHA,0,1,,1,
static_bi_texture_composite_lightmap_alpha,1,static.vert,texture_composite_lightmap.frag,#define LIGHTMAP_ENABLED,#define NUM_TEXTURES 2|#define ALPHA,0,1,,1,
static_texture_maskedglow_rune,1,static.vert,texture.frag,,#define MASKED_GLOW|#define MASKED_GLOW_RUNE,0,1,,,
static_blend,1,static.vert,texture.frag,#define LIGHTMAP_ENABLED|#define HEIGHT_BLEND,#define LIGHTMAP_ENABLED|#define HEIGHT_BLEND,0,1,,,
billboard,1,static.vert,texture.frag,#define BILLBOARD,#define ALPHA_TEST,1,1,,1,
billboard_shadow,1,static.vert,texture.frag,#define BILLBOARD_SHADOW,,0,1,,1,!@#cppjodlopmdhahoc
