identifier,inBundle,lowerBoundingBoxLine,upperBoundingBoxLine,h
String,Integer,Float,Float,String
egg_red_V1.lvl,0,0,0.9,
egg_red_V2.lvl,0,0,0.9,
egg_red_V3.lvl,0,0,0.9,
egg_red_V4.lvl,0,0,0.9,
egg_red_V5.lvl,0,0,0.9,
egg_red_V6.lvl,0,0,0.9,
egg_red_V7.lvl,0,0,0.9,
egg_red_V8.lvl,0,0,0.9,
egg_red_V9.lvl,0,0,0.9,
egg_red_V10.lvl,0,0,0.9,
egg_red_V11.lvl,0,0,0.9,
egg_red_V12.lvl,0,0,0.9,
egg_red_V13.lvl,0,0,0.9,
egg_red_V14.lvl,0,0,0.9,
egg_red_V15.lvl,0,0,0.9,
egg_red_V16.lvl,0,0,0.9,
egg_red_V17.lvl,0,0,0.9,
egg_purple_V1.lvl,0,0,0.9,
egg_purple_V2.lvl,0,0,0.9,
egg_purple_V3.lvl,0,0,0.9,
egg_purple_V4.lvl,0,0,0.9,
egg_purple_V5.lvl,0,0,0.9,
egg_purple_V6.lvl,0,0,0.9,
egg_purple_V7.lvl,0,0,0.9,
egg_purple_V8.lvl,0,0,0.9,
egg_purple_V9.lvl,0,0,0.9,
egg_purple_V10.lvl,0,-0.1,0.85,
egg_purple_V11.lvl,0,0,0.9,
egg_purple_V12.lvl,0,0,0.9,
egg_purple_V13.lvl,0,0,0.9,
egg_purple_V14.lvl,0,0,0.9,
egg_purple_V15.lvl,0,0,0.9,
egg_purple_V16.lvl,0,0,0.9,
egg_purple_V17.lvl,0,0,0.9,
egg_platinum_V1.lvl,0,0,0.9,
egg_platinum_V2.lvl,0,0,0.9,
egg_platinum_V3.lvl,0,0,0.9,
egg_platinum_V4.lvl,0,0,0.9,
egg_platinum_V5.lvl,0,0,0.9,
egg_platinum_V6.lvl,0,0,0.9,
egg_platinum_V7.lvl,0,0,0.9,
egg_platinum_V8.lvl,0,0,0.9,
egg_platinum_V9.lvl,0,0,0.9,
egg_platinum_V10.lvl,0,-0.1,0.85,
egg_platinum_V11.lvl,0,0,0.9,
egg_platinum_V12.lvl,0,0,0.9,
egg_platinum_V13.lvl,0,0,0.9,
egg_platinum_V14.lvl,0,0,0.9,
egg_platinum_V15.lvl,0,0,0.9,
egg_platinum_V16.lvl,0,0,0.9,
egg_platinum_V17.lvl,0,0,0.9,
egg_orange_V1.lvl,0,0,0.9,
egg_orange_V2.lvl,0,0,0.9,
egg_orange_V3.lvl,0,0,0.9,
egg_orange_V4.lvl,0,0,0.9,
egg_orange_V5.lvl,0,0,0.9,
egg_orange_V6.lvl,0,0,0.9,
egg_orange_V7.lvl,0,0,0.9,
egg_orange_V8.lvl,0,0,0.9,
egg_orange_V9.lvl,0,0,0.9,
egg_orange_V10.lvl,0,-0.1,0.85,
egg_orange_V11.lvl,0,0,0.9,
egg_orange_V12.lvl,0,-0.01,0.9,
egg_orange_V13.lvl,0,-0.01,0.9,
egg_orange_V14.lvl,0,0,0.9,
egg_orange_V15.lvl,0,0,0.9,
egg_orange_V16.lvl,0,0,0.9,
egg_orange_V17.lvl,0,0,0.9,
egg_green_V1.lvl,0,0,0.9,
