identifier,currencies,h
String,Map<String:Integer>,String
water_1,chineseDragon02:1,
water_2,chineseDragon02:1,
water_3,chineseDragon02:1,
water_4,chineseDragon02:1,
water_5,chineseDragon02:2,
water_6,chineseDragon02:2,
water_7,chineseDragon02:2,
water_8,chineseDragon02:2,
water_9,chineseDragon02:2,
water_10,chineseDragon02:3,
water_11,chineseDragon02:3,
water_12,chineseDragon02:3,
water_13,chineseDragon02:3,
water_14,chineseDragon02:3,
water_15,chineseDragon02:4,
water_16,chineseDragon02:4,
water_17,chineseDragon02:4,
water_18,chineseDragon02:4,
water_19,chineseDragon02:4,
water_20,chineseDragon02:5,
water_21,chineseDragon02:5,
water_22,chineseDragon02:5,
water_23,chineseDragon02:5,
water_24,chineseDragon02:5,
water_25,chineseDragon02:6,
water_26,chineseDragon02:6,
water_27,chineseDragon02:6,
water_28,chineseDragon02:6,
water_29,chineseDragon02:6,
water_30,chineseDragon02:7,
water_31,chineseDragon02:7,
water_32,chineseDragon02:7,
water_33,chineseDragon02:7,
water_34,chineseDragon02:7,
water_35,chineseDragon02:8,
water_36,chineseDragon02:8,
water_37,chineseDragon02:8,
water_38,chineseDragon02:8,
water_39,chineseDragon02:8,
water_40,chineseDragon02:9,
water_41,chineseDragon02:9,
water_42,chineseDragon02:9,
water_43,chineseDragon02:9,
water_44,chineseDragon02:9,
water_45,chineseDragon02:10,
water_46,chineseDragon02:10,
water_47,chineseDragon02:10,
water_48,chineseDragon02:10,
water_49,chineseDragon02:10,
water_50,chineseDragon02:11,
water_51,chineseDragon02:11,
water_52,chineseDragon02:11,
water_53,chineseDragon02:11,
water_54,chineseDragon02:11,
water_55,chineseDragon02:12,
water_56,chineseDragon02:12,
water_57,chineseDragon02:12,
water_58,chineseDragon02:12,
water_59,chineseDragon02:12,
water_60,chineseDragon02:13,
water_61,chineseDragon02:13,
water_62,chineseDragon02:13,
water_63,chineseDragon02:13,
water_64,chineseDragon02:13,
water_65,chineseDragon02:14,
water_66,chineseDragon02:14,
water_67,chineseDragon02:14,
water_68,chineseDragon02:14,
water_69,chineseDragon02:14,
water_70,chineseDragon02:15,
water_71,chineseDragon02:15,
water_72,chineseDragon02:15,
water_73,chineseDragon02:15,
water_74,chineseDragon02:15,
water_75,chineseDragon02:16,
water_76,chineseDragon02:16,
water_77,chineseDragon02:16,
water_78,chineseDragon02:16,
water_79,chineseDragon02:16,
water_80,chineseDragon02:16,
water_81,chineseDragon02:16,
water_82,chineseDragon02:16,
water_83,chineseDragon02:16,
water_84,chineseDragon02:16,
water_85,chineseDragon02:16,
water_86,chineseDragon02:16,
water_87,chineseDragon02:16,
water_88,chineseDragon02:16,
water_89,chineseDragon02:16,
water_90,chineseDragon02:16,
water_91,chineseDragon02:16,
water_92,chineseDragon02:16,
water_93,chineseDragon02:16,
water_94,chineseDragon02:16,
water_95,chineseDragon02:16,
water_96,chineseDragon02:16,
water_97,chineseDragon02:16,
water_98,chineseDragon02:16,
water_99,chineseDragon02:16,
water_100,chineseDragon02:16,
water_101,chineseDragon02:16,
water_102,chineseDragon02:16,
water_103,chineseDragon02:16,
water_104,chineseDragon02:16,
water_105,chineseDragon02:16,
water_106,chineseDragon02:16,
water_107,chineseDragon02:16,
water_108,chineseDragon02:16,
water_109,chineseDragon02:16,
water_110,chineseDragon02:16,
water_111,chineseDragon02:16,
water_112,chineseDragon02:16,
water_113,chineseDragon02:16,
water_114,chineseDragon02:16,
water_115,chineseDragon02:16,
water_116,chineseDragon02:16,
water_117,chineseDragon02:16,
water_118,chineseDragon02:16,
water_119,chineseDragon02:16,
water_120,chineseDragon02:16,
water_121,chineseDragon02:16,
water_122,chineseDragon02:16,
water_123,chineseDragon02:16,
water_124,chineseDragon02:16,
water_125,chineseDragon02:16,
water_126,chineseDragon02:16,
water_127,chineseDragon02:16,
water_128,chineseDragon02:16,
water_129,chineseDragon02:16,
water_130,chineseDragon02:16,
water_131,chineseDragon02:16,
water_132,chineseDragon02:16,
water_133,chineseDragon02:16,
water_134,chineseDragon02:16,
water_135,chineseDragon02:16,
water_136,chineseDragon02:16,
water_137,chineseDragon02:16,
water_138,chineseDragon02:16,
water_139,chineseDragon02:16,
water_140,chineseDragon02:16,
water_141,chineseDragon02:16,
water_142,chineseDragon02:16,
water_143,chineseDragon02:16,
water_144,chineseDragon02:16,
water_145,chineseDragon02:16,
water_146,chineseDragon02:16,
water_147,chineseDragon02:16,
water_148,chineseDragon02:16,
water_149,chineseDragon02:16,
water_150,chineseDragon02:16,
water_151,chineseDragon02:16,
water_152,chineseDragon02:16,
water_153,chineseDragon02:16,
water_154,chineseDragon02:16,
water_155,chineseDragon02:16,
water_156,chineseDragon02:16,
water_157,chineseDragon02:16,
water_158,chineseDragon02:16,
water_159,chineseDragon02:16,
water_160,chineseDragon02:16,
water_161,chineseDragon02:16,
water_162,chineseDragon02:16,
water_163,chineseDragon02:16,
water_164,chineseDragon02:16,
water_165,chineseDragon02:16,
water_166,chineseDragon02:16,
water_167,chineseDragon02:16,
water_168,chineseDragon02:16,
water_169,chineseDragon02:16,
water_170,chineseDragon02:16,
water_171,chineseDragon02:16,
water_172,chineseDragon02:16,
water_173,chineseDragon02:16,
water_174,chineseDragon02:16,
water_175,chineseDragon02:16,
water_176,chineseDragon02:16,
water_177,chineseDragon02:16,
water_178,chineseDragon02:16,
water_179,chineseDragon02:16,
water_180,chineseDragon02:16,
water_181,chineseDragon02:16,
water_182,chineseDragon02:16,
water_183,chineseDragon02:16,
water_184,chineseDragon02:16,
water_185,chineseDragon02:16,
water_186,chineseDragon02:16,
water_187,chineseDragon02:16,
water_188,chineseDragon02:16,
water_189,chineseDragon02:16,
water_190,chineseDragon02:16,
water_191,chineseDragon02:16,
water_192,chineseDragon02:16,
water_193,chineseDragon02:16,
water_194,chineseDragon02:16,
water_195,chineseDragon02:16,
water_196,chineseDragon02:16,
water_197,chineseDragon02:16,
water_198,chineseDragon02:16,
water_199,chineseDragon02:16,
water_200,chineseDragon02:16,
water_201,chineseDragon02:16,
water_202,chineseDragon02:16,
water_203,chineseDragon02:16,
water_204,chineseDragon02:16,
water_205,chineseDragon02:16,
water_206,chineseDragon02:16,
water_207,chineseDragon02:16,
water_208,chineseDragon02:16,
water_209,chineseDragon02:16,
water_210,chineseDragon02:16,
water_211,chineseDragon02:16,
water_212,chineseDragon02:16,
water_213,chineseDragon02:16,
water_214,chineseDragon02:16,
water_215,chineseDragon02:16,
water_216,chineseDragon02:16,
water_217,chineseDragon02:16,
water_218,chineseDragon02:16,
water_219,chineseDragon02:16,
water_220,chineseDragon02:16,
water_221,chineseDragon02:16,
water_222,chineseDragon02:16,
water_223,chineseDragon02:16,
water_224,chineseDragon02:16,
water_225,chineseDragon02:16,
water_226,chineseDragon02:16,
water_227,chineseDragon02:16,
water_228,chineseDragon02:16,
water_229,chineseDragon02:16,
water_230,chineseDragon02:16,
water_231,chineseDragon02:16,
water_232,chineseDragon02:16,
water_233,chineseDragon02:16,
water_234,chineseDragon02:16,
water_235,chineseDragon02:16,
water_236,chineseDragon02:16,
water_237,chineseDragon02:16,
water_238,chineseDragon02:16,
water_239,chineseDragon02:16,
water_240,chineseDragon02:16,
water_241,chineseDragon02:16,
water_242,chineseDragon02:16,
water_243,chineseDragon02:16,
water_244,chineseDragon02:16,
water_245,chineseDragon02:16,
water_246,chineseDragon02:16,
water_247,chineseDragon02:16,
water_248,chineseDragon02:16,
water_249,chineseDragon02:16,
water_250,chineseDragon02:16,
water_251,chineseDragon02:16,
water_252,chineseDragon02:16,
water_253,chineseDragon02:16,
water_254,chineseDragon02:16,
water_255,chineseDragon02:16,
water_256,chineseDragon02:16,
water_257,chineseDragon02:16,
water_258,chineseDragon02:16,
water_259,chineseDragon02:16,
water_260,chineseDragon02:16,
water_261,chineseDragon02:16,
water_262,chineseDragon02:16,
water_263,chineseDragon02:16,
water_264,chineseDragon02:16,
water_265,chineseDragon02:16,
water_266,chineseDragon02:16,
water_267,chineseDragon02:16,
water_268,chineseDragon02:16,
water_269,chineseDragon02:16,
water_270,chineseDragon02:16,
water_271,chineseDragon02:16,
water_272,chineseDragon02:16,
water_273,chineseDragon02:16,
water_274,chineseDragon02:16,
water_275,chineseDragon02:16,
water_276,chineseDragon02:16,
water_277,chineseDragon02:16,
water_278,chineseDragon02:16,
water_279,chineseDragon02:16,
water_280,chineseDragon02:16,
water_281,chineseDragon02:16,
water_282,chineseDragon02:16,
water_283,chineseDragon02:16,
water_284,chineseDragon02:16,
water_285,chineseDragon02:16,
water_286,chineseDragon02:16,
water_287,chineseDragon02:16,
water_288,chineseDragon02:16,
water_289,chineseDragon02:16,
water_290,chineseDragon02:16,
water_291,chineseDragon02:16,
water_292,chineseDragon02:16,
water_293,chineseDragon02:16,
water_294,chineseDragon02:16,
water_295,chineseDragon02:16,
water_296,chineseDragon02:16,
water_297,chineseDragon02:16,
water_298,chineseDragon02:16,
water_299,chineseDragon02:16,
water_300,chineseDragon02:16,
water_301,chineseDragon02:16,
water_302,chineseDragon02:16,
water_303,chineseDragon02:16,
water_304,chineseDragon02:16,
water_305,chineseDragon02:16,
water_306,chineseDragon02:16,
water_307,chineseDragon02:16,
water_308,chineseDragon02:16,
water_309,chineseDragon02:16,
water_310,chineseDragon02:16,
water_311,chineseDragon02:16,
water_312,chineseDragon02:16,
water_313,chineseDragon02:16,
water_314,chineseDragon02:16,
water_315,chineseDragon02:16,
water_316,chineseDragon02:16,
water_317,chineseDragon02:16,
water_318,chineseDragon02:16,
water_319,chineseDragon02:16,
water_320,chineseDragon02:16,
water_321,chineseDragon02:16,
water_322,chineseDragon02:16,
water_323,chineseDragon02:16,
water_324,chineseDragon02:16,
water_325,chineseDragon02:16,
water_326,chineseDragon02:16,
water_327,chineseDragon02:16,
water_328,chineseDragon02:16,
water_329,chineseDragon02:16,
water_330,chineseDragon02:16,
water_331,chineseDragon02:16,
water_332,chineseDragon02:16,
water_333,chineseDragon02:16,
water_334,chineseDragon02:16,
water_335,chineseDragon02:16,
water_336,chineseDragon02:16,
water_337,chineseDragon02:16,
water_338,chineseDragon02:16,
water_339,chineseDragon02:16,
water_340,chineseDragon02:16,
water_341,chineseDragon02:16,
water_342,chineseDragon02:16,
water_343,chineseDragon02:16,
water_344,chineseDragon02:16,
water_345,chineseDragon02:16,
water_346,chineseDragon02:16,
water_347,chineseDragon02:16,
water_348,chineseDragon02:16,
water_349,chineseDragon02:16,
