identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,nextEvolveLevel,tierNumber,rarity,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,Integer,Integer,Integer,String
ShrineRoninDragon_1,1,food:0,1,,181357,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,13530,food:210,4.2,rage1,8,54809,1.5,experience:0,15449,0,4,6,
ShrineRoninDragon_2,2,food:0,1,,399071,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,26059,food:427,4.2,rage1,13,177866,1.5,experience:0,65504,0,4,6,
ShrineRoninDragon_3,3,food:0,1,,456251,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,29448,food:469,4.2,rage1,14,229466,1.5,experience:0,84626,0,5,6,
ShrineRoninDragon_4,4,food:0,1,,862155,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,49248,food:679,4.2,rage1,18,501720,1.5,experience:0,267538,0,5,6,
ShrineRoninDragon_5,5,food:0,1,,982620,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,55867,food:721,4.2,rage1,18,638900,1.5,experience:0,345896,0,6,6,
ShrineRoninDragon_6,6,food:0,1,,1337145,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,75895,food:826,4.2,rage1,18,933488,1.5,experience:0,639388,0,6,6,
ShrineRoninDragon_7,7,food:0,1,,1736882,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,98663,food:994,4.2,rage1,18,1137348,1.5,experience:0,1079659,0,6,6,
ShrineRoninDragon_8,8,food:0,1,,2116111,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,120210,food:1162,4.2,rage1,20,1385738,1.5,experience:0,1602693,0,6,6,
ShrineRoninDragon_9,9,food:0,1,,2223207,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,126296,food:1204,4.2,rage1,21,1455891,1.5,experience:0,1769054,0,7,6,
ShrineRoninDragon_10,10,food:0,1,,2989793,0,fireball:E19Q1MythicHunterDragon_fireball,adaptiveBreath:wayOfTheBlade1|lockdown:entrap1|consume:fightingSpirit1|adaptiveResist:adaptiveImmunity1,165642,food:1456,4.2,rage1,25,1957988,1.5,experience:0,3120281,0,7,6,
