identifier,slowsAmmoRegen,slowsAttackSpeed,reducesDamage,slowTowerAttackSpeed,slowAttackDuration,battleTextIdentifier,h
String,Float,Float,Float,Float,Float,String,String
slow01,0.18,0,0,0.18,5,,
slow02,0,0,0,0,1.2,,
slow03,0,0,0,0,2,,
slow04,0.18,0.18,7,0.18,5,,
slow05,0.18,0.18,7,0.18,5,,
slow06,0.18,0.18,7,0.18,5,,
slow07,0.18,0.18,7,0.18,5,,
slow08,0.18,0.18,7,0.18,5,,
slow09,0.18,0.18,7,0.18,5,,
slow10,0.18,0.18,7,0.18,5,,
slow11,0.18,0.18,7,0.18,5,,
slow12,0.18,0.18,7,0.18,5,,
slow13,0.18,0.18,7,0.18,5,,
slow14,0.18,0.18,7,0.18,5,,
slow15,0.18,0.18,7,0.18,5,,
slow16,0.18,0.18,7,0.18,5,,
slow17,0.18,0.18,7,0.18,5,,
slow18,0.18,0.18,7,0.18,5,,
slow19,0.18,0.18,7,0.18,5,,
slow20,0.18,0.18,7,0.18,5,,
slow21,0.18,0.18,7,0.18,5,,
slow22,0.18,0.18,7,0.18,5,,
slow23,0.18,0.18,7,0.18,5,,
slow24,0.18,0.18,7,0.18,5,,
slow25,0.18,0.18,7,0.18,5,,
slow33,0.33,0,0,0,6,,
slow90,0.9,0,0,0,6,ammoRechargeTimeChangeText,!@#daabhdagbkpmkoeg
