identifier,slowBy,duration,battleTextIdentifier,h
String,Float,Float,String,String
slow01,2,0.5,,
slow02,2,0.5,,
slow03,2,0.5,,
slow04,2,0.5,,
slow05,2,0.5,,
slow06,2,0.5,,
slow07,2,0.5,,
slow08,2,0.5,,
slow09,2,0.5,,
slow10,2,0.5,,
slow11,2,0.5,,
slow12,2,0.5,,
slow13,2,0.5,,
slow14,2,0.5,,
slow15,2,0.5,,
slow16,2,0.5,,
slow17,2,0.5,,
slow18,2,0.5,,
slow19,2,0.5,,
slow20,2,0.5,,
slow21,2,0.5,,
slow22,2,0.5,,
slow23,2,0.5,,
slow24,2,0.5,,
slow25,2,0.5,,!@#kfglfelgmnhijfnm
