identifier,inBundle,spellNameIdentifier,spellDescriptionIdentifier,icon,spellTypes,isUsedForAmmoBuff,activeAbilityBattleText,projectileIdentifier,videoTutorial,uncommonAttributes,spellCategories,spellSoundEffects,vfxsOnBuilding,vfxsOnDragon,h
String,Integer,String,String,String,String,Integer,String,String,String,String,String,String,String,String,String
aoeSpell,1,spell_AoeSpell_spellName,spell_AoeSpell_spellDescription,icon_AOE_01.png,red,0,aoeSpellText,aoe,aoeSpell,,circleAOE|freeTarget,,,aoeSpellChargeParticle:aoe_charge,
aoeSpellDivine,1,spell_DivineSpell_spellName,spell_DivineSpell_spellDescription,icon_AOE_01.png,red,0,aoeSpellText,aoe,aoeSpell,,circleAOE|freeTarget,,,aoeSpellChargeParticle:aoe_charge,
battlecry,0,spell_BattlecrySpell_spellName,spell_BattlecrySpell_spellDescription,icon_battlecry_01.png,blue,0,battlecrySpellText,,battlecrySpell,,,,,battleCryParticle:ptl_battlecry_spell,
celestialDance,0,spell_CelestialDanceSpell_spellName,spell_CelestialDanceSpell_spellDescription,icon_celestialDance.png,white|white,0,celestialDanceSpellText,prj_drg_src_nightfall_01,celestialDanceSpell,empoweredIcon:icon_celestialDance.png,,spellStartSoundIdentifier:celestial_dance_tapped,,celestialLightParticle:ptl_drg_celestialDance_light|celestialLightProjectile:prj_drg_src_celestialDance_light|celestialDarkParticle:ptl_drg_celestialDance_dark|celestialDarkProjectile:prj_drg_src_celestialDance_dark,
chainLightning,1,spell_ChainLightningSpell_spellName,spell_ChainLightningSpell_spellDescription,icon_chainlightning_01.png,red,0,chainLightningSpellText,,chainLightningSpell,,freeTarget,,,,
chainLightningSuper,0,spell_ChainLightningSpell_spellName,spell_ChainLightningSpell_spellDescription,icon_chainlightning_02.png,red,0,superChainLightningText,,chainLightningSpell,,freeTarget,,,,
chargedShield,1,spell_ChargedShieldSpell_spellName,spell_ChargedShieldSpell_spellDescription,icon_chargedshield_01.png,blue,0,chargedShieldSpellText,,chargedShieldSpell,,,spellStartSoundIdentifier:shield_blast|spellEndSoundIdentifier:shield_blast_end,buildingExplodeParticle:ptl_charge_shield_impact_01,chargedShieldSceneFile:shield_charged.lvl|dragonShieldExplodeParticle:ptl_charge_shield_death|chargedShieldSupershotDeathSceneFile:shield_charged_supershot_death.lvl,
chargedShieldSuper,0,spell_ChargedShieldSpell_spellName,spell_ChargedShieldSpell_spellDescription,icon_chargedshield_02.png,blue,0,chargedShieldSpellText,,chargedShieldSpell,,,spellStartSoundIdentifier:shield_blast|spellEndSoundIdentifier:shield_blast_end,buildingExplodeParticle:ptl_charge_shield_impact_01,chargedShieldSceneFile:shield_charged.lvl|dragonShieldExplodeParticle:ptl_charge_shield_death|chargedShieldSupershotDeathSceneFile:shield_charged_supershot_death.lvl,
cloak,0,spell_CloakSpell_spellName,spell_CloakSpell_spellDescription,icon_invisibility_01.png,blue,0,cloakSpellText,,cloakSpell,,,,,,
corrosiveBrine,0,spell_CorrosiveBrineSpell_spellName,spell_CorrosiveBrineSpell_spellDescription,icon_corrosiveBrine.png,passive,0,corrosiveBrineSpellText,,corrosiveBrineSpell,,,,frostBiteIceShardScene:spl_corrosiveBrine_shard.lvl,,
cosmicEnergy,0,spell_CosmicEnergySpell_spellName,spell_CosmicEnergySpell_spellDescription,icon_cosmicEnergy.png,passive,0,,,cosmicEnergySpell,,,,,,
crystallineShield,0,spell_CrystallineShieldSpell_spellName,spell_CrystallineShieldSpell_spellDescription,icon_crystallineShield_01.png,blue,0,crystallineShieldSpellText,,crystallineShieldSpell,,,spellStartSoundIdentifier:crystalline_shield_tapped,,crystallineShieldScene:shield_crystallineShield.lvl|crystallineDestructParticle:ptl_shield_crystalShield_destruct|crystallineShieldDeathScene:shield_crystallineShield_death.lvl|crystallineShieldDeathSuperScene:shield_crystallineShield_death_super.lvl,
