name,value,h
String,String,String
pTimerEnabled,0,
disableBackgrounding,0,
backgroundFetchingEnabled,0,
disableOpenGLMultithreading,1,
forceQuitAfterXSeconds,86400,
optionForTestingAchievements,1,
maxServerMessages,2,
optionForTestingAchievementChains,1,
localizationDateOffsetInDays_en,0,
xPromoDisabled,1,
pathOfDragonEnabled,1,
boostsEnabled,1,
pvpVersion,181,
inAppAppDownloadingDisabled,1,
debugNSURLHTTPLogging,1,
debugASIHTTPLogging,1,
numberOfHTTPLoggingFilesToSave,10,
videoAdsDisabled,0,
numBattlesForUsedDragons,10,
disableLocalNotificationSounds,0,
shouldShowForgotPasswordButton,1,
shouldShowPocketIDSignOutButton,1,
shouldRequirePocketIDEmailConfirmation,1,
maxLevelToAllowSwitchingPocketIDUserWithoutAccount,2,
shouldShowPopupForDatabaseError,0,
shouldCloseOnDatabaseSecurityErrorOnReleaseBuild,0,
shouldCloseOnDatabaseSecurityErrorOnDebugBuild,0,
enableTestMenuKillswitch,0,
useASIHTTPToPostPlayerInfo,1,
gameKitEnabled_apple,1,
gameKitEnabled_amazon,0,
gameKitEnabled_google,1,
splitTestHelpshiftRequireEmail,YES,
megaBytesForLowDiskSpace,200,
splitTestHelpShiftEnableContactUsNonPayers,AFTER_VIEWING_FAQS,
splitTestHelpShiftEnableContactUsPayers,ALWAYS,
enableCriticalSMRRestartOnCrash,0,
parallelStartupEnabled,1,
parallelTransitionEnabled,1,
optimisticStartupEnabled,1,
kRealTimeCommunicationHistoryRetryAttempts,3,
kRealTimeCommunicationHistoryRetryBackoffExponentialBase,3,
kRealTimeCommunicationHistoryRetryMaximumWait,120,
kRealTimeCommunicationJoinGroupRetryAttempts,10,
kRealTimeCommunicationJoinGroupTimeout,30,
kRealTimeCommunicationJoinGroupMaximum500WaitTime,10,
shouldBeAbleToPurchaseEliteAccountByRubies,0,
disableEliteAccountHUDIconAnimation,0,
enableErrorShouldNotSendCrashReport,1,
hideFacebook,0,
enablePTimerEventHeartbeatRecording,1,
enableInformativePostGamestateErrors,1,
numberPostGamestateFailuresBeforeShowingSupportAddress,2,
enableBattleSlowdownLogging,0,
kFetchServerTimeEnabled,YES,
watchdogTimerEnabled,0,
watchdogTimerThresholdTime,4,
watchdogTimerWarningPerSessionLimit,2,
displayValuePackDiscountAsPercent,1,
kUseASIHTTPForCrashReporting,YES,
kLazilyLoadBuildView,YES,
enablePreloadDefaultParticleShaders,1,
kShouldReportGooglePlayerStatsSplitTestKey,YES,
kSplitTestOptionAllowSemiCriticalAsyncSaving,YES,
kHelpShiftPushNotificationsEnabled,NO,
shouldUseApplicationSupportForPGDatabase,0,
kShouldIgnoreCollectionStateInMismatchFixer,YES,
kShouldHandleKeyValuePairsInSMRMismatchFixer,YES,
loadingProgressBarEnabled,1,
maximumTimeInMillisToRunCocos3dBlocks,8,
disableFacebookLogging,1,
lazyDrawingManagerTimeBetweenDraws,0.1,
lazyDrawingManagerTimePerDraw,0.008,
splitTestOptionOneUnzipAtATime,YES,
maxBytesAllowed,1048576,
enclosingSmrsToSaveTracesFor,battle_dragon_food_spend|claim_war_chest|currency_harvest|dragon_shrine_reward|dragon_upgrade_level,
enclosedSmrsToExcludeTracesFor,building_collection_state_changed,
smrManagerVersion,v2,
reportAndLogSMRErrorsOnMismatch,1,
shouldEnableTune,1,
shouldEnableAdjust,1,
shouldEnableDatabaseCorruptionCheck,1,
kNumberOfPrefetchingOperationsPerSecond,500,
disableAvatarAndBookmarkMigration,NO,
realTimeCommunicationShouldStoreInHistory,NO,
kDisablePrefetchOnMeteredConnections,YES,
enableZendesk,1,
enableHelpshift,0,
shouldCleanUnnecessaryServerResponse,1,
disableCCDownloadableSpriteTextureCache,1,
kWMUseSavedCameraProperties,YES,
enableLeanplum,0,
enableDownloadAssetDirectlyToDisk,1,
enableUnzipAssetDirectlyToDisk,1,
enableCSVTweakLogging,1,
enablePubNubBase64StringMessage,1,
kCheckBeforeOverwriteOnUnzip,1,
enableTutorialV3,0,
disableCustomEvent_smrMismatch,1,
realTimeCommunicationShouldVerboseLogRequestingPubNubChannelGroupInfo,0,
quickResumeEnabled,0,
quickResumeMaxSecondsSinceLastSession,259200#3 days currently,
quickResumeEnableViewSpinner,1,
quickResumeServerRequestCheckEnabled,1,
quickResumeServerRequestCheckTimeoutSeconds,3,
quickResumeServerRequestCheckTimeThresholdSeconds,5,!@#emhkpplhbebgdeep
