key,value,h
String,String,String
camMinDistanceFromCenter,13,
camMaxDistanceFromCenter,27,
camMaxDistanceFromCenterAtGate,25,
camFieldOfView,65,
camMinVerticalAngle,-10,
camMinVerticalAngleAtGate,-5,
camMaxVerticalAngle,30,
camGlobalGateAngle,180,
camGateHalfAngle,20,
camVerticalAngleStarting,5,
camCanTiltAtDistanceFromCenter,32,
cameraDriftDelayInSeconds,1,
irradianceMapFilePattern,stable_irradiance_%@.png,
reflectionMapFilePattern,ter_level03_reflection_%@.png,
shadowIntensity,0.60,
shadowZThreshold,0.0002,
enableDistanceFog,1,
distanceFogColorValues,89|30|30,
distanceFogRangeValues,10|100,
distanceFogMaxValue,0.0,!@#eleklbjegadaofpd
