identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,destructionProbabilities,component,upgradeReward,showcaseNodeLocation,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityRange,activeAbilityBattleText,explosionSceneFile,bonusLabel1,bonusLabel2,activeParticleEffectIdentifier,isAutoUpgrading,isAutoCompleting,constructionSceneFile,customUpgradeSceneFile,battleBuildingRewardDistributionIdentifier,h
String,Integer,Integer,String,String,String,Integer,String,Float,String,String,String,String,String,String,String,Float,Integer,String,String,String,String,String,Integer,Integer,String,String,String,String
StatueUpgrades_1,1,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level01,1250,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_2,2,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level04,1633,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_3,3,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level07,2160,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_4,4,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level10,2744,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_5,5,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level13,3563,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_6,6,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level16,4584,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_7,7,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level19,5828,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_8,8,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level22,7206,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_9,9,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level25,8541,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_10,10,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level28,10042,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
StatueUpgrades_11,11,1,prop_monument_dragonStatue.lvl,,piercing:0,0,level31,11795,,,,0~20~60,,,,,,,bld_dragonShrine_death_01.lvl,,,ptl_bld_monument_ambient_01,1,1,,,monumentDistribution,
