identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,fillStateSceneFiles,maxStorageData,storageProtectionData,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityCost,activeAbilityRange,explosionSceneFile,bonusLabel1,bonusLabel2,minHourlyHarvestRate,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,String,String,String,Array<String>,String,String,String,Integer,String,Integer,Float,String,String,String,String,String,String,Float,Integer,Integer,String,String,String,String,String,String,Integer,String
StorageUpgrades_1,1,sceneFile|explosionSceneFile,stru_resource_vault_level01.lvl,,|stru_resource_vault_level01_active01.lvl|stru_resource_vault_level01_active02.lvl,food:1500|piercing:1500|gold:2580000,food:195|piercing:195|gold:0,piercing:67,6048,,,100,,,experience:33,,,,1.5,1,90,stru_resource_vault_level01_death.lvl,,,food:1|piercing:1,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_2,2,0,stru_resource_vault_level02.lvl,,|stru_resource_vault_level02_active01.lvl|stru_resource_vault_level02_active02.lvl,food:2640|piercing:2640|gold:2580000,food:264|piercing:264|gold:0,piercing:750,25920,,7,100,,,experience:36,,,,1.5,1,90,stru_resource_vault_level02_death.lvl,,,food:120|piercing:120,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_3,3,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:4800|piercing:4800|gold:2580000,food:480|piercing:480|gold:0,piercing:1584,32400,,12,100,,,experience:45,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:195|piercing:195,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_4,4,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:11520|piercing:11520|gold:2580000,food:1152|piercing:1152|gold:0,piercing:3360,55296,,17,100,,,experience:76,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:270|piercing:270,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_5,5,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:19200|piercing:19200|gold:2580000,food:1920|piercing:1920|gold:0,piercing:9216,73014,,21,100,,,experience:101,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:420|piercing:420,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_6,6,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:34440|piercing:34440|gold:2580000,food:3444|piercing:3444|gold:0,piercing:17280,108322,,25,100,,,experience:150,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:540|piercing:540,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_7,7,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:46560|piercing:46560|gold:2580000,food:4656|piercing:4656|gold:0,piercing:30996,129600,,28,100,,,experience:180,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:652|piercing:652,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_8,8,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:67200|piercing:67200|gold:2580000,food:6720|piercing:6720|gold:0,piercing:41904,169967,,31,100,,,experience:236,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:765|piercing:765,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_9,9,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:81600|piercing:81600|gold:2580000,food:8160|piercing:8160|gold:0,piercing:60480,222171,,34,100,,,experience:308,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:900|piercing:900,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_10,10,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:96000|piercing:96000|gold:2580000,food:9600|piercing:9600|gold:0,piercing:73440,290304,,37,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:1080|piercing:1080,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_11,11,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:117600|piercing:117600|gold:2580000,food:11760|piercing:11760|gold:0,piercing:86400,377018,,40,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:1290|piercing:1290,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_12,12,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:132000|piercing:132000|gold:2580000,food:13200|piercing:13200|gold:0,piercing:105840,414720,,42,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:1560|piercing:1560,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_13,13,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:146400|piercing:146400|gold:2580000,food:14640|piercing:14640|gold:0,piercing:118800,518399,,44,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:1740|piercing:1740,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_14,14,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:160800|piercing:160800|gold:2580000,food:16080|piercing:16080|gold:0,piercing:131760,647999,,46,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:1920|piercing:1920,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_15,15,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:175200|piercing:175200|gold:2580000,food:17520|piercing:17520|gold:0,piercing:144720,691199,,48,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:2100|piercing:2100,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_16,16,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:189600|piercing:189600|gold:2580000,food:18960|piercing:18960|gold:0,piercing:157680,760319,,50,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:2280|piercing:2280,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_17,17,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:204000|piercing:204000|gold:2580000,food:20400|piercing:20400|gold:0,piercing:170640,829439,,52,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:2460|piercing:2460,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_18,18,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:218400|piercing:218400|gold:2580000,food:21840|piercing:21840|gold:0,piercing:183600,829439,,54,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:2640|piercing:2640,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_19,19,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:232800|piercing:232800|gold:2580000,food:23280|piercing:23280|gold:0,piercing:196560,898559,,56,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:2820|piercing:2820,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_20,20,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:247200|piercing:247200|gold:2580000,food:24720|piercing:24720|gold:0,piercing:209520,967679,,58,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:3000|piercing:3000,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_21,21,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:268800|piercing:268800|gold:2580000,food:26880|piercing:26880|gold:0,piercing:222480,1036800,,61,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:3180|piercing:3180,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_22,22,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:290400|piercing:290400|gold:2580000,food:29040|piercing:29040|gold:0,piercing:241920,1105920,,64,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:3450|piercing:3450,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_23,23,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:312000|piercing:312000|gold:2580000,food:31200|piercing:31200|gold:0,piercing:261360,1175040,,67,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:3720|piercing:3720,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_24,24,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:333600|piercing:333600|gold:2580000,food:33360|piercing:33360|gold:0,piercing:280800,1175040,,70,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:3990|piercing:3990,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_25,25,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:355200|piercing:355200|gold:2580000,food:35520|piercing:35520|gold:0,piercing:300240,1175040,,73,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:4260|piercing:4260,prop_constructionKit_vault.lvl,,1,
StorageUpgrades_26,26,0,stru_resource_vault_level03.lvl,,|stru_resource_vault_level03_active01.lvl|stru_resource_vault_level03_active02.lvl,food:376800|piercing:376800|gold:2580000,food:37680|piercing:37680|gold:0,piercing:319680,1175040,,76,100,,,experience:400,,,,1.5,1,90,stru_resource_vault_level03_death.lvl,,,food:4530|piercing:4530,prop_constructionKit_vault.lvl,,1,
