identifier,level,inBundle,sceneFile,lobOverlaySceneFilename,upgradeCost,upgradeTimeInSeconds,achievementRequirements,levelRequired,HP,attacksPerSecond,attackDuration,attackRange,shotsPerAttack,projectileIdentifier,attackEffects,attackPower,specialAttackPower,finalDestructionDamage,heightAttackBonusPercentage,perAttackPercentageAttackIncrease,perNeighborPercentageAttackIncrease,destructionProbabilities,component,upgradeReward,activeAbilityProjectile,activeAbilityProjectileEffects,activeAbilityEffects,activeAbilityDelay,activeAbilityBusyDuration,activeAbilityEffectDuration,activeAbilityCost,activeAbilityRange,explosionSceneFile,showcaseIsTrackingTarget,inRangeCompoundParticleEffectIdentifier,bonusLabel1,bonusLabel2,requiredBuilderLevel,constructionSceneFile,customUpgradeSceneFile,powerLevel,h
String,Integer,Integer,String,String,String,Integer,String,Integer,Float,Float,Float,Integer,Integer,String,String,Float,Float,Integer,Integer,String,String,String,String,String,String,String,String,Float,Float,Float,Integer,Integer,String,Integer,String,LocalizedString,String,Integer,String,String,Integer,String
StormTowerUpgrades_1,1,0,bld_storm_level01.lvl,stru_tower_lobLocators.lvl,piercing:12,600,,1,6991,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,50,25,0,0,,,,,experience:28,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level01_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,,,15,
StormTowerUpgrades_2,2,0,bld_storm_level02.lvl,stru_tower_lobLocators.lvl,piercing:145,900,,1,8643,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,69,35,0,0,,,,,experience:98,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level02_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,0,,,28,
StormTowerUpgrades_3,3,0,bld_storm_level03.lvl,stru_tower_lobLocators.lvl,piercing:463,2700,,1,10261,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,98,49,0,0,,,,,experience:225,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level03_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,1,,,45,
StormTowerUpgrades_4,4,0,bld_storm_level03-2.lvl,stru_tower_lobLocators.lvl,piercing:861,8640,,1,11982,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,133,66,0,0,,,,,experience:383,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level03_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,1,,,66,
StormTowerUpgrades_5,5,0,bld_storm_level03-3.lvl,stru_tower_lobLocators.lvl,piercing:1463,16200,,1,14255,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,180,90,0,0,,,,,experience:428,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level03_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,1,,,104,
StormTowerUpgrades_6,6,0,bld_storm_level03-4.lvl,stru_tower_lobLocators.lvl,piercing:1894,21600,,7,16884,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,244,122,0,0,,,,,experience:600,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level03_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,2,,,165,
StormTowerUpgrades_7,7,0,bld_storm_level04.lvl,stru_tower_lobLocators.lvl,piercing:2698,28800,,12,19892,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,330,165,0,0,,,,,experience:750,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level04_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,2,,,272,
StormTowerUpgrades_8,8,0,bld_storm_level04-2.lvl,stru_tower_lobLocators.lvl,piercing:3714,36000,,12,23314,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,444,222,0,0,,,,,experience:750,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level04_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,3,,,437,
StormTowerUpgrades_9,9,0,bld_storm_level04-3.lvl,stru_tower_lobLocators.lvl,piercing:5703,43200,,17,27185,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,525,263,0,0,,,,,experience:924,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level04_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,3,,,588,
StormTowerUpgrades_10,10,0,bld_storm_level04-4.lvl,stru_tower_lobLocators.lvl,piercing:8712,57600,,17,30537,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,590,295,0,0,,,,,experience:1264,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level04_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,3,,,759,
StormTowerUpgrades_11,11,0,bld_storm_level05.lvl,stru_tower_lobLocators.lvl,piercing:12869,72000,,21,34165,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,660,330,0,0,,,,,experience:1298,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level05_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,4,,,925,
StormTowerUpgrades_12,12,0,bld_storm_level05-2.lvl,stru_tower_lobLocators.lvl,piercing:17819,86400,,21,38072,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,735,368,0,0,,,,,experience:1667,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level05_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,4,,,1161,
StormTowerUpgrades_13,13,0,bld_storm_level05-3.lvl,stru_tower_lobLocators.lvl,piercing:26927,129600,,25,42382,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,818,409,0,0,,,,,experience:2058,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level05_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,5,,,1450,
StormTowerUpgrades_14,14,0,bld_storm_level05-4.lvl,stru_tower_lobLocators.lvl,piercing:38115,172800,,28,47181,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,911,455,0,0,,,,,experience:2118,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level05_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,5,,,1798,
StormTowerUpgrades_15,15,0,bld_storm_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:51677,216000,,31,52525,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,1014,507,0,0,,,,,experience:2546,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level05_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,6,,,2211,
StormTowerUpgrades_16,16,0,bld_storm_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:57617,259200,,31,58473,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,1129,564,0,0,,,,,experience:3000,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level05_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,6,,,2730,
StormTowerUpgrades_17,17,0,bld_storm_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:77039,302400,,34,65095,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,1257,628,0,0,,,,,experience:3097,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level05_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,7,,,3404,
StormTowerUpgrades_18,18,0,bld_storm_level05-5.lvl,stru_tower_lobLocators.lvl,piercing:86400,345600,,37,72467,0.5,2,70,15,stormProjectile,hpReduction:hpReduction23,1399,699,0,0,,,,,experience:4000,,,invincibleBuildings:invincibleBuildings|fireBeam:beamHPReduction3|showBattleText:stormShotText,1.5,1.5,2,1,90,bld_storm_level05_death.lvl,1,cmp_ptl_stormSpiral,Protective Shield,,8,,,4212,
