identifier,chanceToStun,battleTextIdentifier,stopMovement,stunVFXFileName,stunDurationSeconds,h
String,Integer,String,Integer,String,Float,String
stun01,100,,0,,1.5,
stun02,38,,0,,1.5,
stun03,40,,0,,1.5,
stun04,44,,0,,1.5,
stun05,47,,0,,1.5,
stun06,50,,0,,1.5,
stun07,53,,0,,1.5,
stun08,56,,0,,1.5,
stun09,58,,0,,1.5,
stun10,62,,0,,1.5,
stun11,62,,0,,1.5,
stun12,50,,0,,1.5,
stun13,50,,0,,1.5,
stun14,50,,0,,1.5,
stun15,50,,0,,1.5,
stun16,50,,0,,1.5,
stun17,50,,0,,1.5,
stun18,50,,0,,1.5,
stun19,50,,0,,1.5,
stun20,50,,0,,1.5,
stun21,50,,0,,1.5,
stun22,50,,0,,1.5,
stun23,50,,0,,1.5,
stun24,50,,0,,1.5,
stun25,50,,0,,1.5,
stun26,100,,1,,0.1,
stunTut1,100,,0,,1.5,
stunTut2,30,,0,,1.5,
stunDarkFlak,100,,0,,1,!@#dhjcgomekpicmeen
