identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Float,String,Integer,String
SummonSwarm_1,1,food:4,1,,5791,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,148,food:0,4.2,rage2,1,1,experience:100,100,
SummonSwarm_2,2,food:4,1,,6016,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,159,food:0,4.2,rage2,1,1,experience:100,200,
SummonSwarm_3,3,food:4,1,,6237,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,165,food:0,4.2,rage2,1,1,experience:100,300,
SummonSwarm_4,4,food:4,1,,6411,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,180,food:0,4.2,rage2,1,1,experience:100,400,
SummonSwarm_5,5,food:4,1,,6784,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,195,food:0,4.2,rage2,1,1,experience:100,500,
SummonSwarm_6,6,food:4,1,,7098,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,209,food:0,4.2,rage2,1,1,experience:100,600,
SummonSwarm_7,7,food:4,1,,7538,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,223,food:0,4.2,rage2,1,1,experience:100,700,
SummonSwarm_8,8,food:4,1,,9624,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,245,food:0,4.2,rage2,1,1,experience:100,800,
SummonSwarm_9,9,food:4,1,,10434,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,268,food:0,4.2,rage2,1,1,experience:100,900,
SummonSwarm_10,10,food:4,1,,11711,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,294,food:0,4.2,rage2,1,1,experience:100,1000,
SummonSwarm_11,11,food:4,1,,12657,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,322,food:0,4.2,rage2,1,1,experience:100,1100,
SummonSwarm_12,12,food:4,1,,13665,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,356,food:0,4.2,rage2,1,1,experience:100,1200,
SummonSwarm_13,13,food:4,1,,15261,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,391,food:0,4.2,rage2,1,1,experience:100,1300,
SummonSwarm_14,14,food:4,1,,17014,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,427,food:0,4.2,rage2,1,1,experience:100,1400,
SummonSwarm_15,15,food:4,1,,18686,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,463,food:0,4.2,rage2,1,1,experience:100,1500,
SummonSwarm_16,16,food:4,1,,24710,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,496,food:0,4.2,rage2,1,1,experience:100,1600,
SummonSwarm_17,17,food:4,1,,25820,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,526,food:0,4.2,rage2,1,1,experience:100,1700,
SummonSwarm_18,18,food:4,1,,27318,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,554,food:0,4.2,rage2,1,1,experience:100,1800,
SummonSwarm_19,19,food:4,1,,28561,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,587,food:0,4.2,rage2,1,1,experience:100,1900,
SummonSwarm_20,20,food:4,1,,30206,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,628,food:0,4.2,rage2,1,1,experience:100,2000,
SummonSwarm_21,21,food:4,1,,32846,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,676,food:0,4.2,rage2,1,1,experience:100,2100,
SummonSwarm_22,22,food:4,1,,36047,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,734,food:0,4.2,rage2,1,1,experience:100,2200,
SummonSwarm_23,23,food:4,1,,39072,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,799,food:0,4.2,rage2,1,1,experience:100,2300,
SummonSwarm_24,24,food:4,1,,42724,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,862,food:0,4.2,rage2,1,1,experience:100,2400,
SummonSwarm_25,25,food:4,1,,46171,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,919,food:0,4.2,rage2,1,1,experience:100,2500,
SummonSwarm_26,26,food:4,1,,58051,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,974,food:0,4.2,rage2,1,1,experience:100,2600,
SummonSwarm_27,27,food:4,1,,60232,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1022,food:0,4.2,rage2,1,1,experience:100,2700,
SummonSwarm_28,28,food:4,1,,63077,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1065,food:0,4.2,rage2,1,1,experience:100,2800,
SummonSwarm_29,29,food:4,1,,65452,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1115,food:0,4.2,rage2,1,1,experience:100,2900,
SummonSwarm_30,30,food:4,1,,67954,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1176,food:0,4.2,rage2,1,1,experience:100,3000,
SummonSwarm_31,31,food:4,1,,72962,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1245,food:0,4.2,rage2,1,1,experience:100,3100,
SummonSwarm_32,32,food:4,1,,78317,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1326,food:0,4.2,rage2,1,1,experience:100,3200,
SummonSwarm_33,33,food:4,1,,83333,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1421,food:0,4.2,rage2,1,1,experience:100,3300,
SummonSwarm_34,34,food:4,1,,89408,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1519,food:0,4.2,rage2,1,1,experience:100,3400,
SummonSwarm_35,35,food:4,1,,95901,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1624,food:0,4.2,rage2,1,1,experience:100,3500,
SummonSwarm_36,36,food:4,1,,102010,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1739,food:0,4.2,rage2,1,1,experience:100,3600,
SummonSwarm_37,37,food:4,1,,109376,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1859,food:0,4.2,rage2,1,1,experience:100,3700,
SummonSwarm_38,38,food:4,1,,117247,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1972,food:0,4.2,rage2,1,1,experience:100,3800,
SummonSwarm_39,39,food:4,1,,124682,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,2081,food:0,4.2,rage2,1,1,experience:100,3900,
SummonSwarm_40,40,food:4,1,,150848,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,2179,food:0,4.2,rage2,1,1,experience:100,4000,
SummonSwarm_41,41,food:4,1,,156557,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,2269,food:0,4.2,rage2,1,1,experience:100,4100,
SummonSwarm_42,42,food:4,1,,161389,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,2353,food:0,4.2,rage2,1,1,experience:100,4200,
SummonSwarm_43,43,food:4,1,,167756,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,2454,food:0,4.2,rage2,1,1,experience:100,4300,
SummonSwarm_44,44,food:4,1,,174485,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,2575,food:0,4.2,rage2,1,1,experience:100,4400,
SummonSwarm_45,45,food:4,1,,185439,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,2724,food:0,4.2,rage2,1,1,experience:100,4500,
SummonSwarm_46,46,food:4,1,,198487,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,2892,food:0,4.2,rage2,1,1,experience:100,4600,
SummonSwarm_47,47,food:4,1,,212415,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,3086,food:0,4.2,rage2,1,1,experience:100,4700,
SummonSwarm_48,48,food:4,1,,225699,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,3298,food:0,4.2,rage2,1,1,experience:100,4800,
SummonSwarm_49,49,food:4,1,,241464,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,3518,food:0,4.2,rage2,1,1,experience:100,4900,
SummonSwarm_50,50,food:4,1,,258280,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,3753,food:0,4.2,rage2,1,1,experience:100,5000,
SummonSwarm_51,51,food:4,1,,274360,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,4008,food:0,4.2,rage2,1,1,experience:100,5100,
SummonSwarm_52,52,food:4,1,,293385,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,4275,food:0,4.2,rage2,1,1,experience:100,5200,
SummonSwarm_53,53,food:4,1,,313672,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,4530,food:0,4.2,rage2,1,1,experience:100,5300,
SummonSwarm_54,54,food:4,1,,333129,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,4779,food:0,4.2,rage2,1,1,experience:100,5400,
SummonSwarm_55,55,food:4,1,,395640,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,5007,food:0,4.2,rage2,1,1,experience:100,5500,
SummonSwarm_56,56,food:4,1,,411395,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,5222,food:0,4.2,rage2,1,1,experience:100,5600,
SummonSwarm_57,57,food:4,1,,425329,1,flamethrower:SummonHolidayHelper_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,5426,food:0,4.2,rage2,1,1,experience:100,5700,
