identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Float,String,Integer,String
summonPuppetDragon_1,1,food:4,1,,5791,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,148,food:0,4.2,rage2,1,1,experience:100,100,
summonPuppetDragon_2,2,food:4,1,,6016,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,159,food:0,4.2,rage2,1,1,experience:100,200,
summonPuppetDragon_3,3,food:4,1,,6237,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,165,food:0,4.2,rage2,1,1,experience:100,300,
summonPuppetDragon_4,4,food:4,1,,6411,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,180,food:0,4.2,rage2,1,1,experience:100,400,
summonPuppetDragon_5,5,food:4,1,,6784,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,195,food:0,4.2,rage2,1,1,experience:100,500,
summonPuppetDragon_6,6,food:4,1,,7098,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,209,food:0,4.2,rage2,1,1,experience:100,600,
summonPuppetDragon_7,7,food:4,1,,7538,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,223,food:0,4.2,rage2,1,1,experience:100,700,
summonPuppetDragon_8,8,food:4,1,,9624,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,245,food:0,4.2,rage2,1,1,experience:100,800,
summonPuppetDragon_9,9,food:4,1,,10434,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,268,food:0,4.2,rage2,1,1,experience:100,900,
summonPuppetDragon_10,10,food:4,1,,11711,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,294,food:0,4.2,rage2,1,1,experience:100,1000,
summonPuppetDragon_11,11,food:4,1,,12657,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,322,food:0,4.2,rage2,1,1,experience:100,1100,
summonPuppetDragon_12,12,food:4,1,,13665,1,flamethrower:SummonPuppetDragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,356,food:0,4.2,rage2,1,1,experience:100,1200,
