identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Float,String,Integer,String
SummonReefFamiliar_1,1,food:4,1,,5791,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,148,food:0,4.2,rage2,1,1,experience:100,100,
SummonReefFamiliar_2,2,food:4,1,,6016,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,159,food:0,4.2,rage2,1,1,experience:100,200,
SummonReefFamiliar_3,3,food:4,1,,6237,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,165,food:0,4.2,rage2,1,1,experience:100,300,
SummonReefFamiliar_4,4,food:4,1,,6411,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,180,food:0,4.2,rage2,1,1,experience:100,400,
SummonReefFamiliar_5,5,food:4,1,,6784,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,195,food:0,4.2,rage2,1,1,experience:100,500,
SummonReefFamiliar_6,6,food:4,1,,7098,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,209,food:0,4.2,rage2,1,1,experience:100,600,
SummonReefFamiliar_7,7,food:4,1,,7538,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,223,food:0,4.2,rage2,1,1,experience:100,700,
SummonReefFamiliar_8,8,food:4,1,,9624,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,245,food:0,4.2,rage2,1,1,experience:100,800,
SummonReefFamiliar_9,9,food:4,1,,10434,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,268,food:0,4.2,rage2,1,1,experience:100,900,
SummonReefFamiliar_10,10,food:4,1,,11711,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,294,food:0,4.2,rage2,1,1,experience:100,1000,
SummonReefFamiliar_11,11,food:4,1,,12657,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,322,food:0,4.2,rage2,1,1,experience:100,1100,
SummonReefFamiliar_12,12,food:4,1,,13665,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,356,food:0,4.2,rage2,1,1,experience:100,1200,
SummonReefFamiliar_13,13,food:4,1,,15261,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,391,food:0,4.2,rage2,1,1,experience:100,1300,
SummonReefFamiliar_14,14,food:4,1,,17014,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,427,food:0,4.2,rage2,1,1,experience:100,1400,
SummonReefFamiliar_15,15,food:4,1,,18686,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,463,food:0,4.2,rage2,1,1,experience:100,1500,
SummonReefFamiliar_16,16,food:4,1,,24710,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,496,food:0,4.2,rage2,1,1,experience:100,1600,
SummonReefFamiliar_17,17,food:4,1,,25820,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,526,food:0,4.2,rage2,1,1,experience:100,1700,
SummonReefFamiliar_18,18,food:4,1,,27318,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,554,food:0,4.2,rage2,1,1,experience:100,1800,
SummonReefFamiliar_19,19,food:4,1,,28561,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,587,food:0,4.2,rage2,1,1,experience:100,1900,
SummonReefFamiliar_20,20,food:4,1,,30206,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,628,food:0,4.2,rage2,1,1,experience:100,2000,
SummonReefFamiliar_21,21,food:4,1,,32846,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,676,food:0,4.2,rage2,1,1,experience:100,2100,
SummonReefFamiliar_22,22,food:4,1,,36047,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,734,food:0,4.2,rage2,1,1,experience:100,2200,
SummonReefFamiliar_23,23,food:4,1,,39072,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,799,food:0,4.2,rage2,1,1,experience:100,2300,
SummonReefFamiliar_24,24,food:4,1,,42724,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,862,food:0,4.2,rage2,1,1,experience:100,2400,
SummonReefFamiliar_25,25,food:4,1,,46171,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,919,food:0,4.2,rage2,1,1,experience:100,2500,
SummonReefFamiliar_26,26,food:4,1,,58051,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,974,food:0,4.2,rage2,1,1,experience:100,2600,
SummonReefFamiliar_27,27,food:4,1,,60232,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1022,food:0,4.2,rage2,1,1,experience:100,2700,
SummonReefFamiliar_28,28,food:4,1,,63077,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1065,food:0,4.2,rage2,1,1,experience:100,2800,
SummonReefFamiliar_29,29,food:4,1,,65452,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1115,food:0,4.2,rage2,1,1,experience:100,2900,
SummonReefFamiliar_30,30,food:4,1,,67954,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1176,food:0,4.2,rage2,1,1,experience:100,3000,
SummonReefFamiliar_31,31,food:4,1,,72962,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1245,food:0,4.2,rage2,1,1,experience:100,3100,
SummonReefFamiliar_32,32,food:4,1,,78317,1,flamethrower:T1C1WFdragon_flamethrower,aoeSpell:aoe2|archerResist01:archerResist01,1326,food:0,4.2,rage2,1,1,experience:100,3200,
