identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T10C3WWdragon_1,1,food:0,1,,7148994,17280,flamethrower:T10C3WWdragon_flamethrower,,64817,food:1680,4.2,rage2,33,1918403,1,experience:0,3774684,
T10C3WWdragon_2,2,food:448272,1,,7327700,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1,66437,food:1698,4.2,rage2,33,1966362,1,experience:0,5948719,
T10C3WWdragon_3,3,food:453024,1,,7510872,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1,68098,food:1716,4.2,rage2,34,2289887,1,experience:0,6249852,
T10C3WWdragon_4,4,food:457776,1,,7698622,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1,69801,food:1734,4.2,rage2,34,2701027,1,experience:0,6566154,
T10C3WWdragon_5,5,food:462528,1,,7891060,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1,71546,food:1752,4.2,rage2,34,3111920,1,experience:0,9198080,
T10C3WWdragon_6,6,food:467280,1,,8088313,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1,73334,food:1770,4.2,rage2,35,3525975,1,experience:0,9663777,
T10C3WWdragon_7,7,food:472032,1,,8290502,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1,75168,food:1788,4.2,rage2,35,3614123,1,experience:0,10152870,
T10C3WWdragon_8,8,food:476784,1,,8497749,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1,77047,food:1806,4.2,rage2,35,3704476,1,experience:0,10666937,
T10C3WWdragon_9,9,food:481536,1,,8710169,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1,78973,food:1824,4.2,rage2,36,3797086,1,experience:0,14569012,
T10C3WWdragon_10,10,food:486288,1,,8927892,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1,80947,food:1842,4.2,rage2,36,3892011,1,experience:0,15306491,
T10C3WWdragon_11,11,food:491040,1,,9151061,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1,82971,food:1860,4.2,rage2,36,3989310,1,experience:0,16081273,
T10C3WWdragon_12,12,food:495792,1,,9379816,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1,85045,food:1878,4.2,rage2,37,4089042,1,experience:0,16895385,
T10C3WWdragon_13,13,food:500544,1,,9614295,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1,87171,food:1896,4.2,rage2,37,4191265,1,experience:0,17750543,
T10C3WWdragon_14,14,food:505296,1,,9854633,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1|lightningResist01:lightningResist01,89350,food:1914,4.2,rage2,37,4296046,1,experience:0,18649207,
T10C3WWdragon_15,15,food:510048,1,,10100975,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1|lightningResist01:lightningResist01,91584,food:1932,4.2,rage2,38,4403446,1,experience:0,19593350,
T10C3WWdragon_16,16,food:514800,1,,10353478,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1|lightningResist01:lightningResist01,93874,food:1950,4.2,rage2,38,4513528,1,experience:0,20585163,
T10C3WWdragon_17,17,food:519552,1,,10612290,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1|lightningResist01:lightningResist01,96220,food:1968,4.2,rage2,38,4626365,1,experience:0,21627242,
T10C3WWdragon_18,18,food:524304,1,,10877571,17280,flamethrower:T10C3WWdragon_flamethrower,healDragon:heal1|seethingSpark:seethingSpark1|frozenTomb:tectonicTomb1|lightningResist01:lightningResist01,98626,food:1986,4.2,rage2,39,6298360,1,experience:0,22722051,
