identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T10C4SEdragon_1,1,food:0,1,,5745192,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,282953,food:1960,4.2,rage3,33,2180003,1,experience:0,10206746,
T10C4SEdragon_2,2,food:509400,1,,5888807,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,290027,food:1981,4.2,rage3,33,2234502,1,experience:0,10723557,
T10C4SEdragon_3,3,food:514800,1,,6036010,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,297277,food:2002,4.2,rage3,34,2602144,1,experience:0,11266400,
T10C4SEdragon_4,4,food:520200,1,,6186893,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,304709,food:2023,4.2,rage3,34,3069349,1,experience:0,11836587,
T10C4SEdragon_5,5,food:525600,1,,6341543,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,312326,food:2044,4.2,rage3,34,3536273,1,experience:0,12435804,
T10C4SEdragon_6,6,food:531000,1,,6500063,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,320134,food:2065,4.2,rage3,35,4006790,1,experience:0,13065427,
T10C4SEdragon_7,7,food:536400,1,,6662549,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,328138,food:2086,4.2,rage3,35,4106958,1,experience:0,13726680,
T10C4SEdragon_8,8,food:541800,1,,6829100,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,336341,food:2107,4.2,rage3,35,4209632,1,experience:0,14421699,
T10C4SEdragon_9,9,food:547200,1,,6999808,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,344749,food:2128,4.2,rage3,36,4314871,1,experience:0,15151772,
T10C4SEdragon_10,10,food:552600,1,,7174779,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,353368,food:2149,4.2,rage3,36,4422740,1,experience:0,15918751,
T10C4SEdragon_11,11,food:558000,1,,7354125,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,362202,food:2170,4.2,rage3,36,4533307,1,experience:0,16724524,
T10C4SEdragon_12,12,food:563400,1,,7537961,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,371257,food:2191,4.2,rage3,37,4646638,1,experience:0,17571200,
T10C4SEdragon_13,13,food:568800,1,,7726397,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,380538,food:2212,4.2,rage3,37,4762801,1,experience:0,18460565,
T10C4SEdragon_14,14,food:574200,1,,7919542,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,390051,food:2233,4.2,rage3,37,4881871,1,experience:0,19395175,
T10C4SEdragon_15,15,food:579600,1,,8117511,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,399802,food:2254,4.2,rage3,38,5003916,1,experience:0,20377084,
T10C4SEdragon_16,16,food:585000,1,,8320431,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,409797,food:2275,4.2,rage3,38,5129010,1,experience:0,21408570,
T10C4SEdragon_17,17,food:590400,1,,8528422,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,420042,food:2296,4.2,rage3,38,5257233,1,experience:0,22492332,
T10C4SEdragon_18,18,food:595800,1,,8741612,18000,lockon:T10C4SEdragon_lockon,elementalBarrier:elementalBarrier1|desiccatingSand:noxiousVines1|umbralSpike:uproot1|archerResist01:archerResist01,430543,food:2317,4.2,rage3,39,7157228,1,experience:0,23630933,
