identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T10C4WDdragon_1,1,food:0,1,,7434954,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,67410,food:1960,4.2,rage2,33,2180003,1,experience:0,10206746,
T10C4WDdragon_2,2,food:509400,1,,7620808,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,69095,food:1981,4.2,rage2,33,2234502,1,experience:0,10723557,
T10C4WDdragon_3,3,food:514800,1,,7811307,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,70822,food:2002,4.2,rage2,34,2602144,1,experience:0,11266400,
T10C4WDdragon_4,4,food:520200,1,,8006567,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,72593,food:2023,4.2,rage2,34,3069349,1,experience:0,11836587,
T10C4WDdragon_5,5,food:525600,1,,8206702,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,74408,food:2044,4.2,rage2,34,3536273,1,experience:0,12435804,
T10C4WDdragon_6,6,food:531000,1,,8411846,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,76268,food:2065,4.2,rage2,35,4006790,1,experience:0,13065427,
T10C4WDdragon_7,7,food:536400,1,,8622123,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,78174,food:2086,4.2,rage2,35,4106958,1,experience:0,13726680,
T10C4WDdragon_8,8,food:541800,1,,8837659,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,80129,food:2107,4.2,rage2,35,4209632,1,experience:0,14421699,
T10C4WDdragon_9,9,food:547200,1,,9058576,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,82132,food:2128,4.2,rage2,36,4314871,1,experience:0,15151772,
T10C4WDdragon_10,10,food:552600,1,,9285007,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,84185,food:2149,4.2,rage2,36,4422740,1,experience:0,15918751,
T10C4WDdragon_11,11,food:558000,1,,9517103,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,86290,food:2170,4.2,rage2,36,4533307,1,experience:0,16724524,
T10C4WDdragon_12,12,food:563400,1,,9755009,18000,flamethrower:T10C4WDdragon_flamethrower,berserk:berserk1|chargedShield:shieldBlast1|frozenTomb:tectonicTomb1|iceTurretResist01:iceTurretResist01,88447,food:2191,4.2,rage2,37,4646638,1,experience:0,17571200,
