identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T11C3WEdragon_1,1,food:0,1,,10612290,17280,flamethrower:T11C3WEdragon_flamethrower,,96220,food:1968,4.2,rage2,38,2847862,1,experience:0,21627242,
T11C3WEdragon_2,2,food:524304,1,,10877571,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1,98626,food:1986,4.2,rage2,39,2919057,1,experience:0,22722051,
T11C3WEdragon_3,3,food:529056,1,,11149484,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1,101091,food:2004,4.2,rage2,39,3399328,1,experience:0,23872287,
T11C3WEdragon_4,4,food:533808,1,,11428196,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1,103619,food:2022,4.2,rage2,39,4009666,1,experience:0,25080699,
T11C3WEdragon_5,5,food:538560,1,,11713883,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1,106209,food:2040,4.2,rage2,40,4619637,1,experience:0,26350272,
T11C3WEdragon_6,6,food:543312,1,,12006717,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1,108864,food:2058,4.2,rage2,40,5234300,1,experience:0,27684241,
T11C3WEdragon_7,7,food:548064,1,,12306870,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1,111586,food:2076,4.2,rage2,41,5365156,1,experience:0,29085711,
T11C3WEdragon_8,8,food:552816,1,,12614522,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1,114375,food:2094,4.2,rage2,41,5499283,1,experience:0,30558228,
T11C3WEdragon_9,9,food:557568,1,,12929865,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1|archerResist01:archerResist01,117235,food:2112,4.2,rage2,42,5636766,1,experience:0,32105211,
T11C3WEdragon_10,10,food:562320,1,,13253086,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1|archerResist01:archerResist01,120166,food:2130,4.2,rage2,42,5777685,1,experience:0,33730337,
T11C3WEdragon_11,11,food:567072,1,,13584384,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1|archerResist01:archerResist01,123170,food:2148,4.2,rage2,43,5922123,1,experience:0,35437935,
T11C3WEdragon_12,12,food:571824,1,,13923969,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1|archerResist01:archerResist01,126249,food:2166,4.2,rage2,43,6070176,1,experience:0,37231828,
T11C3WEdragon_13,13,food:576576,1,,14272046,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1|archerResist01:archerResist01,129405,food:2184,4.2,rage2,44,6221928,1,experience:0,39116698,
T11C3WEdragon_14,14,food:581328,1,,14628823,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1|archerResist01:archerResist01|iceTurretResist01:iceTurretResist01,132640,food:2202,4.2,rage2,44,6377476,1,experience:0,41096917,
T11C3WEdragon_15,15,food:586080,1,,14994522,17280,flamethrower:T11C3WEdragon_flamethrower,isolation:isolation1|seethingSpark:seethingSpark1|archerResist01:archerResist01|iceTurretResist01:iceTurretResist01,135956,food:2220,4.2,rage2,45,6536910,1,experience:0,43177334,
