identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T11C4SFdragon_1,1,food:0,1,,8528422,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,420042,food:2296,4.2,rage3,38,3236206,1,experience:0,22492332,
T11C4SFdragon_2,2,food:595800,1,,8741612,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,430543,food:2317,4.2,rage3,39,3317110,1,experience:0,23630933,
T11C4SFdragon_3,3,food:601200,1,,8960131,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,441306,food:2338,4.2,rage3,39,3862873,1,experience:0,24827179,
T11C4SFdragon_4,4,food:606600,1,,9184114,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,452339,food:2359,4.2,rage3,39,4556438,1,experience:0,26083926,
T11C4SFdragon_5,5,food:612000,1,,9413702,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,463647,food:2380,4.2,rage3,40,5249587,1,experience:0,27404283,
T11C4SFdragon_6,6,food:617400,1,,9649035,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,475238,food:2401,4.2,rage3,40,5948068,1,experience:0,28791611,
T11C4SFdragon_7,7,food:622800,1,,9890249,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,487119,food:2422,4.2,rage3,41,6096768,1,experience:0,30249140,
T11C4SFdragon_8,8,food:628200,1,,10137489,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,499297,food:2443,4.2,rage3,41,6249186,1,experience:0,31780557,
T11C4SFdragon_9,9,food:633600,1,,10390909,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,511779,food:2464,4.2,rage3,42,6405416,1,experience:0,33389419,
T11C4SFdragon_10,10,food:639000,1,,10650662,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,524573,food:2485,4.2,rage3,42,6565551,1,experience:0,35079550,
T11C4SFdragon_11,11,food:644400,1,,10916905,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,537687,food:2506,4.2,rage3,43,6729686,1,experience:0,36855452,
T11C4SFdragon_12,12,food:649800,1,,11189808,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,551129,food:2527,4.2,rage3,43,6897927,1,experience:0,38721102,
T11C4SFdragon_13,13,food:655200,1,,11469535,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,564908,food:2548,4.2,rage3,44,7070373,1,experience:0,40681366,
T11C4SFdragon_14,14,food:660600,1,,11756255,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,579030,food:2569,4.2,rage3,44,7247132,1,experience:0,42740794,
T11C4SFdragon_15,15,food:666000,1,,12050143,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,593506,food:2590,4.2,rage3,45,7428307,1,experience:0,44904428,
T11C4SFdragon_16,16,food:671401,1,,12351375,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,608343,food:2611,4.2,rage3,45,7614015,1,experience:0,47177614,
T11C4SFdragon_17,17,food:676800,1,,12660140,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,623552,food:2632,4.2,rage3,46,7804363,1,experience:0,49566007,
T11C4SFdragon_18,18,food:682200,1,,12976627,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,639140,food:2653,4.2,rage3,46,10624907,1,experience:0,52075152,
T11C4SFdragon_19,19,food:913272,1,,13301032,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,655119,food:2674,4.2,rage3,47,10890526,1,experience:0,54711330,
T11C4SFdragon_20,20,food:920444,1,,13633548,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,671497,food:2695,4.2,rage3,47,11162785,1,experience:0,57481153,
T11C4SFdragon_21,21,food:927616,1,,13974375,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,688284,food:2716,4.2,rage3,48,11441854,1,experience:0,60390920,
T11C4SFdragon_22,22,food:934789,1,,14323722,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,705491,food:2737,4.2,rage3,48,14344235,1,experience:0,63448123,
T11C4SFdragon_23,23,food:1152099,1,,14681804,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,723128,food:2758,4.2,rage3,49,14702840,1,experience:0,66660173,
T11C4SFdragon_24,24,food:1160872,1,,15048843,18000,lockon:T11C4SFdragon_lockon,stealEssence:extractEssence1|risingPhoenix:resurrection1|summonAIDragon:hellspawn1|nova:nova1,741206,food:2779,4.2,rage3,49,15070409,1,experience:0,70034832,
