identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T12C3SFdragon_1,1,food:0,1,,13436899,17280,lockon:T12C3SFdragon_lockon,,661811,food:2328,4.2,rage3,48,5514991,1,experience:0,58068192,
T12C3SFdragon_2,2,food:619344,1,,13772810,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1,678356,food:2346,4.2,rage3,48,5652866,1,experience:0,61007811,
T12C3SFdragon_3,3,food:624096,1,,14117119,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1,695315,food:2364,4.2,rage3,49,6582933,1,experience:0,64096321,
T12C3SFdragon_4,4,food:628848,1,,14470041,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1,712698,food:2382,4.2,rage3,49,7764876,1,experience:0,67341184,
T12C3SFdragon_5,5,food:633600,1,,14831782,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1|nova:nova1,730515,food:2400,4.2,rage3,50,8946110,1,experience:0,70750207,
T12C3SFdragon_6,6,food:638352,1,,15202562,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1|nova:nova1,748778,food:2418,4.2,rage3,51,10136428,1,experience:0,74331972,
T12C3SFdragon_7,7,food:643104,1,,15582614,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1|nova:nova1,767497,food:2436,4.2,rage3,52,10389837,1,experience:0,78094999,
T12C3SFdragon_8,8,food:647856,1,,15972165,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1|nova:nova1,786685,food:2454,4.2,rage3,53,10649581,1,experience:0,82048386,
T12C3SFdragon_9,9,food:652608,1,,16371452,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1|nova:nova1|absorbMagic:absorbMagic1,806352,food:2472,4.2,rage3,54,10915817,1,experience:0,86202043,
T12C3SFdragon_10,10,food:657360,1,,16780724,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1|nova:nova1|absorbMagic:absorbMagic1,826510,food:2490,4.2,rage3,55,11188712,1,experience:0,88104753,
T12C3SFdragon_11,11,food:662112,1,,17200230,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1|nova:nova1|absorbMagic:absorbMagic1,847173,food:2508,4.2,rage3,56,11468429,1,experience:0,94660046,
T12C3SFdragon_12,12,food:666864,1,,17630223,17280,lockon:T12C3SFdragon_lockon,southernCross:southernCrossDark1|nova:nova1|absorbMagic:absorbMagic1,868352,food:2526,4.2,rage3,57,11755139,1,experience:0,98964626,
