identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T12C3WFdragon_1,1,food:0,1,,17388928,17280,flamethrower:T12C3WFdragon_flamethrower,,157667,food:2328,4.2,rage2,48,5514991,1,experience:0,58068192,
T12C3WFdragon_2,2,food:619344,1,,17823636,17280,flamethrower:T12C3WFdragon_flamethrower,bloodFury:bloodFury1,161609,food:2346,4.2,rage2,48,5652866,1,experience:0,61007811,
T12C3WFdragon_3,3,food:624096,1,,18269212,17280,flamethrower:T12C3WFdragon_flamethrower,bloodFury:bloodFury1,165649,food:2364,4.2,rage2,49,6582933,1,experience:0,64096321,
T12C3WFdragon_4,4,food:628848,1,,18725935,17280,flamethrower:T12C3WFdragon_flamethrower,bloodFury:bloodFury1,169790,food:2382,4.2,rage2,49,7764876,1,experience:0,67341184,
T12C3WFdragon_5,5,food:633600,1,,19194070,17280,flamethrower:T12C3WFdragon_flamethrower,bloodFury:bloodFury1|heatBlastShield:heatBlastShield1,174035,food:2400,4.2,rage2,50,8946110,1,experience:0,70750207,
T12C3WFdragon_6,6,food:638352,1,,19673904,17280,flamethrower:T12C3WFdragon_flamethrower,bloodFury:bloodFury1|heatBlastShield:heatBlastShield1,178386,food:2418,4.2,rage2,51,10136428,1,experience:0,74331972,
T12C3WFdragon_7,7,food:643104,1,,20165736,17280,flamethrower:T12C3WFdragon_flamethrower,bloodFury:bloodFury1|heatBlastShield:heatBlastShield1,182845,food:2436,4.2,rage2,52,10389837,1,experience:0,78094999,
T12C3WFdragon_8,8,food:647856,1,,20669860,17280,flamethrower:T12C3WFdragon_flamethrower,bloodFury:bloodFury1|heatBlastShield:heatBlastShield1,187416,food:2454,4.2,rage2,53,10649581,1,experience:0,82048386,
T12C3WFdragon_9,9,food:652608,1,,21186585,17280,flamethrower:T12C3WFdragon_flamethrower,bloodFury:bloodFury1|heatBlastShield:heatBlastShield1|heatedPiercingBreath:heatedPiercingBreath1,192102,food:2472,4.2,rage2,54,10915817,1,experience:0,86202043,
