identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T12C4SWdragon_1,1,food:0,1,,13974375,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,688284,food:2716,4.2,rage3,48,6363452,1,experience:0,60390920,
T12C4SWdragon_2,2,food:703800,1,,14323722,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,705491,food:2737,4.2,rage3,48,6522538,1,experience:0,63448123,
T12C4SWdragon_3,3,food:709200,1,,14681804,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,723128,food:2758,4.2,rage3,49,7595692,1,experience:0,66660173,
T12C4SWdragon_4,4,food:714600,1,,15048843,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,741206,food:2779,4.2,rage3,49,8959473,1,experience:0,70034832,
T12C4SWdragon_5,5,food:720000,1,,15425053,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,759736,food:2800,4.2,rage3,50,10322434,1,experience:0,73580215,
T12C4SWdragon_6,6,food:725400,1,,15810665,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,778729,food:2821,4.2,rage3,51,11695879,1,experience:0,77305251,
T12C4SWdragon_7,7,food:730800,1,,16205919,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,798197,food:2842,4.2,rage3,52,11988274,1,experience:0,81218799,
T12C4SWdragon_8,8,food:736200,1,,16611052,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,818152,food:2863,4.2,rage3,53,12287979,1,experience:0,85330321,
T12C4SWdragon_9,9,food:741600,1,,17026310,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,838606,food:2884,4.2,rage3,54,12595174,1,experience:0,89650125,
T12C4SWdragon_10,10,food:747000,1,,17451953,18000,lockon:T12C4SWdragon_lockon,fluxSpell:flux1|absorbMagic:absorbMagic1|seekerShots:seekerShots1|fireFlakResist01:fireFlakResist01,859571,food:2905,4.2,rage3,55,12910053,1,experience:0,91628943,
