identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T12C4WIdragon_1,1,food:0,1,,18084485,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,163974,food:2716,4.2,rage2,48,6363452,1,experience:0,60390920,
T12C4WIdragon_2,2,food:703800,1,,18536581,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,168073,food:2737,4.2,rage2,48,6522538,1,experience:0,63448123,
T12C4WIdragon_3,3,food:709200,1,,18999981,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,172275,food:2758,4.2,rage2,49,7595692,1,experience:0,66660173,
T12C4WIdragon_4,4,food:714600,1,,19474973,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,176582,food:2779,4.2,rage2,49,8959473,1,experience:0,70034832,
T12C4WIdragon_5,5,food:720000,1,,19961833,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,180996,food:2800,4.2,rage2,50,10322434,1,experience:0,73580215,
T12C4WIdragon_6,6,food:725400,1,,20460860,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,185521,food:2821,4.2,rage2,51,11695879,1,experience:0,77305251,
T12C4WIdragon_7,7,food:730800,1,,20972366,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,190159,food:2842,4.2,rage2,52,11988274,1,experience:0,81218799,
T12C4WIdragon_8,8,food:736200,1,,21496655,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,194913,food:2863,4.2,rage2,53,12287979,1,experience:0,85330321,
T12C4WIdragon_9,9,food:741600,1,,22034049,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,199786,food:2884,4.2,rage2,54,12595174,1,experience:0,89650125,
T12C4WIdragon_10,10,food:747000,1,,22584880,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,204780,food:2905,4.2,rage2,55,12910053,1,experience:0,91628943,
T12C4WIdragon_11,11,food:752400,1,,23149486,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,209900,food:2926,4.2,rage2,56,13232803,1,experience:0,98446448,
T12C4WIdragon_12,12,food:757800,1,,23728206,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,215147,food:2947,4.2,rage2,57,13563622,1,experience:0,102923211,
T12C4WIdragon_13,13,food:763200,1,,24321393,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,220526,food:2968,4.2,rage2,58,13902711,1,experience:0,107452536,
T12C4WIdragon_14,14,food:768600,1,,24929409,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,226039,food:2989,4.2,rage2,59,14250276,1,experience:0,112034547,
T12C4WIdragon_15,15,food:774000,1,,25552629,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,231690,food:3010,4.2,rage2,60,14606532,1,experience:0,116669364,
T12C4WIdragon_16,16,food:779400,1,,26191436,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,237482,food:3031,4.2,rage2,60,14971693,1,experience:0,120281525,
T12C4WIdragon_17,17,food:784800,1,,26846211,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,243419,food:3052,4.2,rage2,61,15345984,1,experience:0,123927305,
T12C4WIdragon_18,18,food:790200,1,,27517350,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,249505,food:3073,4.2,rage2,61,20892118,1,experience:0,127606704,
T12C4WIdragon_19,19,food:1056717,1,,28205269,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,255742,food:3094,4.2,rage2,62,21414417,1,experience:0,131319722,
T12C4WIdragon_20,20,food:1063890,1,,28910392,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,262136,food:3115,4.2,rage2,62,21949775,1,experience:0,135066359,
T12C4WIdragon_21,21,food:1071062,1,,29633149,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,268689,food:3136,4.2,rage2,63,22498519,1,experience:0,138846614,
T12C4WIdragon_22,22,food:1078234,1,,30373972,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,275406,food:3157,4.2,rage2,63,28205569,1,experience:0,142660489,
T12C4WIdragon_23,23,food:1327546,1,,31133309,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,282291,food:3178,4.2,rage2,64,28910703,1,experience:0,146507982,
T12C4WIdragon_24,24,food:1336318,1,,31911621,18000,flamethrower:T12C4WIdragon_flamethrower,crystallineShield:frostShield1|fluxSpell:flux1|bloodFury:bloodFury1|darkFlakResist01:darkFlakResist01,289349,food:3199,4.2,rage2,64,29633469,1,experience:0,150389094,
