identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T12C4Wdragon_1,1,food:0,1,,11036781,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath140|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,100069,food:2296,4.2,rage2,38,3236206,1,experience:0,21627242,
T12C4Wdragon_2,2,food:595800,1,,11312674,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath141|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,102571,food:2317,4.2,rage2,39,3317110,1,experience:0,22722051,
T12C4Wdragon_3,3,food:601200,1,,11595464,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath142|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,105135,food:2338,4.2,rage2,39,3862873,1,experience:0,23872287,
T12C4Wdragon_4,4,food:606600,1,,11885324,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath143|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,107763,food:2359,4.2,rage2,39,4556438,1,experience:0,25080699,
T12C4Wdragon_5,5,food:612000,1,,12182438,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath144|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,110457,food:2380,4.2,rage2,40,5249587,1,experience:0,26350272,
T12C4Wdragon_6,6,food:617400,1,,12486986,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath145|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,113219,food:2401,4.2,rage2,40,5948068,1,experience:0,27684241,
T12C4Wdragon_7,7,food:622800,1,,12799145,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath146|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,116049,food:2422,4.2,rage2,40,6096768,1,experience:0,29085711,
T12C4Wdragon_8,8,food:628200,1,,13119103,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath147|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,118950,food:2443,4.2,rage2,41,6249186,1,experience:0,30558228,
T12C4Wdragon_9,9,food:633600,1,,13447059,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath148|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,121924,food:2464,4.2,rage2,41,6405416,1,experience:0,32105211,
T12C4Wdragon_10,10,food:639000,1,,13783209,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath149|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,124972,food:2485,4.2,rage2,41,6565551,1,experience:0,33730337,
T12C4Wdragon_11,11,food:644400,1,,14127760,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath150|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,128097,food:2506,4.2,rage2,42,6729686,1,experience:0,35437935,
T12C4Wdragon_12,12,food:649800,1,,14480928,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath151|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,131299,food:2527,4.2,rage2,42,6897927,1,experience:0,37231828,
T12C4Wdragon_13,13,food:655200,1,,14842927,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath152|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,134581,food:2548,4.2,rage2,42,7070373,1,experience:0,39116698,
T12C4Wdragon_14,14,food:660600,1,,15213976,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath153|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,137946,food:2569,4.2,rage2,43,7247132,1,experience:0,41096917,
T12C4Wdragon_15,15,food:666000,1,,15594303,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath154|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,141394,food:2590,4.2,rage2,43,7428307,1,experience:0,43177334,
T12C4Wdragon_16,16,food:671401,1,,15984133,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath155|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,144929,food:2611,4.2,rage2,43,7614015,1,experience:0,45363091,
T12C4Wdragon_17,17,food:676800,1,,16383711,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath156|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,148552,food:2632,4.2,rage2,44,7804363,1,experience:0,47659622,
T12C4Wdragon_18,18,food:682200,1,,16793282,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath157|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,152266,food:2653,4.2,rage2,44,10624907,1,experience:0,50072261,
T12C4Wdragon_19,19,food:913272,1,,17213100,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath158|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,156073,food:2674,4.2,rage2,44,10890526,1,experience:0,52607048,
T12C4Wdragon_20,20,food:920444,1,,17643415,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath159|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,159975,food:2695,4.2,rage2,45,11162785,1,experience:0,55270340,
T12C4Wdragon_21,21,food:927616,1,,18084485,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath160|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,163974,food:2716,4.2,rage2,45,11441854,1,experience:0,58068192,
T12C4Wdragon_22,22,food:934789,1,,18536581,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath161|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,168073,food:2737,4.2,rage2,45,14344235,1,experience:0,61007811,
T12C4Wdragon_23,23,food:1152099,1,,18999981,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath162|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,172275,food:2758,4.2,rage2,46,14702840,1,experience:0,64096321,
T12C4Wdragon_24,24,food:1160872,1,,19474973,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath163|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,176582,food:2779,4.2,rage2,46,15070409,1,experience:0,67341184,
T12C4Wdragon_25,25,food:1169644,1,,19961833,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath164|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,180996,food:2800,4.2,rage2,46,15447166,1,experience:0,70750207,
T12C4Wdragon_26,26,food:1178416,1,,20460860,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath165|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,185521,food:2821,4.2,rage2,47,18510137,1,experience:0,74331972,
T12C4Wdragon_27,27,food:1387895,1,,20972366,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath166|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,190159,food:2842,4.2,rage2,47,18972887,1,experience:0,78094999,
T12C4Wdragon_28,28,food:1398151,1,,21496655,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath167|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,194913,food:2863,4.2,rage2,47,19447206,1,experience:0,82048386,
T12C4Wdragon_29,29,food:1408406,1,,22034049,18000,flamethrower:T11C4WWdragon_flamethrower,maleficBreath:maleficBreath168|isolation:isolation1|starburn:starburn1|darkFlakResist01:darkFlakResist01,199786,food:2884,4.2,rage2,48,19933380,1,experience:0,86202043,
