identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T14C3HWdragon_1,1,food:0,1,,33955965,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1,1881525,food:3048,4.2,rage1,73,12529881,1,experience:0,212992000,
T14C3HWdragon_2,2,food:809424,1,,34804854,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1,1928563,food:3066,4.2,rage1,73,12843128,1,experience:0,217305703,
T14C3HWdragon_3,3,food:814176,1,,35674964,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1,1976777,food:3084,4.2,rage1,74,14956209,1,experience:0,221651732,
T14C3HWdragon_4,4,food:818928,1,,36566830,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1,2026196,food:3102,4.2,rage1,74,17641547,1,experience:0,226030086,
T14C3HWdragon_5,5,food:823680,1,,37480992,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1,2076851,food:3120,4.2,rage1,75,20325273,1,experience:0,230440766,
T14C3HWdragon_6,6,food:828432,1,,38418008,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1,2128772,food:3138,4.2,rage1,76,23029640,1,experience:0,234883773,
T14C3HWdragon_7,7,food:833184,1,,39378445,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1,2181991,food:3156,4.2,rage1,77,23605378,1,experience:0,239359104,
T14C3HWdragon_8,8,food:837936,1,,40362886,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1,2236541,food:3174,4.2,rage1,78,24195510,1,experience:0,243866762,
T14C3HWdragon_9,9,food:842688,1,,41371942,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1|stealEssence:leechEssence1,2292454,food:3192,4.2,rage1,79,24800398,1,experience:0,248406746,
T14C3HWdragon_10,10,food:847440,1,,42406227,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1|stealEssence:leechEssence1,2349766,food:3210,4.2,rage1,80,25420407,1,experience:0,252979055,
T14C3HWdragon_11,11,food:852192,1,,43466370,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1|stealEssence:leechEssence1,2408509,food:3228,4.2,rage1,80,26055914,1,experience:0,257583690,
T14C3HWdragon_12,12,food:856944,1,,44553014,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1|stealEssence:leechEssence1,2468722,food:3246,4.2,rage1,81,26707311,1,experience:0,262220651,
T14C3HWdragon_13,13,food:861696,1,,45666821,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1|stealEssence:leechEssence1,2530440,food:3264,4.2,rage1,81,27374992,1,experience:0,266889938,
T14C3HWdragon_14,14,food:866448,1,,46808477,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1|stealEssence:leechEssence1|adaptiveResist:adaptiveFlakResist1,2593701,food:3282,4.2,rage1,82,28059365,1,experience:0,271591550,
T14C3HWdragon_15,15,food:871200,1,,47978680,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1|stealEssence:leechEssence1|adaptiveResist:adaptiveFlakResist1,2658543,food:3300,4.2,rage1,82,28760847,1,experience:0,276325488,
T14C3HWdragon_16,16,food:875952,1,,49178137,17280,fireball:T14C3HWdragon_fireball,dissipate:shadowStrike1|frenzySpell:chaos1|stealEssence:leechEssence1|adaptiveResist:adaptiveFlakResist1,2725006,food:3318,4.2,rage1,83,29479868,1,experience:0,281091753,
