identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T14C4HDdragon_1,1,food:0,1,,35314204,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,1956786,food:3556,4.2,rage1,73,14238502,1,experience:0,221511680,
T14C4HDdragon_2,2,food:919800,1,,36197048,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2005706,food:3577,4.2,rage1,73,14594464,1,experience:0,225997931,
T14C4HDdragon_3,3,food:925200,1,,37101963,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2055848,food:3598,4.2,rage1,74,16995692,1,experience:0,230517801,
T14C4HDdragon_4,4,food:930600,1,,38029503,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2107244,food:3619,4.2,rage1,74,20047213,1,experience:0,235071290,
T14C4HDdragon_5,5,food:936000,1,,38980231,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2159925,food:3640,4.2,rage1,75,23096901,1,experience:0,239658397,
T14C4HDdragon_6,6,food:941400,1,,39954728,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2213923,food:3661,4.2,rage1,76,26170046,1,experience:0,244279123,
T14C4HDdragon_7,7,food:946800,1,,40953582,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2269271,food:3682,4.2,rage1,77,26824293,1,experience:0,248933469,
T14C4HDdragon_8,8,food:952200,1,,41977402,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2326003,food:3703,4.2,rage1,78,27494898,1,experience:0,253621433,
T14C4HDdragon_9,9,food:957600,1,,43026819,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2384153,food:3724,4.2,rage1,79,28182271,1,experience:0,258343015,
T14C4HDdragon_10,10,food:963000,1,,44102476,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2443756,food:3745,4.2,rage1,80,28886826,1,experience:0,263098217,
T14C4HDdragon_11,11,food:968400,1,,45205024,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2504850,food:3766,4.2,rage1,80,29608993,1,experience:0,267887038,
T14C4HDdragon_12,12,food:973800,1,,46335134,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2567471,food:3787,4.2,rage1,81,30349217,1,experience:0,272709477,
T14C4HDdragon_13,13,food:979200,1,,47493494,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2631657,food:3808,4.2,rage1,81,31107946,1,experience:0,277565535,
T14C4HDdragon_14,14,food:984600,1,,48680817,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2697449,food:3829,4.2,rage1,82,31885642,1,experience:0,282455212,
T14C4HDdragon_15,15,food:990000,1,,49897827,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2764885,food:3850,4.2,rage1,82,32682781,1,experience:0,287378508,
T14C4HDdragon_16,16,food:995400,1,,51145262,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2834007,food:3871,4.2,rage1,83,33499850,1,experience:0,292335423,
T14C4HDdragon_17,17,food:1000800,1,,52423886,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2904857,food:3892,4.2,rage1,83,34337345,1,experience:0,297325956,
T14C4HDdragon_18,18,food:1006200,1,,53734475,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,2977478,food:3913,4.2,rage1,84,46747073,1,experience:0,302350108,
T14C4HDdragon_19,19,food:1343609,1,,55077832,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3051915,food:3934,4.2,rage1,84,47915746,1,experience:0,307407880,
T14C4HDdragon_20,20,food:1350781,1,,56454774,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3128212,food:3955,4.2,rage1,85,49113636,1,experience:0,312499270,
T14C4HDdragon_21,21,food:1357953,1,,57866133,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3206417,food:3976,4.2,rage1,85,50341473,1,experience:0,317624278,
T14C4HDdragon_22,22,food:1365126,1,,59312773,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3286578,food:3997,4.2,rage1,86,63111265,1,experience:0,322782906,
T14C4HDdragon_23,23,food:1678439,1,,60795579,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3368742,food:4018,4.2,rage1,86,64689045,1,experience:0,327975153,
T14C4HDdragon_24,24,food:1687211,1,,62315460,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3452960,food:4039,4.2,rage1,87,66306268,1,experience:0,333201018,
T14C4HDdragon_25,25,food:1695984,1,,63873340,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3539284,food:4060,4.2,rage1,87,67963921,1,experience:0,338460502,
T14C4HDdragon_26,26,food:1704756,1,,65470164,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3627766,food:4081,4.2,rage1,88,81440284,1,experience:0,343753605,
T14C4HDdragon_27,27,food:2003218,1,,67106904,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3718460,food:4102,4.2,rage1,88,83476287,1,experience:0,349080327,
T14C4HDdragon_28,28,food:2013473,1,,68784563,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3811421,food:4123,4.2,rage1,89,85563191,1,experience:0,354440667,
T14C4HDdragon_29,29,food:2023729,1,,70504167,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,3906706,food:4144,4.2,rage1,89,87702269,1,experience:0,359834627,
T14C4HDdragon_30,30,food:2033984,1,,72266762,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4004374,food:4165,4.2,rage1,90,89894824,1,experience:0,365262205,
T14C4HDdragon_31,31,food:2044240,1,,74073423,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4104483,food:4186,4.2,rage1,90,92142188,1,experience:0,370723402,
T14C4HDdragon_32,32,food:2054495,1,,75925244,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4207095,food:4207,4.2,rage1,91,94445741,1,experience:0,376218218,
T14C4HDdragon_33,33,food:2064750,1,,77823357,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4312272,food:4228,4.2,rage1,91,96806881,1,experience:0,381746653,
T14C4HDdragon_34,34,food:2075006,1,,79768921,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4420079,food:4249,4.2,rage1,92,99227051,1,experience:0,387308707,
T14C4HDdragon_35,35,food:2085261,1,,81763125,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4530581,food:4270,4.2,rage1,92,101707723,1,experience:0,392904379,
T14C4HDdragon_36,36,food:2095517,1,,83807186,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4643845,food:4291,4.2,rage1,93,104250412,1,experience:0,398533671,
T14C4HDdragon_37,37,food:2105772,1,,85902350,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4759941,food:4312,4.2,rage1,93,106856667,1,experience:0,404196581,
T14C4HDdragon_38,38,food:2116027,1,,88049889,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,4878939,food:4333,4.2,rage1,94,109528080,1,experience:0,409893110,
T14C4HDdragon_39,39,food:2126283,1,,90251122,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,5000913,food:4354,4.2,rage1,94,113669606,1,experience:0,415623258,
T14C4HDdragon_40,40,food:2136538,1,,94820066,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,5254083,food:4396,4.2,rage1,95,117949750,1,experience:0,427184410,
T14C4HDdragon_41,41,food:2157049,1,,97190554,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,5385435,food:4417,4.2,rage1,96,120898490,1,experience:0,433015414,
T14C4HDdragon_42,42,food:2167304,1,,99620305,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,5520071,food:4438,4.2,rage1,96,123920950,1,experience:0,438880037,
T14C4HDdragon_43,43,food:2177560,1,,102110797,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,5658072,food:4459,4.2,rage1,97,127018968,1,experience:0,444778279,
T14C4HDdragon_44,44,food:2187815,1,,104663545,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,5799524,food:4480,4.2,rage1,97,130194437,1,experience:0,450710140,
T14C4HDdragon_45,45,food:2198070,1,,107280114,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,5944512,food:4501,4.2,rage1,98,133449295,1,experience:0,456675619,
T14C4HDdragon_46,46,food:2208326,1,,109962098,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,6093124,food:4522,4.2,rage1,98,136785522,1,experience:0,462674718,
T14C4HDdragon_47,47,food:2218581,1,,112711134,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,6245452,food:4543,4.2,rage1,99,140205155,1,experience:0,468707435,
T14C4HDdragon_48,48,food:2228836,1,,115528897,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,6401588,food:4564,4.2,rage1,99,143710283,1,experience:0,474773771,
T14C4HDdragon_49,49,food:2239092,1,,118417104,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,6561628,food:4585,4.2,rage1,100,147303037,1,experience:0,480873726,
T14C4HDdragon_50,50,food:2249347,1,,121377513,18000,fireball:T14C4HDdragon_fireball,adaptiveBreath:corruptionOfTheVoid1|consume:nourishingShadows1|lockdown:entrap1|adaptiveResist:adaptiveFlakResist1,6725668,food:4606,4.2,rage1,100,0,1.2,experience:0,487007300,!@#dlicfhgjjlgmpajg
