identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T14C4WEdragon_1,1,food:0,1,,48557030,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,440277,food:3556,4.2,rage2,73,14238502,1,experience:0,221511680,
T14C4WEdragon_2,2,food:919800,1,,49770941,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,451284,food:3577,4.2,rage2,73,14594464,1,experience:0,225997931,
T14C4WEdragon_3,3,food:925200,1,,51015198,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,462566,food:3598,4.2,rage2,74,16995692,1,experience:0,230517801,
T14C4WEdragon_4,4,food:930600,1,,52290566,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,474130,food:3619,4.2,rage2,74,20047213,1,experience:0,235071290,
T14C4WEdragon_5,5,food:936000,1,,53597818,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,485984,food:3640,4.2,rage2,75,23096901,1,experience:0,239658397,
T14C4WEdragon_6,6,food:941400,1,,54937751,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,498133,food:3661,4.2,rage2,76,26170046,1,experience:0,244279123,
T14C4WEdragon_7,7,food:946800,1,,56311176,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,510586,food:3682,4.2,rage2,77,26824293,1,experience:0,248933469,
T14C4WEdragon_8,8,food:952200,1,,57718927,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,523351,food:3703,4.2,rage2,78,27494898,1,experience:0,253621433,
T14C4WEdragon_9,9,food:957600,1,,59161876,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,536435,food:3724,4.2,rage2,79,28182271,1,experience:0,258343015,
T14C4WEdragon_10,10,food:963000,1,,60640905,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,549846,food:3745,4.2,rage2,80,28886826,1,experience:0,263098217,
T14C4WEdragon_11,11,food:968400,1,,62156908,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,563592,food:3766,4.2,rage2,80,29608993,1,experience:0,267887038,
T14C4WEdragon_12,12,food:973800,1,,63710809,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,577681,food:3787,4.2,rage2,81,30349217,1,experience:0,272709477,
T14C4WEdragon_13,13,food:979200,1,,65303553,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,592123,food:3808,4.2,rage2,81,31107946,1,experience:0,277565535,
T14C4WEdragon_14,14,food:984600,1,,66936123,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,606926,food:3829,4.2,rage2,82,31885642,1,experience:0,282455212,
T14C4WEdragon_15,15,food:990000,1,,68609512,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,622099,food:3850,4.2,rage2,82,32682781,1,experience:0,287378508,
T14C4WEdragon_16,16,food:995400,1,,70324736,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,637652,food:3871,4.2,rage2,83,33499850,1,experience:0,292335423,
T14C4WEdragon_17,17,food:1000800,1,,72082842,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,653593,food:3892,4.2,rage2,83,34337345,1,experience:0,297325956,
T14C4WEdragon_18,18,food:1006200,1,,73884903,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,669933,food:3913,4.2,rage2,84,46747073,1,experience:0,302350108,
T14C4WEdragon_19,19,food:1343609,1,,75732019,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,686681,food:3934,4.2,rage2,84,47915746,1,experience:0,307407880,
T14C4WEdragon_20,20,food:1350781,1,,77625313,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,703848,food:3955,4.2,rage2,85,49113636,1,experience:0,312499270,
T14C4WEdragon_21,21,food:1357953,1,,79565933,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,721444,food:3976,4.2,rage2,85,50341473,1,experience:0,317624278,
T14C4WEdragon_22,22,food:1365126,1,,81555062,18000,flamethrower:T14C4WEdragon_flamethrower,adaptiveBreath:adaptiveBreath1|invincibleSpell:magicBarrier1|healDragon:revitalize1|elementalResist01:elementalResist01,739480,food:3997,4.2,rage2,86,63111265,1,experience:0,322782906,
