identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T15C3SWdragon_1,1,food:0,1,,59118045,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1,2911811,food:3408,4.2,rage3,85,20531643,1,experience:0,176196900,
T15C3SWdragon_2,2,food:904464,1,,60595982,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1,2984606,food:3426,4.2,rage3,86,21044934,1,experience:0,179058565,
T15C3SWdragon_3,3,food:909216,1,,62110867,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1,3059221,food:3444,4.2,rage3,86,24507459,1,experience:0,181938879,
T15C3SWdragon_4,4,food:913968,1,,63663631,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1,3135701,food:3462,4.2,rage3,87,28907693,1,experience:0,184837843,
T15C3SWdragon_5,5,food:918720,1,,65255215,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1|summonAIDragon:summonSwarm1,3214093,food:3480,4.2,rage3,87,33305287,1,experience:0,250340608,
T15C3SWdragon_6,6,food:923472,1,,66886586,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1|summonAIDragon:summonSwarm1,3294445,food:3498,4.2,rage3,88,37736702,1,experience:0,254255625,
T15C3SWdragon_7,7,food:928224,1,,68558736,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1|summonAIDragon:summonSwarm1,3376806,food:3516,4.2,rage3,88,38680118,1,experience:0,258195508,
T15C3SWdragon_8,8,food:932976,1,,70272691,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1|summonAIDragon:summonSwarm1,3461226,food:3534,4.2,rage3,89,39647119,1,experience:0,262160257,
T15C3SWdragon_9,9,food:937728,1,,72029498,17280,lockon:T15C3SWdragon_lockon,seekerShots:swarmStrike1|summonAIDragon:summonSwarm1|deflectingGale:locustCloud1,3547757,food:3552,4.2,rage3,89,40638296,1,experience:0,345994834,
