identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T15C4HEdragon_1,1,food:0,1,,57866133,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3206417,food:3976,4.2,rage1,85,13644717,1,experience:0,317624278,
T15C4HEdragon_2,2,food:1027800,1,,59312773,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3286578,food:3997,4.2,rage1,86,13985834,1,experience:0,322782906,
T15C4HEdragon_3,3,food:1033200,1,,60795579,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3368742,food:4018,4.2,rage1,86,14335480,1,experience:0,327975153,
T15C4HEdragon_4,4,food:1038600,1,,62315460,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3452960,food:4039,4.2,rage1,87,17142844,1,experience:0,333201018,
T15C4HEdragon_5,5,food:1044000,1,,63873340,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3539284,food:4060,4.2,rage1,87,17571414,1,experience:0,338460502,
T15C4HEdragon_6,6,food:1049400,1,,65470164,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3627766,food:4081,4.2,rage1,88,20583655,1,experience:0,343753605,
T15C4HEdragon_7,7,food:1054800,1,,67106904,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3718460,food:4102,4.2,rage1,88,21098246,1,experience:0,349080327,
T15C4HEdragon_8,8,food:1060200,1,,68784563,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3811421,food:4123,4.2,rage1,89,24328914,1,experience:0,354440667,
T15C4HEdragon_9,9,food:1065600,1,,70504167,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,3906706,food:4144,4.2,rage1,89,24937136,1,experience:0,359834627,
T15C4HEdragon_10,10,food:1071000,1,,72266762,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,4004374,food:4165,4.2,rage1,90,28400627,1,experience:0,365262205,
T15C4HEdragon_11,11,food:1076400,1,,74073423,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,4104483,food:4186,4.2,rage1,90,29110641,1,experience:0,370723402,
T15C4HEdragon_12,12,food:1081800,1,,75925244,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,4207095,food:4207,4.2,rage1,91,29838406,1,experience:0,376218218,
T15C4HEdragon_13,13,food:1087200,1,,77823357,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,4312272,food:4228,4.2,rage1,91,30584365,1,experience:0,381746653,
T15C4HEdragon_14,14,food:1092600,1,,79768921,18000,fireball:T15C4HEdragon_fireball,dissipate:gorgonsGuise1|dreadfulRoar:petrifyingGaze1|instantKill:whiteInstantKill1|adaptiveResist:adaptiveFlakResist1,4420079,food:4249,4.2,rage1,92,31348974,1,experience:0,387308707,
