identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T15C4SDdragon_1,1,food:0,1,,61482767,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3028283,food:3976,4.2,rage3,85,13644717,1,experience:0,317624278,
T15C4SDdragon_2,2,food:1027800,1,,63019821,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3103990,food:3997,4.2,rage3,86,13985834,1,experience:0,322782906,
T15C4SDdragon_3,3,food:1033200,1,,64595302,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3181590,food:4018,4.2,rage3,86,14335480,1,experience:0,327975153,
T15C4SDdragon_4,4,food:1038600,1,,66210176,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3261129,food:4039,4.2,rage3,87,17142844,1,experience:0,333201018,
T15C4SDdragon_5,5,food:1044000,1,,67865424,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3342657,food:4060,4.2,rage3,87,17571414,1,experience:0,338460502,
T15C4SDdragon_6,6,food:1049400,1,,69562049,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3426223,food:4081,4.2,rage3,88,20583655,1,experience:0,343753605,
T15C4SDdragon_7,7,food:1054800,1,,71301086,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3511879,food:4102,4.2,rage3,88,21098246,1,experience:0,349080327,
T15C4SDdragon_8,8,food:1060200,1,,73083598,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3599676,food:4123,4.2,rage3,89,24328914,1,experience:0,354440667,
T15C4SDdragon_9,9,food:1065600,1,,74910678,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3689667,food:4144,4.2,rage3,89,24937136,1,experience:0,359834627,
T15C4SDdragon_10,10,food:1071000,1,,76783434,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3781909,food:4165,4.2,rage3,90,28400627,1,experience:0,365262205,
T15C4SDdragon_11,11,food:1076400,1,,78703012,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3876456,food:4186,4.2,rage3,90,29110641,1,experience:0,370723402,
T15C4SDdragon_12,12,food:1081800,1,,80670572,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,3973367,food:4207,4.2,rage3,91,29838406,1,experience:0,376218218,
T15C4SDdragon_13,13,food:1087200,1,,82687317,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4072701,food:4228,4.2,rage3,91,30584365,1,experience:0,381746653,
T15C4SDdragon_14,14,food:1092600,1,,84754479,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4174519,food:4249,4.2,rage3,92,31348974,1,experience:0,387308707,
T15C4SDdragon_15,15,food:1098000,1,,86873320,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4278882,food:4270,4.2,rage3,92,32132697,1,experience:0,392904379,
T15C4SDdragon_16,16,food:1103400,1,,89045135,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4385854,food:4291,4.2,rage3,93,32936013,1,experience:0,398533671,
T15C4SDdragon_17,17,food:1108800,1,,91271246,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4495500,food:4312,4.2,rage3,93,33759411,1,experience:0,404196581,
T15C4SDdragon_18,18,food:1114200,1,,93553007,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4607887,food:4333,4.2,rage3,94,34603395,1,experience:0,409893110,
T15C4SDdragon_19,19,food:1487055,1,,95891817,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4723084,food:4354,4.2,rage3,94,35468480,1,experience:0,415623258,
T15C4SDdragon_20,20,food:1494227,1,,98289103,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4841161,food:4375,4.2,rage3,95,36355190,1,experience:0,421387024,
T15C4SDdragon_21,21,food:1501399,1,,100746320,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,4962190,food:4396,4.2,rage3,95,37264068,1,experience:0,427184410,
T15C4SDdragon_22,22,food:1508571,1,,103264964,18000,lockon:T15C4SDdragon_lockon,desiccatingSand:smother1|northernLights:markOfHunger1|umbralSpike:devour1|sacrifice:whiteSacrifice1,5086244,food:4417,4.2,rage3,96,38195669,1,experience:0,433015414,
