identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T5C2HDdragon_1,1,food:0,1,,174382,16130,fireball:T5C2HDdragon_fireball,,13009,food:180,4.2,rage1,8,48231,1,experience:0,5714,
T5C2HDdragon_2,2,food:50688,1,,210977,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1,13622,food:192,4.2,rage1,8,54257,1,experience:0,10860,
T5C2HDdragon_3,3,food:53856,1,,218962,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1,14184,food:204,4.2,rage1,8,68808,1,experience:0,11747,
T5C2HDdragon_4,4,food:57024,1,,225721,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1,14711,food:216,4.2,rage1,9,89044,1,experience:0,12537,
T5C2HDdragon_5,5,food:60192,1,,234624,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1,15339,food:228,4.2,rage1,9,112526,1,experience:0,18146,
T5C2HDdragon_6,6,food:63360,1,,244037,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1,16100,food:240,4.2,rage1,9,138812,1,experience:0,19800,
T5C2HDdragon_7,7,food:68112,1,,259356,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1,17026,food:258,4.2,rage1,10,156015,1,experience:0,22275,
T5C2HDdragon_8,8,food:72864,1,,277606,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1,18077,food:276,4.2,rage1,10,175313,1,experience:0,25300,
T5C2HDdragon_9,9,food:77616,1,,297085,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1,19292,food:294,4.2,rage1,11,195591,1,experience:0,37577,
T5C2HDdragon_10,10,food:82368,1,,315664,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1,20614,food:312,4.2,rage1,11,209256,1,experience:0,42619,
T5C2HDdragon_11,11,food:87120,1,,337714,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1,21991,food:330,4.2,rage1,12,223834,1,experience:0,48667,
T5C2HDdragon_12,12,food:91872,1,,361231,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1,23460,food:348,4.2,rage1,12,237776,1,experience:0,55510,
T5C2HDdragon_13,13,food:96625,1,,383722,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1,25057,food:366,4.2,rage1,13,254271,1,experience:0,62985,
T5C2HDdragon_14,14,food:101376,1,,410330,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,26720,food:384,4.2,rage1,13,271862,1,experience:0,71859,
T5C2HDdragon_15,15,food:106128,1,,438703,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,28316,food:402,4.2,rage1,14,288732,1,experience:0,81371,
T5C2HDdragon_16,16,food:110880,1,,465916,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,29869,food:420,4.2,rage1,14,308628,1,experience:0,91190,
T5C2HDdragon_17,17,food:115632,1,,553344,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,31299,food:438,4.2,rage1,15,329839,1,experience:0,113471,
T5C2HDdragon_18,18,food:120384,1,,575379,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,32638,food:456,4.2,rage1,15,465181,1,experience:0,123032,
T5C2HDdragon_19,19,food:166206,1,,594867,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,33917,food:474,4.2,rage1,16,497033,1,experience:0,132194,
T5C2HDdragon_20,20,food:172518,1,,619291,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,35409,food:492,4.2,rage1,16,530981,1,experience:0,143712,
T5C2HDdragon_21,21,food:178830,1,,645041,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,37181,food:510,4.2,rage1,17,563705,1,experience:0,157158,
T5C2HDdragon_22,22,food:185141,1,,684781,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,39295,food:528,4.2,rage1,17,736386,1,experience:0,176280,
T5C2HDdragon_23,23,food:234163,1,,731377,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,41676,food:546,4.2,rage1,18,786390,1,experience:0,199757,
T5C2HDdragon_24,24,food:241883,1,,781029,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,44401,food:564,4.2,rage1,18,834699,1,experience:0,227211,
T5C2HDdragon_25,25,food:249602,1,,828995,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,47354,food:582,4.2,rage1,18,891186,1,experience:0,257248,
T5C2HDdragon_26,26,food:257322,1,,885079,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,50435,food:600,4.2,rage1,18,1112202,1,experience:0,292531,
T5C2HDdragon_27,27,food:309850,1,,944827,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,53718,food:618,4.2,rage1,18,1180322,1,experience:0,332592,
T5C2HDdragon_28,28,food:318874,1,,1002676,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,57273,food:636,4.2,rage1,18,1259773,1,experience:0,376319,
T5C2HDdragon_29,29,food:327899,1,,1070151,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,60983,food:654,4.2,rage1,18,1344395,1,experience:0,427661,
T5C2HDdragon_30,30,food:336924,1,,1142023,17280,fireball:T5C2HDdragon_fireball,healingMark:healingMark1|dodge:dodge1|frenzySpell:frenzy1|ballistaResist01:ballistaResist01,64854,food:672,4.2,rage1,18,0,1.2,experience:0,485316,!@#akmcdpoegnacopgl
