identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T5C2SUdragon_1,1,food:0,1,,131111,10086,lockon:T5C2SUdragon_lockon,,8825,food:122,4.2,rage3,6,24785,1,experience:0,3430,
T5C2SUdragon_2,2,food:24970,1,,139462,11120,lockon:T5C2SUdragon_lockon,invertSpell:invert1,9449,food:128,4.2,rage3,7,27905,1,experience:0,5859,
T5C2SUdragon_3,3,food:26194,1,,149533,12315,lockon:T5C2SUdragon_lockon,invertSpell:invert1,10098,food:134,4.2,rage3,7,35685,1,experience:0,6716,
T5C2SUdragon_4,4,food:34272,1,,160294,13562,lockon:T5C2SUdragon_lockon,invertSpell:invert1,10712,food:140,4.2,rage3,7,45854,1,experience:0,7638,
T5C2SUdragon_5,5,food:36720,1,,170458,14786,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1,11304,food:150,4.2,rage3,8,57993,1,experience:0,11427,
T5C2SUdragon_6,6,food:39168,1,,206230,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1,11836,food:160,4.2,rage3,8,72115,1,experience:0,14480,
T5C2SUdragon_7,7,food:41616,1,,214035,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1,12324,food:170,4.2,rage3,8,80498,1,experience:0,15662,
T5C2SUdragon_8,8,food:44064,1,,220642,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1,12782,food:180,4.2,rage3,9,90522,1,experience:0,16716,
T5C2SUdragon_9,9,food:46512,1,,229345,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,13328,food:190,4.2,rage3,9,101772,1,experience:0,23590,
T5C2SUdragon_10,10,food:48960,1,,238546,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,13989,food:200,4.2,rage3,9,113573,1,experience:0,25740,
T5C2SUdragon_11,11,food:52632,1,,253520,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,14793,food:215,4.2,rage3,10,127648,1,experience:0,28958,
T5C2SUdragon_12,12,food:56304,1,,271360,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,15707,food:230,4.2,rage3,10,190515,1,experience:0,32890,
T5C2SUdragon_13,13,food:79661,1,,290401,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,16763,food:245,4.2,rage3,11,212550,1,experience:0,37577,
T5C2SUdragon_14,14,food:84538,1,,308561,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,17911,food:260,4.2,rage3,11,227400,1,experience:0,42619,
T5C2SUdragon_15,15,food:89415,1,,330115,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,19108,food:275,4.2,rage3,12,297507,1,experience:0,48667,
T5C2SUdragon_16,16,food:115327,1,,353104,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,20384,food:290,4.2,rage3,12,316037,1,experience:0,55510,
T5C2SUdragon_17,17,food:121293,1,,375088,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,21771,food:305,4.2,rage3,13,395098,1,experience:0,62985,
T5C2SUdragon_18,18,food:148772,1,,401098,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,23217,food:320,4.2,rage3,13,422432,1,experience:0,71859,
T5C2SUdragon_19,19,food:155746,1,,428832,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,24603,food:335,4.2,rage3,14,448645,1,experience:0,81371,
T5C2SUdragon_20,20,food:162719,1,,455433,15840,lockon:T5C2SUdragon_lockon,invertSpell:invert1|shortCircuit:shortCircuit1|ballistaResist01:ballistaResist01,25953,food:350,4.2,rage3,14,0,1.2,experience:0,91190,!@#lineekakjfodgked
