identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T5C2WIdragon_1,1,food:0,1,,169673,10086,flamethrower:T5C2WIdragon_flamethrower,,2103,food:122,4.2,rage2,6,24785,1,experience:0,3430,
T5C2WIdragon_2,2,food:24970,1,,180480,11120,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1,2251,food:128,4.2,rage2,7,27905,1,experience:0,5859,
T5C2WIdragon_3,3,food:26194,1,,193514,12315,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1,2406,food:134,4.2,rage2,7,35685,1,experience:0,6716,
T5C2WIdragon_4,4,food:34272,1,,207439,13562,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1,2552,food:140,4.2,rage2,7,45854,1,experience:0,7638,
T5C2WIdragon_5,5,food:36720,1,,220593,14786,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1,2693,food:150,4.2,rage2,8,57993,1,experience:0,11427,
T5C2WIdragon_6,6,food:39168,1,,266886,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1,2820,food:160,4.2,rage2,8,72115,1,experience:0,14480,
T5C2WIdragon_7,7,food:41616,1,,276987,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1,2936,food:170,4.2,rage2,8,80498,1,experience:0,15662,
T5C2WIdragon_8,8,food:44064,1,,285536,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1,3046,food:180,4.2,rage2,9,90522,1,experience:0,16716,
T5C2WIdragon_9,9,food:46512,1,,296800,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,3175,food:190,4.2,rage2,9,101772,1,experience:0,23590,
T5C2WIdragon_10,10,food:48960,1,,308706,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,3333,food:200,4.2,rage2,9,113573,1,experience:0,25740,
T5C2WIdragon_11,11,food:52632,1,,328085,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,3525,food:215,4.2,rage2,10,127648,1,experience:0,28958,
T5C2WIdragon_12,12,food:56304,1,,351171,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,3742,food:230,4.2,rage2,10,190515,1,experience:0,32890,
T5C2WIdragon_13,13,food:79661,1,,375813,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,3994,food:245,4.2,rage2,11,212550,1,experience:0,37577,
T5C2WIdragon_14,14,food:84538,1,,399314,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,4268,food:260,4.2,rage2,11,227400,1,experience:0,42619,
T5C2WIdragon_15,15,food:89415,1,,427208,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,4552,food:275,4.2,rage2,12,297507,1,experience:0,48667,
T5C2WIdragon_16,16,food:115327,1,,456958,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,4857,food:290,4.2,rage2,12,316037,1,experience:0,55510,
T5C2WIdragon_17,17,food:121293,1,,485408,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,5187,food:305,4.2,rage2,13,395098,1,experience:0,62985,
T5C2WIdragon_18,18,food:148772,1,,519068,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,5531,food:320,4.2,rage2,13,422432,1,experience:0,71859,
T5C2WIdragon_19,19,food:155746,1,,554959,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,5862,food:335,4.2,rage2,14,448645,1,experience:0,81371,
T5C2WIdragon_20,20,food:162719,1,,589383,15840,flamethrower:T5C2WIdragon_flamethrower,battlecry:battlecry1|chargedShield:chargedShield1|lightningResist01:lightningResist01,6183,food:350,4.2,rage2,14,0,1.2,experience:0,91190,!@#pijfmmjnodnckgfk
