identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T5GGWUdragon_1,1,food:0,1,,496693,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,5279,food:348,4.2,rage2,12,146368,1,experience:0,55510,
T5GGWUdragon_2,2,food:96625,1,,527618,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,5638,food:366,4.2,rage2,13,156522,1,experience:0,62985,
T5GGWUdragon_3,3,food:101376,1,,564204,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,6012,food:384,4.2,rage2,13,190132,1,experience:0,71859,
T5GGWUdragon_4,4,food:106128,1,,603216,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,6371,food:402,4.2,rage2,14,232376,1,experience:0,81371,
T5GGWUdragon_5,5,food:110880,1,,640634,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,6721,food:420,4.2,rage2,14,279195,1,experience:0,91190,
T5GGWUdragon_6,6,food:115632,1,,760848,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,7043,food:438,4.2,rage2,15,329839,1,experience:0,113471,
T5GGWUdragon_7,7,food:120384,1,,791146,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,7344,food:456,4.2,rage2,15,350234,1,experience:0,123032,
T5GGWUdragon_8,8,food:125136,1,,817942,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,7632,food:474,4.2,rage2,16,374215,1,experience:0,132194,
T5GGWUdragon_9,9,food:129888,1,,851525,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,7967,food:492,4.2,rage2,16,399775,1,experience:0,143712,
T5GGWUdragon_10,10,food:134640,1,,886931,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,8366,food:510,4.2,rage2,17,424413,1,experience:0,157158,
T5GGWUdragon_11,11,food:139392,1,,941573,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,8842,food:528,4.2,rage2,17,453299,1,experience:0,176280,
T5GGWUdragon_12,12,food:144144,1,,1005644,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,9377,food:546,4.2,rage2,18,484080,1,experience:0,199757,
T5GGWUdragon_13,13,food:148896,1,,1073915,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,9991,food:564,4.2,rage2,18,513817,1,experience:0,227211,
T5GGWUdragon_14,14,food:153648,1,,1139868,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,10655,food:582,4.2,rage2,18,548589,1,experience:0,257248,
T5GGWUdragon_15,15,food:158400,1,,1216983,17280,flamethrower:T5GGWUdragon_flamethrower,energySyphon:syphon1|stoneskin:stoneskin1|curePoison:curePoison1|archerResist01:archerResist01,11348,food:600,4.2,rage2,18,0,1.2,experience:0,292531,!@#chdejnbdmpmaoncf
