identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T8C3HFdragon_1,1,food:0,1,,2137699,17280,fireball:T8C3HFdragon_fireball,,121438,food:1032,4.2,rage1,21,788661,1,experience:0,654236,
T8C3HFdragon_2,2,food:277200,1,,2191124,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1,124474,food:1050,4.2,rage1,21,808376,1,experience:0,1031021,
T8C3HFdragon_3,3,food:281952,1,,2245887,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1,127586,food:1068,4.2,rage1,22,941377,1,experience:0,1083240,
T8C3HFdragon_4,4,food:286704,1,,2302023,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1,130776,food:1086,4.2,rage1,22,1110397,1,experience:0,1138069,
T8C3HFdragon_5,5,food:291456,1,,2359564,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1,134045,food:1104,4.2,rage1,22,1279315,1,experience:0,1594176,
T8C3HFdragon_6,6,food:296208,1,,2418546,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1,137396,food:1122,4.2,rage1,23,1449532,1,experience:0,1674930,
T8C3HFdragon_7,7,food:300960,1,,2479006,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1,140831,food:1140,4.2,rage1,23,1485771,1,experience:0,1759680,
T8C3HFdragon_8,8,food:305712,1,,2540974,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1,144351,food:1158,4.2,rage1,23,1522914,1,experience:0,1848795,
T8C3HFdragon_9,9,food:310464,1,,2604489,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1,147960,food:1176,4.2,rage1,24,1560985,1,experience:0,2525078,
T8C3HFdragon_10,10,food:315216,1,,2669589,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1,151659,food:1194,4.2,rage1,24,1600008,1,experience:0,2652892,
T8C3HFdragon_11,11,food:319968,1,,2736314,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1,155450,food:1212,4.2,rage1,24,1640007,1,experience:0,2787130,
T8C3HFdragon_12,12,food:324720,1,,2804704,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1,157345,food:1230,4.2,rage1,25,1681005,1,experience:0,2891632,
T8C3HFdragon_13,13,food:329472,1,,2874801,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1,159271,food:1248,4.2,rage1,25,1723030,1,experience:0,3000270,
T8C3HFdragon_14,14,food:334224,1,,2946652,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,163253,food:1266,4.2,rage1,25,1766105,1,experience:0,3152119,
T8C3HFdragon_15,15,food:338976,1,,3020303,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,167334,food:1284,4.2,rage1,26,1810257,1,experience:0,3311685,
T8C3HFdragon_16,16,food:343728,1,,3095796,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,171517,food:1302,4.2,rage1,26,1855513,1,experience:0,3479258,
T8C3HFdragon_17,17,food:348480,1,,3173177,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,175805,food:1320,4.2,rage1,26,1901900,1,experience:0,3655402,
T8C3HFdragon_18,18,food:353232,1,,3252490,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,180200,food:1338,4.2,rage1,27,2589258,1,experience:0,3840428,
T8C3HFdragon_19,19,food:475475,1,,3333791,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,184705,food:1356,4.2,rage1,27,2653989,1,experience:0,4034784,
T8C3HFdragon_20,20,food:481787,1,,3417125,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,189323,food:1374,4.2,rage1,27,2720335,1,experience:0,4239073,
T8C3HFdragon_21,21,food:488099,1,,3502542,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,194056,food:1392,4.2,rage1,28,2788343,1,experience:0,4453628,
T8C3HFdragon_22,22,food:494410,1,,3590095,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,198907,food:1410,4.2,rage1,28,3495641,1,experience:0,4679076,
T8C3HFdragon_23,23,food:612426,1,,3679836,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,203879,food:1428,4.2,rage1,28,3583031,1,experience:0,4916054,
T8C3HFdragon_24,24,food:620145,1,,3771818,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,208976,food:1446,4.2,rage1,29,3672602,1,experience:0,5164786,
T8C3HFdragon_25,25,food:627865,1,,3866096,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,214201,food:1464,4.2,rage1,29,3764416,1,experience:0,5426221,
T8C3HFdragon_26,26,food:635585,1,,3962730,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,219555,food:1482,4.2,rage1,29,4510848,1,experience:0,5701042,
T8C3HFdragon_27,27,food:752062,1,,4061780,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,225044,food:1500,4.2,rage1,30,4623620,1,experience:0,5989503,
T8C3HFdragon_28,28,food:761086,1,,4163307,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,230670,food:1518,4.2,rage1,30,4739207,1,experience:0,6292754,
T8C3HFdragon_29,29,food:770111,1,,4267379,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,236437,food:1536,4.2,rage1,30,4857686,1,experience:0,6611223,
T8C3HFdragon_30,30,food:779136,1,,4374056,17280,fireball:T8C3HFdragon_fireball,stealEssence:stealEssence1|cloak:cloak1|crumbleToDust:crumbleToDust1|ballistaResist01:ballistaResist01,242348,food:1554,4.2,rage1,31,0,1.2,experience:0,6945951,!@#ecmfppdpfgheadmg
