identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T8C3SIdragon_1,1,food:0,1,,2271306,17280,lockon:T8C3SIdragon_lockon,,114692,food:1032,4.2,rage3,21,788661,1,experience:0,654236,
T8C3SIdragon_2,2,food:277200,1,,2328070,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1,117559,food:1050,4.2,rage3,21,808376,1,experience:0,1031021,
T8C3SIdragon_3,3,food:281952,1,,2386255,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1,120498,food:1068,4.2,rage3,22,941377,1,experience:0,1083240,
T8C3SIdragon_4,4,food:286704,1,,2445900,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1,123510,food:1086,4.2,rage3,22,1110397,1,experience:0,1138069,
T8C3SIdragon_5,5,food:291456,1,,2507037,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1,126598,food:1104,4.2,rage3,22,1279315,1,experience:0,1594176,
T8C3SIdragon_6,6,food:296208,1,,2569706,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1,129763,food:1122,4.2,rage3,23,1449532,1,experience:0,1674930,
T8C3SIdragon_7,7,food:300960,1,,2633944,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1,133007,food:1140,4.2,rage3,23,1485771,1,experience:0,1759680,
T8C3SIdragon_8,8,food:305712,1,,2699785,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1,136332,food:1158,4.2,rage3,23,1522914,1,experience:0,1848795,
T8C3SIdragon_9,9,food:310464,1,,2767269,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1,139740,food:1176,4.2,rage3,24,1560985,1,experience:0,2525078,
T8C3SIdragon_10,10,food:315216,1,,2836439,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1,143233,food:1194,4.2,rage3,24,1600008,1,experience:0,2652892,
T8C3SIdragon_11,11,food:319968,1,,2907334,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1,146814,food:1212,4.2,rage3,24,1640007,1,experience:0,2787130,
T8C3SIdragon_12,12,food:324720,1,,2979998,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1,148604,food:1230,4.2,rage3,25,1681005,1,experience:0,2891632,
T8C3SIdragon_13,13,food:329472,1,,3054476,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1,150423,food:1248,4.2,rage3,25,1723030,1,experience:0,3000270,
T8C3SIdragon_14,14,food:334224,1,,3130818,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,154183,food:1266,4.2,rage3,25,1766105,1,experience:0,3152119,
T8C3SIdragon_15,15,food:338976,1,,3209071,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,158038,food:1284,4.2,rage3,26,1810257,1,experience:0,3311685,
T8C3SIdragon_16,16,food:343728,1,,3289283,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,161989,food:1302,4.2,rage3,26,1855513,1,experience:0,3479258,
T8C3SIdragon_17,17,food:348480,1,,3371501,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,166038,food:1320,4.2,rage3,26,1901900,1,experience:0,3655402,
T8C3SIdragon_18,18,food:353232,1,,3455771,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,170189,food:1338,4.2,rage3,27,2589258,1,experience:0,3840428,
T8C3SIdragon_19,19,food:475475,1,,3542153,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,174444,food:1356,4.2,rage3,27,2653989,1,experience:0,4034784,
T8C3SIdragon_20,20,food:481787,1,,3630695,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,178805,food:1374,4.2,rage3,27,2720335,1,experience:0,4239073,
T8C3SIdragon_21,21,food:488099,1,,3721450,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,183275,food:1392,4.2,rage3,28,2788343,1,experience:0,4453628,
T8C3SIdragon_22,22,food:494410,1,,3814476,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,187857,food:1410,4.2,rage3,28,3495641,1,experience:0,4679076,
T8C3SIdragon_23,23,food:612426,1,,3909825,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,192553,food:1428,4.2,rage3,28,3583031,1,experience:0,4916054,
T8C3SIdragon_24,24,food:620145,1,,4007557,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,197367,food:1446,4.2,rage3,29,3672602,1,experience:0,5164786,
T8C3SIdragon_25,25,food:627865,1,,4107726,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,202301,food:1464,4.2,rage3,29,3764416,1,experience:0,5426221,
T8C3SIdragon_26,26,food:635585,1,,4210401,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,207358,food:1482,4.2,rage3,29,4510848,1,experience:0,5701042,
T8C3SIdragon_27,27,food:752062,1,,4315641,17280,lockon:T8C3SIdragon_lockon,thunderstorm:thunderstorm1|frozenTomb:frozenTomb1|nocturnalFissure:nocturnalFissure1|trebuchetResist01:trebuchetResist01,212542,food:1500,4.2,rage3,30,4623620,1,experience:0,5989503,
