identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T8C4HEdragon_1,1,food:0,1,,2223207,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,126296,food:1204,4.2,rage1,21,896206,1,experience:0,1769054,
T8C4HEdragon_2,2,food:315000,1,,2278769,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,129453,food:1225,4.2,rage1,21,918609,1,experience:0,1858586,
T8C4HEdragon_3,3,food:320400,1,,2335722,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,132690,food:1246,4.2,rage1,22,1069747,1,experience:0,1952721,
T8C4HEdragon_4,4,food:325800,1,,2394104,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,136007,food:1267,4.2,rage1,22,1261815,1,experience:0,2051559,
T8C4HEdragon_5,5,food:331200,1,,2453947,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,139407,food:1288,4.2,rage1,22,1453767,1,experience:0,2155326,
T8C4HEdragon_6,6,food:336600,1,,2515288,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,142892,food:1309,4.2,rage1,23,1647196,1,experience:0,2264505,
T8C4HEdragon_7,7,food:342000,1,,2578166,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,146464,food:1330,4.2,rage1,23,1688376,1,experience:0,2379087,
T8C4HEdragon_8,8,food:347400,1,,2642613,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,150125,food:1351,4.2,rage1,23,1730585,1,experience:0,2499571,
T8C4HEdragon_9,9,food:352800,1,,2708668,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,153878,food:1372,4.2,rage1,24,1773847,1,experience:0,2626082,
T8C4HEdragon_10,10,food:358200,1,,2776373,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,157725,food:1393,4.2,rage1,24,1818191,1,experience:0,2759007,
T8C4HEdragon_11,11,food:363600,1,,2845767,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,161668,food:1414,4.2,rage1,24,1863645,1,experience:0,2898615,
T8C4HEdragon_12,12,food:369000,1,,2916892,18000,fireball:T6C1HEdragon_fireball,borrowTime:borrowTime1|desiccatingSand:desiccatingSand1|crumbleToDust:crumbleToDust1|timeShift:timeShift1,163639,food:1435,4.2,rage1,25,1910233,1,experience:0,3007297,
