identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T8C4SDdragon_1,1,food:0,1,,2362158,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,119280,food:1204,4.2,rage3,21,896206,1,experience:0,1769054,
T8C4SDdragon_2,2,food:315000,1,,2421192,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,122261,food:1225,4.2,rage3,21,918609,1,experience:0,1858586,
T8C4SDdragon_3,3,food:320400,1,,2481705,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,125318,food:1246,4.2,rage3,22,1069747,1,experience:0,1952721,
T8C4SDdragon_4,4,food:325800,1,,2543735,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,128451,food:1267,4.2,rage3,22,1261815,1,experience:0,2051559,
T8C4SDdragon_5,5,food:331200,1,,2607318,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,131662,food:1288,4.2,rage3,22,1453767,1,experience:0,2155326,
T8C4SDdragon_6,6,food:336600,1,,2672494,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,134953,food:1309,4.2,rage3,23,1647196,1,experience:0,2264505,
T8C4SDdragon_7,7,food:342000,1,,2739302,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,138327,food:1330,4.2,rage3,23,1688376,1,experience:0,2379087,
T8C4SDdragon_8,8,food:347400,1,,2807777,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,141785,food:1351,4.2,rage3,23,1730585,1,experience:0,2499571,
T8C4SDdragon_9,9,food:352800,1,,2877960,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,145329,food:1372,4.2,rage3,24,1773847,1,experience:0,2626082,
T8C4SDdragon_10,10,food:358200,1,,2949896,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,148963,food:1393,4.2,rage3,24,1818191,1,experience:0,2759007,
T8C4SDdragon_11,11,food:363600,1,,3023627,18000,lockon:T6C3SDdragon_lockon,shadowApophet:shadowApophet1|nightfall:nightfall1|umbralSpike:umbralSpike1|nocturnalFissure:nocturnalFissure1,152686,food:1414,4.2,rage3,24,1863645,1,experience:0,2898615,
