identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T8C4WFdragon_1,1,food:0,1,,3056910,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,28417,food:1204,4.2,rage2,21,896206,1,experience:0,1769054,
T8C4WFdragon_2,2,food:315000,1,,3133308,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,29127,food:1225,4.2,rage2,21,918609,1,experience:0,1858586,
T8C4WFdragon_3,3,food:320400,1,,3211618,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,29856,food:1246,4.2,rage2,22,1069747,1,experience:0,1952721,
T8C4WFdragon_4,4,food:325800,1,,3291893,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,30602,food:1267,4.2,rage2,22,1261815,1,experience:0,2051559,
T8C4WFdragon_5,5,food:331200,1,,3374177,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,31367,food:1288,4.2,rage2,22,1453767,1,experience:0,2155326,
T8C4WFdragon_6,6,food:336600,1,,3458521,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,32151,food:1309,4.2,rage2,23,1647196,1,experience:0,2264505,
T8C4WFdragon_7,7,food:342000,1,,3544979,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,32955,food:1330,4.2,rage2,23,1688376,1,experience:0,2379087,
T8C4WFdragon_8,8,food:347400,1,,3633593,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,33779,food:1351,4.2,rage2,23,1730585,1,experience:0,2499571,
T8C4WFdragon_9,9,food:352800,1,,3724419,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,34623,food:1372,4.2,rage2,24,1773847,1,experience:0,2626082,
T8C4WFdragon_10,10,food:358200,1,,3817513,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,35489,food:1393,4.2,rage2,24,1818191,1,experience:0,2759007,
T8C4WFdragon_11,11,food:363600,1,,3912929,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,36376,food:1414,4.2,rage2,24,1863645,1,experience:0,2898615,
T8C4WFdragon_12,12,food:369000,1,,4010726,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,36819,food:1435,4.2,rage2,25,1910233,1,experience:0,3007297,
T8C4WFdragon_13,13,food:374400,1,,4110965,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,37270,food:1456,4.2,rage2,25,1957988,1,experience:0,3120281,
T8C4WFdragon_14,14,food:379800,1,,4213712,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,38202,food:1477,4.2,rage2,25,2006937,1,experience:0,3278204,
T8C4WFdragon_15,15,food:385200,1,,4319032,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,39157,food:1498,4.2,rage2,26,2057111,1,experience:0,3444152,
T8C4WFdragon_16,16,food:390600,1,,4426988,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,40135,food:1519,4.2,rage2,26,2108537,1,experience:0,3618428,
T8C4WFdragon_17,17,food:396000,1,,4537644,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,41139,food:1540,4.2,rage2,26,2161250,1,experience:0,3801618,
T8C4WFdragon_18,18,food:401400,1,,4651061,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,42167,food:1561,4.2,rage2,27,2942339,1,experience:0,3994045,
T8C4WFdragon_19,19,food:540313,1,,4767321,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,43221,food:1582,4.2,rage2,27,3015896,1,experience:0,4196175,
T8C4WFdragon_20,20,food:547485,1,,4886488,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,44302,food:1603,4.2,rage2,27,3091290,1,experience:0,4408635,
T8C4WFdragon_21,21,food:554657,1,,5008634,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,45409,food:1624,4.2,rage2,28,3168571,1,experience:0,4631774,
T8C4WFdragon_22,22,food:561830,1,,5133836,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,46545,food:1645,4.2,rage2,28,3972320,1,experience:0,4866239,
T8C4WFdragon_23,23,food:695938,1,,5262165,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,47708,food:1666,4.2,rage2,28,4071626,1,experience:0,5112696,
T8C4WFdragon_24,24,food:704711,1,,5393700,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,48901,food:1687,4.2,rage2,29,4173411,1,experience:0,5371377,
T8C4WFdragon_25,25,food:713483,1,,5528516,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,50123,food:1708,4.2,rage2,29,4277745,1,experience:0,5643270,
T8C4WFdragon_26,26,food:722255,1,,5666704,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,51376,food:1729,4.2,rage2,29,5125964,1,experience:0,5929084,
T8C4WFdragon_27,27,food:854616,1,,5808345,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,52661,food:1750,4.2,rage2,30,5254113,1,experience:0,6229083,
T8C4WFdragon_28,28,food:864871,1,,5953529,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,53977,food:1771,4.2,rage2,30,5385463,1,experience:0,6544464,
T8C4WFdragon_29,29,food:875126,1,,6102351,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,55327,food:1792,4.2,rage2,30,5520098,1,experience:0,6875672,
T8C4WFdragon_30,30,food:885382,1,,6254900,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,56710,food:1813,4.2,rage2,31,5658095,1,experience:0,7223789,
T8C4WFdragon_31,31,food:895637,1,,6411265,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,58127,food:1834,4.2,rage2,31,5799545,1,experience:0,7589447,
T8C4WFdragon_32,32,food:905892,1,,6571529,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,59581,food:1855,4.2,rage2,31,5944533,1,experience:0,7973770,
T8C4WFdragon_33,33,food:916148,1,,6735791,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,61070,food:1876,4.2,rage2,32,6093146,1,experience:0,8377262,
T8C4WFdragon_34,34,food:926403,1,,6904160,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,62597,food:1897,4.2,rage2,32,6245471,1,experience:0,8801413,
T8C4WFdragon_35,35,food:936659,1,,7076741,18000,flamethrower:T8C4WFdragon_flamethrower,daybreak:daybreak1|radiance:radiance1|heatedPiercingBreath:heatedPiercingBreath1|heatBlastShield:heatBlastShield1,64162,food:1918,4.2,rage2,32,0,1.2,experience:0,9246926,!@#ogagcmenmibmnkim
