identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T9C3SDdragon_1,1,food:0,1,,3721450,17280,lockon:T9C3SDdragon_lockon,,183275,food:1392,4.2,rage3,28,1292294,1,experience:0,1712934,
T9C3SDdragon_2,2,food:372240,1,,3814476,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1,187857,food:1410,4.2,rage3,28,1324600,1,experience:0,2699467,
T9C3SDdragon_3,3,food:376992,1,,3909825,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1,192553,food:1428,4.2,rage3,28,1542536,1,experience:0,2836185,
T9C3SDdragon_4,4,food:381744,1,,4007557,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1,197367,food:1446,4.2,rage3,29,1819491,1,experience:0,2979684,
T9C3SDdragon_5,5,food:386496,1,,4107726,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1,202301,food:1464,4.2,rage3,29,2096281,1,experience:0,4174016,
T9C3SDdragon_6,6,food:391248,1,,4210401,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1,207358,food:1482,4.2,rage3,29,2375200,1,experience:0,4385417,
T9C3SDdragon_7,7,food:396000,1,,4315641,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1,212542,food:1500,4.2,rage3,30,2434580,1,experience:0,4607310,
T9C3SDdragon_8,8,food:400752,1,,4423514,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1,217855,food:1518,4.2,rage3,30,2495443,1,experience:0,4840580,
T9C3SDdragon_9,9,food:405504,1,,4534090,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1,223301,food:1536,4.2,rage3,30,2557828,1,experience:0,6611223,
T9C3SDdragon_10,10,food:410256,1,,4647435,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1,228884,food:1554,4.2,rage3,31,2621771,1,experience:0,6945951,
T9C3SDdragon_11,11,food:415009,1,,4763615,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1,234606,food:1572,4.2,rage3,31,2687315,1,experience:0,7297545,
T9C3SDdragon_12,12,food:419760,1,,4882692,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1,240471,food:1590,4.2,rage3,31,2754497,1,experience:0,7667087,
T9C3SDdragon_13,13,food:424512,1,,5004740,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1,246482,food:1608,4.2,rage3,32,2823360,1,experience:0,8055060,
T9C3SDdragon_14,14,food:429264,1,,5129839,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1|archerResist01:archerResist01,252644,food:1626,4.2,rage3,32,2893942,1,experience:0,8462897,
T9C3SDdragon_15,15,food:434016,1,,5258068,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1|archerResist01:archerResist01,258960,food:1644,4.2,rage3,32,2966289,1,experience:0,8891275,
T9C3SDdragon_16,16,food:438768,1,,5389503,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1|archerResist01:archerResist01,265434,food:1662,4.2,rage3,33,3040444,1,experience:0,9341358,
T9C3SDdragon_17,17,food:443520,1,,5524223,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1|archerResist01:archerResist01,272070,food:1680,4.2,rage3,33,3116455,1,experience:0,9814178,
T9C3SDdragon_18,18,food:448272,1,,5662314,17280,lockon:T9C3SDdragon_lockon,northernLights:northernLightsDark1|umbralSpike:umbralSpike1|thunderstorm:thunderstorm1|archerResist01:archerResist01,278872,food:1698,4.2,rage3,33,4242759,1,experience:0,10311113,
