identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T9C4HIdragon_1,1,food:0,1,,3642643,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,201818,food:1624,4.2,rage1,28,1468515,1,experience:0,4631774,
T9C4HIdragon_2,2,food:423000,1,,3733699,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,206863,food:1645,4.2,rage1,28,1505227,1,experience:0,4866239,
T9C4HIdragon_3,3,food:428400,1,,3827029,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,212035,food:1666,4.2,rage1,28,1752882,1,experience:0,5112696,
T9C4HIdragon_4,4,food:433800,1,,3922691,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,217335,food:1687,4.2,rage1,29,2067604,1,experience:0,5371377,
T9C4HIdragon_5,5,food:439200,1,,4020739,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,222769,food:1708,4.2,rage1,29,2382138,1,experience:0,5643270,
T9C4HIdragon_6,6,food:444600,1,,4121240,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,228338,food:1729,4.2,rage1,29,2699091,1,experience:0,5929084,
T9C4HIdragon_7,7,food:450000,1,,4224251,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,234046,food:1750,4.2,rage1,30,2766568,1,experience:0,6229083,
T9C4HIdragon_8,8,food:455400,1,,4329839,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,239897,food:1771,4.2,rage1,30,2835731,1,experience:0,6544464,
T9C4HIdragon_9,9,food:460800,1,,4438074,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,245894,food:1792,4.2,rage1,30,2906623,1,experience:0,6875672,
T9C4HIdragon_10,10,food:466200,1,,4549018,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,252041,food:1813,4.2,rage1,31,2979286,1,experience:0,7223789,
T9C4HIdragon_11,11,food:471601,1,,4662738,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,258342,food:1834,4.2,rage1,31,3053767,1,experience:0,7589447,
T9C4HIdragon_12,12,food:477000,1,,4779294,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,264801,food:1855,4.2,rage1,31,3130111,1,experience:0,7973770,
T9C4HIdragon_13,13,food:482400,1,,4898757,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,271421,food:1876,4.2,rage1,32,3208363,1,experience:0,8377262,
T9C4HIdragon_14,14,food:487800,1,,5021207,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,278206,food:1897,4.2,rage1,32,3288571,1,experience:0,8801413,
T9C4HIdragon_15,15,food:493200,1,,5146721,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,285161,food:1918,4.2,rage1,32,3370783,1,experience:0,9246926,
T9C4HIdragon_16,16,food:498600,1,,5275372,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,292290,food:1939,4.2,rage1,33,3455050,1,experience:0,9715012,
T9C4HIdragon_17,17,food:504000,1,,5407239,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,299597,food:1960,4.2,rage1,33,3541426,1,experience:0,10206746,
T9C4HIdragon_18,18,food:509400,1,,5542406,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,307087,food:1981,4.2,rage1,33,4821317,1,experience:0,10723557,
T9C4HIdragon_19,19,food:683758,1,,5680951,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,314764,food:2002,4.2,rage1,34,4941848,1,experience:0,11266400,
T9C4HIdragon_20,20,food:690931,1,,5822958,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,322633,food:2023,4.2,rage1,34,5065392,1,experience:0,11836587,
T9C4HIdragon_21,21,food:698103,1,,5968511,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,330698,food:2044,4.2,rage1,34,5192023,1,experience:0,12435804,
T9C4HIdragon_22,22,food:705275,1,,6117706,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,338966,food:2065,4.2,rage1,35,6509049,1,experience:0,13065427,
T9C4HIdragon_23,23,food:871385,1,,6270635,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,347440,food:2086,4.2,rage1,35,6671774,1,experience:0,13726680,
T9C4HIdragon_24,24,food:880157,1,,6427388,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,356126,food:2107,4.2,rage1,35,6838568,1,experience:0,14421699,
T9C4HIdragon_25,25,food:888930,1,,6588055,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,365029,food:2128,4.2,rage1,36,7009529,1,experience:0,15151772,
T9C4HIdragon_26,26,food:897702,1,,6752733,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,374154,food:2149,4.2,rage1,36,8399422,1,experience:0,15918751,
T9C4HIdragon_27,27,food:1059723,1,,6921530,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,383508,food:2170,4.2,rage1,36,8609405,1,experience:0,16724524,
T9C4HIdragon_28,28,food:1069979,1,,7094552,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,393095,food:2191,4.2,rage1,37,8824638,1,experience:0,17571200,
T9C4HIdragon_29,29,food:1080234,1,,7271903,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,402923,food:2212,4.2,rage1,37,9045247,1,experience:0,18460565,
T9C4HIdragon_30,30,food:1090489,1,,7453686,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,412996,food:2233,4.2,rage1,37,9271378,1,experience:0,19395175,
T9C4HIdragon_31,31,food:1100745,1,,7640010,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,423320,food:2254,4.2,rage1,38,9503159,1,experience:0,20377084,
T9C4HIdragon_32,32,food:1111000,1,,7830994,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,433903,food:2275,4.2,rage1,38,9740731,1,experience:0,21408570,
T9C4HIdragon_33,33,food:1121255,1,,8026750,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,444750,food:2296,4.2,rage1,38,9984246,1,experience:0,22492332,
T9C4HIdragon_34,34,food:1131511,1,,8227399,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,455869,food:2317,4.2,rage1,39,10233848,1,experience:0,23630933,
T9C4HIdragon_35,35,food:1141766,1,,8433065,18000,fireball:T9C4HIdragon_fireball,shattershard:shattershard1|crystallineShield:crystallineShield1|frostbite:frostbite1|iceTurretResist01:iceTurretResist01,467266,food:2338,4.2,rage1,39,0,1.2,experience:0,24827179,!@#mfmfcidhgkbdjpkg
