identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T9C4WWdragon_1,1,food:0,1,,5008634,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar108|maleficBreath:maleficBreath108|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,45409,food:1624,4.2,rage2,28,1468515,1,experience:0,4631774,
T9C4WWdragon_2,2,food:423000,1,,5133836,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar109|maleficBreath:maleficBreath109|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,46545,food:1645,4.2,rage2,28,1505227,1,experience:0,4866239,
T9C4WWdragon_3,3,food:428400,1,,5262165,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar110|maleficBreath:maleficBreath110|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,47708,food:1666,4.2,rage2,28,1752882,1,experience:0,5112696,
T9C4WWdragon_4,4,food:433800,1,,5393700,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar111|maleficBreath:maleficBreath111|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,48901,food:1687,4.2,rage2,29,2067604,1,experience:0,5371377,
T9C4WWdragon_5,5,food:439200,1,,5528516,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar112|maleficBreath:maleficBreath112|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,50123,food:1708,4.2,rage2,29,2382138,1,experience:0,5643270,
T9C4WWdragon_6,6,food:444600,1,,5666704,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar113|maleficBreath:maleficBreath113|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,51376,food:1729,4.2,rage2,29,2699091,1,experience:0,5929084,
T9C4WWdragon_7,7,food:450000,1,,5808345,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar114|maleficBreath:maleficBreath114|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,52661,food:1750,4.2,rage2,30,2766568,1,experience:0,6229083,
T9C4WWdragon_8,8,food:455400,1,,5953529,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar115|maleficBreath:maleficBreath115|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,53977,food:1771,4.2,rage2,30,2835731,1,experience:0,6544464,
T9C4WWdragon_9,9,food:460800,1,,6102351,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar116|maleficBreath:maleficBreath116|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,55327,food:1792,4.2,rage2,30,2906623,1,experience:0,6875672,
T9C4WWdragon_10,10,food:466200,1,,6254900,18000,flamethrower:T9C4WWdragon_flamethrower,dreadfulRoar:dreadfulRoar117|maleficBreath:maleficBreath117|gloomAndDoom:gloomAndDoom1|devourHope:devourHope1,56710,food:1813,4.2,rage2,31,2979286,1,experience:0,7223789,
